Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,CVTCX,Calamos Growth & Income Fund Class C,Sale (Partial),05/01/2023,"$15,001 - $50,000",n/a
Joint,--,FRGXX Fidelity Government Portfolio Fund,Purchase,08/31/2023,"$1,001 - $15,000",n/a
Joint,--,FRGXX Fidelity Government Portfolio Fund,Sale (Partial),09/01/2023,"$1,001 - $15,000",n/a
Joint,--,Meyer M. Cardin Trust - Invesco Global 45 Dividend 2021 - 4cash,Sale (Full),01/11/2023,"$50,001 - $100,000",n/a
Joint,--,Meyer M. Cardin Trust - First Trust Select DSIP 1st Q 2022,Sale (Full),04/19/2023,"$100,001 - $250,000",n/a
Joint,--,Meyer M. Cardin Trust - Invesco Global 45 Dividend Fund 2022 - 1C,Sale (Full),04/12/2023,"$15,001 - $50,000",n/a
Joint,--,Meyer M. Cardin Trust - Invesco Global 45 Dividend 2022 - 2 cash,Sale (Full),07/12/2023,"$15,001 - $50,000",n/a
Joint,--,Meyer M. Cardin Trust - Invesco Global 45 Dividend Fund 2022 - 3C,Sale (Full),10/04/2023,"$15,001 - $50,000",n/a
Joint,--,Meyer M. Cardin Trust - Invesco Global 45 Dividend Fund 2023 1 C,Purchase,01/12/2023,"$50,001 - $100,000",n/a
Joint,--,Meyer M; Cardin Trust - Invesco Global 45 Dividend Fund 2023 2 C,Purchase,04/13/2023,"$15,001 - $50,000",n/a
Joint,--,Meyer M. Cardin Trust - Invesco Global 45 Dividend Fund 2023 3 C,Purchase,07/13/2023,"$15,001 - $50,000",n/a
Joint,--,Meyer M. Cardin Trust - Invesco Global 45 Dividend Fund 2023 4 C,Purchase,10/10/2023,"$15,001 - $50,000",n/a
Joint,--,Meyer M. Cardin Trust - First Trust Select DSIP 2nd Q 2023,Purchase,04/20/2023,"$100,001 - $250,000",n/a
Self,--,Maryland College Investment Plan - Portfolio for Education Today,Sale (Partial),06/07/2023,"$1,001 - $15,000",
Self,--,Maryland College Investment Plan - Portfolio for Education Today,Sale (Partial),12/06/2023,"$15,001 - $50,000",
Spouse,--,Maryland College Investment Plan - Portfolio for Education Today,Sale (Partial),07/17/2023,"$15,001 - $50,000",
