Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Sale (Partial),02/01/2023,"$15,001 - $50,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Purchase,02/01/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Purchase,02/01/2023,"$1,001 - $15,000",n/a
Spouse,PMDIX,Principal Funds Inc. Small-Midcap Dividend Inco,Sale (Partial),02/01/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Purchase,03/21/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Purchase,03/27/2023,"$1,001 - $15,000",n/a
Spouse,ARIDX,Amg River Road Dividend All Cap Value Fund - Cla,Purchase,03/30/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Purchase,04/03/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Sale (Partial),05/01/2023,"$15,001 - $50,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Sale (Partial),05/01/2023,"$1,001 - $15,000",n/a
Spouse,ARIDX,Amg River Road Dividend All Cap Value Fund - Cla,Sale (Full),05/01/2023,"$100,001 - $250,000",n/a
Spouse,PMDIX,Principal Funds Inc. Small-Midcap Dividend Inco,Purchase,05/01/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Sale (Partial),05/01/2023,"$1,001 - $15,000",n/a
Spouse,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Purchase,05/01/2023,"$100,001 - $250,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Purchase,06/22/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Purchase,06/26/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Purchase,07/03/2023,"$1,001 - $15,000",n/a
Spouse,PMDIX,Principal Funds Inc. Small-Midcap Dividend Inco,Sale (Partial),07/03/2023,"$1,001 - $15,000",n/a
Spouse,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Sale (Partial),07/03/2023,"$1,001 - $15,000",n/a
Spouse,GSFTX,Columbia Dividend Income Fund Class I,Sale (Partial),07/03/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Sale (Partial),07/03/2023,"$1,001 - $15,000",n/a
Spouse,SOPYX,Clearbridge Dividend Strategy Fund Class I,Purchase,07/03/2023,"$1,001 - $15,000",n/a
