Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Spouse,--,TIAA-CREF Traditional,Sale (Partial),12/15/2023,"$15,001 - $50,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,10/20/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,11/21/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,10/06/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,11/09/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,12/01/2023,"$1,001 - $15,000",n/a
Spouse,--,TIAA-CREF Traditional,Sale (Partial),03/15/2023,"$15,001 - $50,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,02/21/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,01/06/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,02/10/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,03/10/2023,"$1,001 - $15,000",n/a
Spouse,--,TIAA-CREF Traditional,Sale (Partial),06/15/2023,"$15,001 - $50,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,04/20/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,05/22/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,06/20/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,04/06/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,05/05/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,06/09/2023,"$1,001 - $15,000",n/a
Spouse,--,TIAA-CREF Traditional,Sale (Partial),09/15/2023,"$15,001 - $50,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,07/20/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,08/21/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,09/20/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,07/07/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,08/04/2023,"$1,001 - $15,000",n/a
Spouse,VSMPX,Vanguard Total Stock Market Index Fund Instituti,Purchase,09/08/2023,"$1,001 - $15,000",n/a
Self,--,TIAA-CREF Traditional,Sale (Partial),12/26/2023,"$15,001 - $50,000",n/a
Self,--,QCGLIX - CREF Global Equities Account - R3,Sale (Partial),12/18/2023,"$1,001 - $15,000",n/a
Self,--,QREARX - TIAA Real Estate Account,Sale (Partial),12/26/2023,"$15,001 - $50,000",n/a
Self,--,QCGLIX - CREF Global Equities Account - R3,Sale (Partial),03/17/2023,"$1,001 - $15,000",n/a
Self,--,QCGLIX - CREF Global Equities Account - R3,Sale (Partial),06/20/2023,"$1,001 - $15,000",n/a
Self,--,QREARX - TIAA Real Estate Account,Purchase,04/17/2023,"$50,001 - $100,000",n/a
Self,--,QCGLIX - CREF Global Equities Account - R3,Sale (Partial),09/18/2023,"$1,001 - $15,000",n/a
Joint,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,11/15/2023,"$50,001 - $100,000",n/a
Joint,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Joint,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,12/19/2023,"$1,001 - $15,000",n/a
