Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,--,Ada County Rental Property Desert,Purchase,07/13/2023,"$250,001 - $500,000",
Self,TQQQ,ProShares UltraPro QQQ,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Joint,PREIX,T. Rowe Price Equity Index Fund,Sale (Partial),01/09/2023,"$1,001 - $15,000",n/a
Joint,PEXMX,T. Rowe Price Extended Equity Market Index Fund,Sale (Partial),01/09/2023,"$1,001 - $15,000",n/a
Joint,PEXMX,T. Rowe Price Extended Equity Market Index Fund,Purchase,12/15/2023,"$1,001 - $15,000",n/a
Joint,--,Nationwide Fixed Fund,Sale (Partial),01/03/2023,"$1,001 - $15,000",n/a
Joint,VINIX,Vanguard Institutional Index,Sale (Partial),01/03/2023,"$1,001 - $15,000",n/a
Joint,--,U.S. Broad Market Equity Index Fund,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Joint,--,U.S. Broad Market Equity Index Fund,Sale (Full),05/15/2023,"$50,001 - $100,000",n/a
Joint,--,PERSI Total Return Fund,Purchase,05/15/2024,"$50,001 - $100,000",n/a
