Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,CMNIX,Calamos Market Neutral Fd Cl I,Sale (Full),02/15/2023,"$15,001 - $50,000",n/a
Self,FZAHX,Fidelity Advisor Growth Opportunities Fd Cl Z,Sale (Full),02/15/2023,"$15,001 - $50,000",n/a
Self,--,FEMKX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Self,--,FBGRX,Sale (Full),02/15/2023,"$15,001 - $50,000",n/a
Self,CDDRX,Columbia Dividend Income Fund Class I2,Sale (Full),02/15/2023,"$15,001 - $50,000",n/a
Self,SEKIX,Dws Emerging Markets Equity Fund - Class Institu,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Self,--,FIKNX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Self,--,FIQSX,Sale (Full),02/15/2023,"$15,001 - $50,000",n/a
Joint,--,FEMKX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,CMNIX,Calamos Market Neutral Fd Cl I,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,FZAHX,Fidelity Advisor Growth Opportunities Fd Cl Z,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,--,CDDRX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,--,SEKIX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,FZAFX,Fidelity Advisor Equity Growth Fd Cl Z,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,FSSZX,Fidelity Stock Selector Small Cap Fund Class Z,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,FIKNX,Fidelity Advisor Small Cap Value Fund Class Z,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,FIQSX,Fidelity Advisor Floating Rate High Income Fund,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Spouse,CMNIX,Calamos Market Neutral Fd Cl I,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Spouse,FZAHX,Fidelity Advisor Growth Opportunities Fd Cl Z,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Spouse,FBGRX,Fidelity Blue Chip Growth Fund,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Spouse,CDDRX,Columbia Dividend Income Fund Class I2,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Spouse,--,FSSAX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Spouse,--,FIKNX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Spouse,--,FIQSX,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
Joint,--,MetLife Trust,Sale (Full),03/06/2023,"$1,001 - $15,000",n/a
Spouse,IVV,iShares Core S&P 500,Purchase,12/07/2023,"$1,001 - $15,000",n/a
Spouse,IVV,iShares Core S&P 500,Purchase,03/03/2023,"$15,001 - $50,000",n/a
Joint,IVV,iShares Core S&P 500,Purchase,03/07/2023,"$15,001 - $50,000",n/a
Self,IVV,iShares Core S&P 500,Purchase,03/01/2023,"$50,001 - $100,000",n/a
Self,SCHF,Schwab Intl Equity ETF,Purchase,03/01/2023,"$15,001 - $50,000",n/a
Self,--,IJH,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,OAYLX,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,PFPMX,Parnassus Mid Cap Fund - Institutional Shares,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,EZU,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,VWO,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,NFFFX,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,FMIYX,Fmi International Fund Institutional Class,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,GICIX,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,IJR,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,VLUE,USA Value Factor Ishares Edge MSCI ETF,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,CSDIX,Cohen & Steers Real Estate Securities Fund Inc.,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,BCSSX,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,PCLPX,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,IAU,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Self,--,IJH,Purchase,09/25/2023,"$1,001 - $15,000",n/a
Self,--,IJR,Purchase,09/25/2023,"$1,001 - $15,000",n/a
Self,--,OAYLX,Sale (Partial),09/25/2023,"$1,001 - $15,000",n/a
Self,IAU,I-80 Gold Corp,Sale (Partial),09/25/2023,"$1,001 - $15,000",n/a
Self,EZU,Eurozone Ishares MSCI ETF,Sale (Partial),09/25/2023,"$1,001 - $15,000",n/a
Self,FSSAX,Franklin Small Cap Growth Fd  Advisor Cl,Sale (Full),02/15/2023,"$1,001 - $15,000",n/a
