Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,VUSFX,Vanguard Ultra-Short-Term Bond Fund Admiral,Sale (Full),12/14/2023,"$15,001 - $50,000",n/a
Spouse,CGDV,Capital Dividend Value ETF,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Self,--,AMRFX - American Mutual Fund Class F-2 Shares,Sale (Full),12/14/2023,"$50,001 - $100,000",n/a
Self,--,IGFFX - International Growth and Income Fd Cl F-2 Shs,Sale (Full),12/14/2023,"$15,001 - $50,000",n/a
Self,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Sale (Full),12/14/2023,"$50,001 - $100,000",n/a
Self,DFIVX,Dfa International Value Portfolio,Sale (Full),12/14/2023,"$1,001 - $15,000",n/a
Self,--,WMFFX - Washington Mutual Investors Fund Cl F-2 Shs,Sale (Full),12/14/2023,"$1,001 - $15,000",n/a
Self,CGDV,Capital Group Dividend Value ETF Capital Group Div,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,--,ICAFX - AF Invest CO OF AMERICA F2; Mutual Fund,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,--,DFSVX - Dfa U.S. Small Cap Value Portfolio,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Self,DFEV,Dimensional Emerging Markets Value ETF,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,DUHP,Dimensional ETF Trust Dimensional US High Profitab,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,DFIV,Dimensional International Value ETF,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,DFAT,Dimensional U.S. Targeted Value ETF,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,DBLSX,Doubleline Low Duration Bond Fund Class I,Sale (Partial),12/14/2023,"$1,001 - $15,000",n/a
Self,--,FRSXX - FIMM TREASURY ONLY PORT Mutual Fund,Purchase,12/14/2023,"$50,001 - $100,000",n/a
Self,VYM,Vanguard High Dividend Yield ETF,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,--,VYMI - VANGUARD INTL HIGH DIVID YIELD ETF,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,VGSH,Vanguard Short-Term Treasury ETF,Purchase,12/14/2023,"$50,001 - $100,000",n/a
Self,DXJ,Wisdomtree Japan Hedged Equity Fund,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Self,CGXU,Capital Group International Focus Equity ETF Capit,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Spouse,AMRFX,American Mutual Fund Class F-2 Shares,Sale (Full),12/14/2023,"$15,001 - $50,000",n/a
Spouse,--,ICAFX - The Investment Company of America Class F-2 Shs,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Sale (Full),12/14/2023,"$1,001 - $15,000",n/a
Spouse,CGXU,Capital Group International Focus Equity ETF Capit,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,DFIVX,Dfa International Value Portfolio,Sale (Full),12/14/2023,"$1,001 - $15,000",n/a
Spouse,DFSVX,Dfa U.S. Small Cap Value Portfolio,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,DFEV,Dimensional Emerging Markets Value ETF,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,--,DUHP - Dimensional US High Profitability ETF,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,DFIV,Dimensional International Value ETF,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,DFAT,Dimensional U.S. Targeted Value ETF,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,DBLSX,Doubleline Low Duration Bond Fund Class I,Sale (Partial),12/14/2023,"$1,001 - $15,000",n/a
Spouse,--,FRSXX - FIMM Treasury Only PORT; Mutual Fund,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Spouse,VYM,High Dividend Yield Vanguard ETF,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,--,VYMI - VANGAURD INTL HIGH DIVID YIELD ETF,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Sale (Full),12/14/2023,"$15,001 - $50,000",n/a
Spouse,VGSH,Vanguard Short-Term Treasury ETF,Purchase,12/14/2023,"$15,001 - $50,000",n/a
Spouse,--,Vanguard Ultra-Short-Term Bond Fund Admiral,Sale (Full),12/14/2023,"$15,001 - $50,000",n/a
Spouse,--,WMFFX - Washington Mutual Investors Fund Cl F-2 Shs,Sale (Full),12/14/2023,"$1,001 - $15,000",n/a
Spouse,--,DXJ - WisdomTree Japan Hedged Equity Fund,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Joint,TRPXX,Invesco Treasury Portfolio Institutional Class,Purchase,10/24/2023,"$50,001 - $100,000",n/a
