Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,FFRHX,Fidelity Floating Rate High Income,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Sale (Partial),11/21/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,11/07/2023,"$15,001 - $50,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,04/17/2023,"$15,001 - $50,000",n/a
Self,RWJ,Smallcap Revenue ETF Oppenheimer,Sale (Full),07/18/2023,"$1,001 - $15,000",n/a
Self,QQQ,Invesco QQQ Trust; Series 1,Purchase,07/18/2023,"$1,001 - $15,000",n/a
Spouse,--,SWVXX Schwab Value Advantage Money Inv,Purchase,02/07/2023,"$1,001 - $15,000",n/a
Self,RWJ,Smallcap Revenue ETF Oppenheimer,Sale (Full),07/18/2023,"$50,001 - $100,000",n/a
Self,QQQ,Invesco QQQ Trust; Series 1,Purchase,07/18/2023,"$50,001 - $100,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,02/07/2023,"$100,001 - $250,000",n/a
Self,QQQ,Invesco QQQ Trust; Series 1,Purchase,12/13/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,12/29/2023,"$1,001 - $15,000",n/a
Self,ILCB,Mstar Large-Cap Ishares ETF,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,VOO,Vanguard S&P 500 ETF,Purchase,12/26/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,11/15/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,10/16/2023,"$1,001 - $15,000",n/a
Self,ILCB,Mstar Large-Cap Ishares ETF,Purchase,10/03/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,09/15/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,08/16/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,07/16/2023,"$1,001 - $15,000",n/a
Self,VOO,S&P 500 ETF Vanguard,Purchase,07/06/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,MTUM,iShares MSCI USA Momentum Factor ETF,Purchase,06/14/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,05/15/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,04/17/2023,"$1,001 - $15,000",n/a
Self,ILCB,iShares Morningstar Large-Cap ETF,Purchase,03/30/2023,"$1,001 - $15,000",n/a
Self,MTUM,iShares MSCI USA Momentum Factor ETF,Purchase,03/30/2023,"$1,001 - $15,000",n/a
Self,--,SWVXX Schwab Value Advantage Money Inv,Purchase,03/15/2023,"$1,001 - $15,000",n/a
Self,VEA,Vanguard FTSE Developed Markets ETF,Purchase,12/22/2023,"$1,001 - $15,000",n/a
Self,VWO,Vanguard FTSE Emerging Markets ETF,Purchase,12/22/2023,"$1,001 - $15,000",n/a
Spouse,USMV,iShares MSCI USA Min Vol Factor ETF,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Spouse,USMV,iShares MSCI USA Min Vol Factor ETF,Purchase,10/03/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500 ETF,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500 ETF,Purchase,10/03/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500 ETF,Purchase,06/13/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500,Purchase,03/29/2023,"$1,001 - $15,000",n/a
Self,--,iShares Core S&P 500,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500 ETF,Purchase,10/03/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500 ETF,Purchase,06/14/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500 ETF,Purchase,03/30/2023,"$1,001 - $15,000",n/a
Self,KOMP,SPDR Kensho & New Economies Composite ETF,Sale (Full),01/03/2023,"$100,001 - $250,000",n/a
