Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Spouse,--,BlackRock Ultra Short-Term Bond ETF (ICSH),Sale (Full),01/12/2023,"$250,001 - $500,000"
Spouse,--,Cohen & Steers Real Assets I (RAPIX),Purchase,01/24/2023,"$100,001 - $250,000"
Spouse,--,Cohen & Steers Real Assets I (RAPIX),Purchase,02/08/2023,"$1,001 - $15,000"
Spouse,--,Cohen & Steers Real Assets I (RAPIX),Sale (Full),06/07/2023,"$100,001 - $250,000"
Spouse,--,Dimensional Emerging Core Equity Market ETF (DFAE),Purchase,01/12/2023,"$100,001 - $250,000"
Spouse,--,Dimensional Emerging Core Equity Market ETF (DFAE),Purchase,01/24/2023,"$50,001 - $100,000"
Spouse,--,Dimensional Emerging Core Equity Market ETF (DFAE),Purchase,02/08/2023,"$1,001 - $15,000"
Spouse,--,Dimensional Emerging Core Equity Market ETF (DFAE),Sale (Partial),06/07/2023,"$50,001 - $100,000"
Spouse,--,Dimensional Emerging Core Equity Market ETF (DFAE),Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,--,Dimensional International Core Equity Market ETF (DFAI),Purchase,06/07/2023,"$250,001 - $500,000"
Spouse,--,Dimensional International Core Equity Market ETF (DFAI),Sale (Full),09/21/2023,"$250,001 - $500,000"
Spouse,--,Dimensional U.S. Small Cap ETF (DFAS),Purchase,06/07/2023,"$50,001 - $100,000"
Spouse,--,Dimensional U.S. Small Cap ETF (DFAS),Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,--,DWS RREEF Real Assets Inst (AAAZX),Purchase,01/24/2023,"$100,001 - $250,000"
Spouse,--,DWS RREEF Real Assets Inst (AAAZX),Purchase,02/08/2023,"$1,001 - $15,000"
Spouse,--,DWS RREEF Real Assets Inst (AAAZX),Sale (Full),05/03/2023,"$100,001 - $250,000"
Spouse,--,FullerThaler Behavioral Sm-Cp Eq Inst (FTHSX),Purchase,02/08/2023,"$100,001 - $250,000"
Spouse,--,FullerThaler Behavioral Sm-Cp Eq Inst (FTHSX),Sale (Partial),06/07/2023,"$50,001 - $100,000"
Spouse,--,FullerThaler Behavioral Sm-Cp Eq Inst (FTHSX),Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,--,GQG Partners Emerging Markets EquityInst (GQGIX),Purchase,06/07/2023,"$50,001 - $100,000"
Spouse,--,GQG Partners Emerging Markets EquityInst (GQGIX),Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,--,Goldman Sachs GQG Ptnrs Intl Opps Instl (GSIMX),Sale (Partial),06/07/2023,"$100,001 - $250,000"
Spouse,--,Goldman Sachs GQG Ptnrs Intl Opps Instl (GSIMX),Sale (Full),09/21/2023,"$250,001 - $500,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,01/24/2023,"$250,001 - $500,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,02/08/2023,"$1,001 - $15,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,05/03/2023,"$50,001 - $100,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,03/31/2023,"$1,001 - $15,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,05/31/2023,"$1,001 - $15,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,06/30/2023,"$1,001 - $15,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,07/31/2023,"$1,001 - $15,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Purchase,08/31/2023,"$1,001 - $15,000"
Spouse,--,Guggenheim Total Return Bond Instl (GIBIX),Sale (Full),09/21/2023,"$250,001 - $500,000"
Spouse,--,iShares Core U.S. Aggregate Bond ETF (AGG),Sale (Full),01/24/2023,"$250,001 - $500,000"
Spouse,--,iShares Core S&P U.S. Growth ETF (IUSG),Purchase,01/24/2023,"$50,001 - $100,000"
Spouse,--,iShares Core S&P U.S. Growth ETF (IUSG),Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,--,iShares Russell 1000 Growth ETF (IWF),Sale (Full),01/24/2023,"$100,001 - $250,000"
Spouse,--,JPMorgan Ultra-Short Income ETF (JPST),Sale (Partial),01/12/2023,"$100,001 - $250,000"
Spouse,--,JPMorgan Ultra-Short Income ETF (JPST),Sale (Full),06/07/2023,"$100,001 - $250,000"
Spouse,--,JPMorgan Income ETF (JPIE),Purchase,06/07/2023,"$100,001 - $250,000"
Spouse,--,JPMorgan Income ETF (JPIE),Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,--,Loomis Sayles Growth Y (LSGRX),Purchase,01/24/2023,"$15,001 - $50,000"
Spouse,--,Loomis Sayles Growth Y (LSGRX),Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,--,MainStay MacKay High Yield Municipal Bond Fund (MMHIX),Purchase,01/24/2023,"$250,001 - $500,000"
Spouse,--,MainStay MacKay High Yield Municipal Bond Fund (MMHIX),Purchase,02/08/2023,"$1,001 - $15,000"
Spouse,--,MainStay MacKay High Yield Municipal Bond Fund (MMHIX),Purchase,05/03/2023,"$50,001 - $100,000"
Spouse,--,MainStay MacKay High Yield Municipal Bond Fund (MMHIX),Purchase,05/31/2023,"$1,001 - $15,000"
Spouse,--,MainStay MacKay High Yield Municipal Bond Fund (MMHIX),Purchase,06/30/2023,"$1,001 - $15,000"
Spouse,--,MainStay MacKay High Yield Municipal Bond Fund (MMHIX),Purchase,07/31/2023,"$1,001 - $15,000"
