Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,QQQM,Invesco NASDAQ 100 ETF,Sale (Partial),12/22/2023,"$100,001 - $250,000",n/a
Spouse,JEPI,JPMorgan Equity Premium Income ETF,Purchase,05/04/2023,"$15,001 - $50,000",n/a
Spouse,VYM,Vanguard High Dividend Yield ETF,Purchase,05/02/2023,"$15,001 - $50,000",n/a
Spouse,FBND,Fidelity Total Bond ETF,Purchase,05/02/2023,"$15,001 - $50,000",n/a
Self,--,Stable Value Fund,Sale (Partial),03/08/2023,"$15,001 - $50,000",n/a
Self,--,Stable Value Fund,Sale (Partial),06/27/2023,"$1,001 - $15,000",n/a
Self,--,Stable Value Fund,Sale (Partial),08/14/2023,"$1,001 - $15,000",n/a
Self,--,Stable Value Fund,Sale (Partial),08/29/2023,"$15,001 - $50,000",n/a
Self,--,Stable Value Fund,Sale (Partial),10/03/2023,"$1,001 - $15,000",n/a
Self,--,Stable Value Fund,Sale (Partial),11/28/2023,"$15,001 - $50,000",n/a
Self,--,Stable Value Fund,Purchase,12/21/2023,"$15,001 - $50,000",n/a
Spouse,--,Aggressive Age−Based Option: 12.5%Stock/87.5% Bond Portfolio,Sale (Full),09/13/2023,"$15,001 - $50,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,09/13/2023,"$15,001 - $50,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,08/28/2023,"$15,001 - $50,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,07/25/2023,"$1,001 - $15,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,06/02/2023,"$1,001 - $15,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,04/14/2023,"$50,001 - $100,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,04/03/2023,"$1,001 - $15,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,03/24/2023,"$1,001 - $15,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,03/20/2023,"$1,001 - $15,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,02/27/2023,"$1,001 - $15,000",n/a
Spouse,--,Aggressive Age-Based Option: Aggressive Growth Portfolio,Purchase,01/03/2023,"$15,001 - $50,000",n/a
