Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Purchase,02/07/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500 ETF,Purchase,02/14/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Purchase,02/14/2023,"$1,001 - $15,000",n/a
Self,STBJX,Sierra Tactical Bond Fund Class Institutional,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,FRIAX,Franklin Income Fund Advisor Class,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,PPSIX,Principal Funds Inc. - Spectrum Preferred and C,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,PMFYX,Pioneer Multi-Asset Income Fd Cl Y,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,SRFJX,Sierra Tactical Risk Spectrum 50 Fund Institutio,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,STMEX,Sierra Tactical Municipal Fund Institutional Sha,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,SSIRX,Sierra Tactical Core Income Fund Instl Class,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,SIRRX,Sierra Tactical All Asset Fund Instl Class,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,VGIIX,Jpmorgan U.S. Value Fund Class I,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500,Purchase,02/28/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Sale (Partial),02/28/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Sale (Partial),03/07/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500,Purchase,03/07/2023,"$1,001 - $15,000",n/a
Self,PPSIX,Principal Funds Inc. - Spectrum Preferred and C,Sale (Full),03/13/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Sale (Partial),03/14/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500,Purchase,03/14/2023,"$1,001 - $15,000",n/a
Self,PMFYX,Pioneer Multi-Asset Income Fd Cl Y,Sale (Full),03/15/2023,"$1,001 - $15,000",n/a
Self,VGIIX,Jpmorgan U.S. Value Fund Class I,Sale (Full),03/24/2023,"$1,001 - $15,000",n/a
Self,JEPIX,Jpmorgan Equity Premium Income Fund Class I,Purchase,03/30/2023,"$1,001 - $15,000",n/a
Self,MAILX,Blackrock International I,Purchase,04/18/2023,"$1,001 - $15,000",n/a
Self,SWISX,Schwab International Index Fund - Select Shares,Purchase,04/26/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500,Sale (Partial),05/11/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Purchase,05/11/2023,"$1,001 - $15,000",n/a
Self,IVV,iShares Core S&P 500,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Sale (Partial),08/01/2023,"$1,001 - $15,000",n/a
Self,BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Purchase,08/01/2023,"$1,001 - $15,000",n/a
Self,BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Sale (Partial),08/08/2023,"$1,001 - $15,000",n/a
Self,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Purchase,08/08/2023,"$1,001 - $15,000",n/a
