Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,--,FSMNX,Purchase,10/23/2023,"$15,001 - $50,000",n/a
Self,--,FSTFX,Purchase,10/23/2023,"$1,001 - $15,000",n/a
Self,--,IJR,Purchase,10/23/2023,"$1,001 - $15,000",n/a
Self,--,FMNDX,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Self,--,SMDMX,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Self,--,FPADX,Purchase,10/23/2023,"$1,001 - $15,000",n/a
Self,--,IJK,Sale (Partial),10/23/2023,"$1,001 - $15,000",n/a
Self,--,IJK,Sale (Partial),10/23/2023,"$1,001 - $15,000",n/a
Self,--,VO,Sale (Partial),10/23/2023,"$1,001 - $15,000",n/a
Self,--,FMNDX,Sale (Partial),10/23/2023,"$1,001 - $15,000",n/a
Self,--,VTEB,Sale (Partial),10/23/2023,"$1,001 - $15,000",n/a
Self,HYMB,SPDR Nuveen Bloomberg Barclays High Yield Municipa,Sale (Full),10/23/2023,"$1,001 - $15,000",n/a
