Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,--,Invesco Small-Cap Value Fund Class Y,Sale (Partial),01/26/2023,"$250,001 - $500,000",n/a
Joint,--,American Century Small-Cap Growth Fund Class I,Sale (Partial),01/26/2023,"$250,001 - $500,000",n/a
Joint,--,Columbia Overseas Value Advisor Class,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,DWS Enhanced Commodity Strategy Fund Institutional Class,Sale (Partial),01/26/2023,"$500,001 - $1,000,000",n/a
Joint,--,Goldman Sachs International Small-Cap Insights Fund Institute,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Ishares TR Core S& P 500 ETF,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Ishares TR Russell 2000 ETF,Sale (Partial),01/26/2023,"$500,001 - $1,000,000",n/a
Joint,--,Ishares TR Global Reit ETF,Sale (Partial),01/26/2023,"$250,001 - $500,000",n/a
Joint,--,MFS International Growth Fund Class I,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Northern Global Sustainability Index Fund Class I,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Parnassus Mid-Cap Fund Institutional Class,Sale (Partial),01/26/2023,"$500,001 - $1,000,000",n/a
Joint,--,Royce Small-Cap Opportunity Fund Investment Class,Sale (Partial),05/18/2023,"$250,001 - $500,000",n/a
Joint,--,Schwab Strategic TR US Large-Cap ETF,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Schwab Strategic TR US Dividend Equity ETF,Sale (Partial),01/26/2023,"$500,001 - $1,000,000",n/a
Joint,--,Schwab Strategic TR US Reit ETF,Sale (Partial),01/26/2023,"$250,001 - $500,000",n/a
Joint,--,Vanguard Intl Equity Index FDS FTSE Euro PE ETF,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Vanguard Index FDS Vanguard Mi-Cap ETF,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Vanguard Index FDS Vanguard Growth ETF,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Vanguard Index FDS Vanguard Value ETF,Sale (Partial),01/26/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Invesco Small -Cap Value Fund Class Y,Sale (Partial),09/13/2023,"$250,001 - $500,000",n/a
Joint,--,Brown Capital Small Co Fund Institutional Class,Sale (Partial),09/13/2023,"$250,001 - $500,000",n/a
Joint,--,Dodge & Cox Stock Fund Class I,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Fidelity Advisor Real Estate Income Fund Class I,Sale (Partial),09/13/2023,"$250,001 - $500,000",n/a
Joint,OAYMX,Oakmark Fund Advisor Class,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Invesco Actively Managed Exchange Traded Commodity,Sale (Partial),09/13/2023,"$250,001 - $500,000",n/a
Joint,--,Ishares TR Core S & P Mid-Cap ETF,Sale (Partial),09/13/2023,"$500,001 - $1,000,000",n/a
Joint,--,Ishares TR Russell 1000 ETF,Sale (Partial),10/03/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,John Hancock Exchange Traded Fund TR Multi Factor,Sale (Partial),09/13/2023,"$500,001 - $1,000,000",n/a
Joint,--,Morgan Stanley International Advantage Portfolio,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,American New Perspective Fund Class 2,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,American New World Fund Class F2,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Pacer FDS TR Data Infrastructure Real Estate,Sale (Partial),09/14/2023,"$250,001 - $500,000",n/a
Joint,--,Schwab Strategic TR US Mid-Cap ETF,Sale (Partial),09/13/2023,"$500,001 - $1,000,000",n/a
Joint,--,American Small Cap World Fund Class F2,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Vanguard Intl FD FTS Developed Mkts,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,--,Vanguard Intl Equity Index FDS FTSE Emerging,Sale (Partial),09/13/2023,"$1,000,001 - $5,000,000",n/a
Joint,VLTO,Veralto Corporation,Sale (Partial),09/13/2023,"$1,001 - $15,000",n/a
Joint,--,Victory Market Neutral Income Fund Class,Sale (Partial),09/12/2023,"$15,001 - $50,000",n/a
Joint,--,Ishares TR Select Divid ETF FD,Sale (Partial),09/13/2023,"$50,001 - $100,000",n/a
Joint,--,Ishares TR Core S & P Mid-Cap ETF,Sale (Partial),10/03/2023,"$100,001 - $250,000",n/a
Joint,--,Ishares TR Russell 1000 ETF,Sale (Partial),09/13/2023,"$100,001 - $250,000",n/a
Joint,--,John Hancock Exchange Traded FD Multi Factor,Sale (Partial),09/13/2023,"$100,001 - $250,000",n/a
Joint,--,Schwab Strategic TR US Mid-Cap,Sale (Partial),09/13/2023,"$50,001 - $100,000",n/a
Joint,--,Van Eck Constant Maturity Commodity Index Fund Class,Sale (Partial),09/13/2023,"$1,001 - $15,000",n/a
Joint,--,Vanguard Specialized Funds Divid Appreciation,Sale (Partial),09/13/2023,"$500,001 - $1,000,000",n/a
Joint,--,Vanguard Intl FD FTS Developed Mkts ETF,Sale (Partial),09/13/2023,"$100,001 - $250,000",n/a
Joint,--,Victory Market Neutral Inc Fund Class I,Sale (Partial),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,American High Income Municipal Bond Fund,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,--,American Bond Fund of America Class F2,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,PSF,Cohen & Steers Preferred Fund,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,DODIX,Dodge & Cox Income Fund,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,JHBIX,John Hancock Bond Fund Class I,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,NHMRX,Nuveen High Yield Municipal Bd Fd Class I,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,PREF,Principal Spectrum Preferred Securities ETF,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,--,Victory Market Neutral Inc Fund Class I,Sale (Full),09/12/2023,"$15,001 - $50,000",n/a
Joint,--,American High Income Municipal Bond Fund Class 2,Sale (Full),09/12/2023,"$250,001 - $500,000",n/a
Joint,--,American Bond Fund of America Class F2,Sale (Full),09/12/2023,"$50,001 - $100,000",n/a
Joint,--,Cohen & Steers Prefer Securities and Inc Fund Class I,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,DODIX,Dodge & Cox Income Fund,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Global X FDS US PFD ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,John Hancock Bond Fund Class I,Sale (Full),09/12/2023,"$50,001 - $100,000",n/a
Joint,--,Invesco Exchange Traded TR II Var Rate PFD ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Ishares TR PFD & Inc Ome Secs ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,NHMRX,Nuveen High Yield Municipal Bd Fd Class I,Sale (Full),09/12/2023,"$250,001 - $500,000",n/a
Joint,FAFJX,Nuveen Limited Term Municipal Bond Fd Cl C,Sale (Full),09/12/2023,"$15,001 - $50,000",n/a
Joint,--,Principal Spectrum Preferred and Capital Securities Inc,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Vaneck ETF TR High Yield Mun Index ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
