Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,--,TIAA CREF Large-Cap Value Fund,Sale (Partial),12/28/2023,"$1,001 - $15,000",n/a
Self,--,TIAA Traditional,Sale (Partial),12/28/2023,"$1,001 - $15,000",n/a
Self,--,TIAA CREF Global Equities R3,Sale (Partial),12/28/2023,"$1,001 - $15,000",n/a
Self,--,TIAA CREF Growth R3,Sale (Partial),12/28/2023,"$1,001 - $15,000",n/a
Self,--,TIAA CREF Global Equities R3,Sale (Partial),06/28/2023,"$1,001 - $15,000",n/a
Self,--,TIAA CREF Large-Cap Value Fund,Sale (Partial),06/28/2023,"$1,001 - $15,000",n/a
Self,--,TIAA Traditional,Sale (Partial),06/28/2023,"$1,001 - $15,000",n/a
Self,--,TIAA CREF Growth R3,Sale (Partial),06/28/2023,"$1,001 - $15,000",n/a
Self,RPV,Invesco S&P 500 Pure Value ETF,Purchase,03/14/2023,"$50,001 - $100,000",
Self,RPV,Invesco S&P 500 Pure Value ETF,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,01/19/2023,"$50,001 - $100,000",
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Sale (Full),01/23/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Purchase,03/14/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Sale (Full),03/31/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Purchase,04/13/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Sale (Full),04/17/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Purchase,04/25/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Sale (Full),04/27/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Purchase,05/04/2023,"$50,001 - $100,000",
Self,MORT,VanEck Vectors Mortgage REIT Income ETF,Sale (Full),05/15/2023,"$50,001 - $100,000",
Self,TLT,iShares 20+ Year Treasury Bond ETF,Purchase,09/06/2023,"$50,001 - $100,000",
Self,TLT,iShares 20+ Year Treasury Bond ETF,Purchase,12/22/2023,"$50,001 - $100,000",
Spouse,FDEC,FT Cboe Vest U.S. Equity Buffer ETF - December,Purchase,01/11/2023,"$100,001 - $250,000",n/a
Spouse,VGK,Vanguard FTSEEuropean ETF,Purchase,01/26/2023,"$1,001 - $15,000",n/a
Spouse,EWZ,iShares Inc iShares MSCI Brazil ETF,Purchase,01/26/2023,"$1,001 - $15,000",n/a
Spouse,BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Purchase,03/15/2023,"$15,001 - $50,000",n/a
Spouse,COWZ,Pacer US Cash Cows 100 Index,Purchase,05/16/2023,"$1,001 - $15,000",n/a
Spouse,SPGP,Invesco S&P 500 Garp ETF,Purchase,05/16/2023,"$1,001 - $15,000",n/a
Spouse,INDA,Ishares MSCI India ETF,Purchase,06/30/2023,"$1,001 - $15,000",n/a
Spouse,IBDR,iShares iBonds Dec 2026 Term Corporate ETF,Purchase,09/25/2023,"$50,001 - $100,000",n/a
Spouse,IBDS,iShares iBonds Dec 2027 Term Corporate ETF,Purchase,09/25/2023,"$50,001 - $100,000",n/a
Spouse,IBDP,iShares iBonds Dec 2024 Term Corporate ETF,Purchase,09/25/2023,"$50,001 - $100,000",n/a
Spouse,IBDT,iShares iBonds Dec 2028 Term Corporate ETF,Purchase,09/25/2023,"$50,001 - $100,000",n/a
Spouse,CNRG,SPDR Kensho Clean Power ETF,Purchase,10/23/2023,"$1,001 - $15,000",n/a
Spouse,BBJP,JPMorgan BetaBuilders Japan ETF,Purchase,11/24/2023,"$1,001 - $15,000",n/a
Spouse,SCHV,Schwab U.S. Large-Cap Value ETF,Sale (Full),01/11/2023,"$15,001 - $50,000",n/a
Spouse,SUSA,iShares MSCI USA ESG Select ETF,Sale (Partial),01/11/2023,"$15,001 - $50,000",n/a
Spouse,OMFL,Invesco Exchange-Traded Self-Indexed Fund Trust In,Sale (Full),01/11/2023,"$50,001 - $100,000",n/a
Spouse,BBJP,JPMorgan BetaBuilders Japan ETF,Sale (Full),01/26/2023,"$1,001 - $15,000",n/a
Spouse,BBCA,JPMorgan BetaBuilders Canada ETF,Sale (Full),01/26/2023,"$1,001 - $15,000",n/a
Spouse,QQQ,Invesco QQQ Trust; Series 1,Sale (Full),03/15/2023,"$1,001 - $15,000",n/a
Spouse,XLI,SPDR Select Sector Fund - Industrial,Sale (Partial),03/15/2023,"$1,001 - $15,000",n/a
Spouse,XLK,SPDR Select Sector Fund - Technology,Sale (Partial),05/16/2023,"$1,001 - $15,000",n/a
Spouse,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,Sale (Full),06/30/2023,"$1,001 - $15,000",n/a
Spouse,VGSH,Vanguard Short-Term Treasury ETF,Sale (Full),09/25/2023,"$100,001 - $250,000",n/a
Spouse,TLT,iShares 20+ Year Treasury Bond ETF,Sale (Full),09/25/2023,"$50,001 - $100,000",n/a
Spouse,VCSH,Vanguard Short-Term Corporate Bond ETF,Sale (Full),09/25/2023,"$50,001 - $100,000",n/a
Spouse,ICLN,iShares S&P Global Clean Energy Index Fund,Sale (Full),10/23/2023,"$1,001 - $15,000",n/a
