Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,VIG,Dividend Appreciation ETF Vanguard,Sale (Partial),11/17/2023,"$15,001 - $50,000",n/a
Joint,GGMPX,Goldman Sachs High Yield Fund Class P Shares,Sale (Partial),11/17/2023,"$1,001 - $15,000",n/a
Joint,--,GMWPX - Goldman Sachs Emerging Markets Credit Fund P,Sale (Partial),11/17/2023,"$1,001 - $15,000",n/a
Joint,GGRPX,Goldman Sachs Commodity Strategy Fund Class P Sh,Purchase,10/03/2023,"$15,001 - $50,000",n/a
Joint,VIG,Dividend Appreciation ETF Vanguard,Purchase,10/03/2023,"$1,001 - $15,000",n/a
Joint,BFK,BlackRock Municipal Income Trust,Purchase,10/03/2023,"$15,001 - $50,000",n/a
Joint,GSPPX,Goldman Sachs Strategic Growth Fund Class P,Sale (Partial),06/27/2023,"$15,001 - $50,000",n/a
Joint,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,02/17/2023,"$1,001 - $15,000",n/a
Joint,GMYPX,Goldman Sachs Large Cap Value Fund Class P Share,Purchase,02/08/2023,"$1,001 - $15,000",n/a
Joint,--,Age-Based Option 12-13: Moderately Conservative Portfolio,Sale (Partial),06/12/2023,"$1,001 - $15,000",n/a
Joint,--,USAA Plan FBO Aggressive Growth Portfolio,Sale (Partial),06/12/2023,"$1,001 - $15,000",n/a
Joint,--,USAA Plan FBO Moderately Aggressive Portfolio,Sale (Partial),06/12/2023,"$1,001 - $15,000",n/a
Joint,--,USAA Plan FBO Moderate Portfolio,Sale (Partial),06/12/2023,"$1,001 - $15,000",n/a
Joint,--,MA Portfolio 2027 Fidelity Funds,Sale (Partial),06/12/2023,"$1,001 - $15,000",n/a
Joint,--,MA Portfolio 2027 Fidelity Funds,Purchase,10/18/2023,"$1,001 - $15,000",n/a
Joint,--,MA Portfolio 2027 Fidelity Funds,Purchase,11/20/2023,"$1,001 - $15,000",n/a
Joint,--,MA Portfolio 2027 Fidelity Funds,Purchase,12/18/2023,"$1,001 - $15,000",n/a
Self,VMGRX,Vanguard Mid-Cap Growth Fund,Sale (Full),05/26/2023,"$50,001 - $100,000",n/a
Self,--,TS&W MipCap Value Trust A,Sale (Full),05/26/2023,"$50,001 - $100,000",n/a
Self,--,WB International Growth CIT,Sale (Full),05/26/2023,"$15,001 - $50,000",n/a
Self,FSSLX,Fidelity Series Small Cap Core Fund,Purchase,05/26/2023,"$100,001 - $250,000",n/a
Self,AEPGX,American Funds Europacific Growth A,Purchase,05/26/2023,"$15,001 - $50,000",n/a
Joint,--,Private Equity Co-Investment Partners III LLC,Purchase,03/27/2023,"$1,001 - $15,000",n/a
Joint,--,TPG Tech Adjacencies II Access LLC,Purchase,11/09/2023,"$1,001 - $15,000",n/a
Joint,--,Private Equity Co-Investment Partners III LLC,Purchase,12/11/2023,"$1,001 - $15,000",n/a
