Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,GLDM,SPDR Gold Minishares Trust,Sale (Partial),03/09/2023,"$1,000,001 - $5,000,000",n/a
Self,GDX,VanEck Vectors Gold Miners ETF,Sale (Full),03/09/2023,"$1,000,001 - $5,000,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,01/03/2023,"$15,001 - $50,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,02/28/2023,"$15,001 - $50,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,03/15/2023,"$15,001 - $50,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,04/27/2023,"$15,001 - $50,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,06/22/2023,"$1,001 - $15,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,08/11/2023,"$15,001 - $50,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,09/06/2023,"$15,001 - $50,000",n/a
Self,ILF,iShares Latin America 40 ETF,Purchase,10/17/2023,"$15,001 - $50,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,01/03/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,02/28/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,03/15/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,04/27/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,05/18/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,06/22/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,08/11/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,09/06/2023,"$50,001 - $100,000",n/a
Spouse,NANR,SPDR S&P North American Natural Resources ETF,Purchase,10/17/2023,"$50,001 - $100,000",n/a
Self,NANR,SPDR S&P North American Natural Resources ETF,Purchase,11/17/2023,"$100,001 - $250,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,01/03/2023,"$100,001 - $250,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,02/28/2023,"$100,001 - $250,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,03/15/2023,"$100,001 - $250,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,04/27/2023,"$100,001 - $250,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,05/18/2023,"$100,001 - $250,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,06/22/2023,"$100,001 - $250,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,08/11/2023,"$50,001 - $100,000",n/a
Self,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,09/06/2023,"$100,001 - $250,000",n/a
