Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,MUB,iShares National Muni Bond ETF,Purchase,06/05/2023,"$15,001 - $50,000",n/a
Self,APHJX,Artisan International Small-Mid Fund - Instituti,Sale (Partial),06/02/2023,"$1,001 - $15,000",n/a
Self,MIEIX,MFS Institutional Investors Trust - MFS Institut,Sale (Partial),06/02/2023,"$15,001 - $50,000",n/a
Spouse,JETS,U.S. Global Jets ETF,Sale (Full),06/28/2023,"$50,001 - $100,000",
Spouse,FDIVX,Fidelity Diversified International Fund,Purchase,12/08/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,09/15/2023,"$1,001 - $15,000",
Child,SPY,SPDR S&P 500,Purchase,09/29/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,09/15/2023,"$1,001 - $15,000",
Child,SPY,SPDR S&P 500,Purchase,09/29/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,09/15/2023,"$1,001 - $15,000",
Child,SPY,SPDR S&P 500,Purchase,09/29/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/17/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/30/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/17/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/30/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/17/2023,"$1,001 - $15,000",
Child,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/30/2023,"$1,001 - $15,000",
Spouse,JETS,U.S. Global Jets ETF,Sale (Full),06/28/2023,"$1,001 - $15,000",
Spouse,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/17/2023,"$15,001 - $50,000",
