Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,BITO,Proshares Bitcoin Strategy ETF,Sale (Full),08/29/2023,"$15,001 - $50,000",n/a
Self,--,VIMAX,Sale (Full),08/24/2023,"$15,001 - $50,000",n/a
Self,VGHAX,Vanguard Health Care Fund Admiral Shares,Purchase,03/28/2023,"$1,001 - $15,000",n/a
Self,VGHAX,Vanguard Health Care Fund Admiral Shares,Sale (Full),08/24/2023,"$100,001 - $250,000",n/a
Self,PIN,Invesco India ETF,Sale (Full),08/30/2023,"$100,001 - $250,000",n/a
Self,HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,Sale (Full),08/30/2023,"$15,001 - $50,000",n/a
Self,BLCN,Siren Nasdaq NexGen Economy ETF,Sale (Full),08/30/2023,"$1,001 - $15,000",n/a
Self,VSMGX,Vanguard Lifestrategy Moderate Growth Fund,Sale (Full),08/24/2023,"$50,001 - $100,000",n/a
Self,BITQ,Bitwise Crypto Industry Innovators ETF,Sale (Full),08/29/2023,"$1,001 - $15,000",n/a
Self,--,Amplify Blockchain Leaders ETF,Sale (Full),08/29/2023,"$1,001 - $15,000",n/a
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,12/27/2023,"$1,001 - $15,000",n/a
Self,VTINX,Vanguard Target Retirement Income Fund,Purchase,12/27/2023,"$1,001 - $15,000",n/a
Joint,BITO,Proshares Bitcoin Strategy ETF,Sale (Full),01/11/2023,"$1,001 - $15,000",n/a
Joint,SMIN,Ishares MSCI India Small Cap ETF,Sale (Full),01/11/2023,"$15,001 - $50,000",n/a
Joint,XBTF,Vaneck Bitcoin Strategy ETF,Sale (Full),01/11/2023,"$1,001 - $15,000",n/a
Joint,--,Amplify Blockchain Leaders ETF,Sale (Full),08/29/2023,"$1,001 - $15,000",n/a
Joint,VWILX,Vanguard International Growth Fund Admiral Share,Sale (Full),01/10/2023,"$15,001 - $50,000",n/a
Joint,VIMAX,Vanguard Mid-Cap Index Fund Admiral Shares,Sale (Full),11/06/2023,"$50,001 - $100,000",n/a
Joint,BTF,Valkyrie Bitcoin and Ether Strategy ETF,Sale (Full),01/11/2023,"$1,001 - $15,000",n/a
Joint,BLCN,Siren Nasdaq NexGen Economy ETF,Sale (Full),08/29/2023,"$1,001 - $15,000",n/a
Joint,--,Gen 5,Sale (Full),10/01/2023,"$1,000,001 - $5,000,000",n/a
