Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Spouse,IJH,iShares Core S&P Mid-Cap ETF,Purchase,01/25/2023,"$15,001 - $50,000",n/a
Spouse,--,SNOXX - Schwab Treasury Obligations Money Fd,Purchase,01/25/2023,"$15,001 - $50,000",
Spouse,VIG,Vanguard Div Appreciation ETF,Purchase,01/25/2023,"$50,001 - $100,000",n/a
Spouse,VIG,Vanguard Div Appreciation ETF,Purchase,04/04/2023,"$15,001 - $50,000",n/a
Spouse,--,SNOXX - Schwab Treasury Obligations Money Fd,Purchase,04/13/2023,"$1,001 - $15,000",
Spouse,--,SNOXX - Schwab Treasury Obligations Money Fd,Sale (Partial),04/04/2023,"$15,001 - $50,000",
Spouse,--,SNOXX - Schwab Treasury Obligations Money Fd,Purchase,07/18/2023,"$15,001 - $50,000",
Spouse,--,SPY - SPDR S&P 500 ETF,Purchase,07/18/2023,"$15,001 - $50,000",n/a
Spouse,--,SNOXX - Schwab Treasury Obligations Money Fd,Purchase,07/18/2023,"$1,001 - $15,000",
Spouse,--,SPY - SPDR S&P 500 ETF,Purchase,09/01/2023,"$15,001 - $50,000",n/a
Spouse,--,SNOXX - Schwab Treasury Obligations Money Fd,Sale (Partial),09/01/2023,"$15,001 - $50,000",
Spouse,--,SNOXX - Schwab Treasury Obligations Money Fd,Sale (Partial),11/09/2023,"$15,001 - $50,000",
