Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,SPY,SPDR S&P 500,Purchase,10/31/2023,"$50,001 - $100,000",n/a
Joint,SGIIX,First Eagle Global Fund Class I,Purchase,10/31/2023,"$1,001 - $15,000",n/a
Joint,PONPX,Pimco Income Fund Class I-2,Purchase,10/31/2023,"$15,001 - $50,000",n/a
Joint,PRHSX,T. Rowe Price Health Sciences Fund Inc.,Purchase,10/31/2023,"$1,001 - $15,000",n/a
Joint,TSIIX,Thornburg Strategic Income Fund Class I Shs,Purchase,10/31/2023,"$50,001 - $100,000",n/a
Joint,LLDYX,Lord Abbett Inv Tr. Short Duration Income Fd Cl,Sale (Full),10/31/2023,"$15,001 - $50,000",n/a
Joint,FVD,First Trust VL Dividend,Sale (Full),10/31/2023,"$15,001 - $50,000",n/a
Joint,HBLIX,Hartford Balanced Income Fund Class I,Sale (Partial),10/31/2023,"$1,001 - $15,000",n/a
Joint,VO,Vanguard Mid-Cap ETF,Sale (Partial),10/31/2023,"$1,001 - $15,000",n/a
Joint,VB,Vanguard Small-Cap ETF,Sale (Full),10/31/2023,"$15,001 - $50,000",n/a
Joint,PRHSX,T. Rowe Price Health Sciences Fund Inc.,Purchase,12/18/2023,"$1,001 - $15,000",n/a
Joint,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/31/2023,"$1,001 - $15,000",n/a
Self,PXSGX,Virtus Kar Small-Cap Growth Fund I,Purchase,12/21/2023,"$1,001 - $15,000",n/a
Self,VWINX,Vanguard Wellesley Income Fund,Purchase,12/18/2023,"$1,001 - $15,000",n/a
Self,PRHSX,T. Rowe Price Health Sciences Fund Inc.,Purchase,12/18/2023,"$1,001 - $15,000",n/a
Self,SGIIX,First Eagle Global Fund Class I,Purchase,12/06/2023,"$1,001 - $15,000",n/a
Self,PFBPX,Pimco International Bond Fund [U.S. Dollar-Hedge,Purchase,09/19/2023,"$15,001 - $50,000",n/a
Self,QQQ,Invesco QQQ Trust; Series 1,Purchase,09/19/2023,"$1,001 - $15,000",n/a
Self,PONPX,Pimco Income Fund Class I-2,Purchase,09/19/2023,"$1,001 - $15,000",n/a
Self,MBB,iShares MBS ETF,Sale (Full),09/19/2023,"$15,001 - $50,000",n/a
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,03/01/2023,"$1,001 - $15,000",n/a
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,06/01/2023,"$1,001 - $15,000",n/a
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,09/01/2023,"$1,001 - $15,000",n/a
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,12/01/2023,"$1,001 - $15,000",n/a
