Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,GQEIX,Gqg Partners US Select Quality Equity Fund Insti,Sale (Partial),02/15/2023,"$1,001 - $15,000",n/a
Self,GQEIX,Gqg Partners US Select Quality Equity Fund Insti,Sale (Partial),03/08/2023,"$1,001 - $15,000",n/a
Self,EGFIX,Edgewood Growth Fund Insti,Sale (Partial),03/08/2023,"$1,001 - $15,000",n/a
Self,NCRLX,Neuberger Berman Core Bond Institutional Class,Sale (Partial),03/08/2023,"$1,001 - $15,000",n/a
Self,VSIAX,Vanguard Small-Cap Value Index Fd Admiral,Sale (Full),03/14/2023,"$1,001 - $15,000",n/a
Self,EGFIX,Edgewood Growth Fund Insti,Sale (Partial),08/11/2023,"$1,001 - $15,000",n/a
Self,GQEIX,Gqg Partners US Select Quality Equity Fund Insti,Sale (Partial),08/11/2023,"$1,001 - $15,000",n/a
Self,VFIAX,Vanguard 500 Index Fd Admiral Shs,Sale (Partial),08/11/2023,"$1,001 - $15,000",n/a
Self,VWIAX,Vanguard Wellesley Income Fund Admiral Shares,Sale (Full),08/11/2023,"$15,001 - $50,000",n/a
Self,EGFIX,Edgewood Growth Fund Insti,Sale (Partial),09/07/2023,"$1,001 - $15,000",n/a
Self,GQEIX,Gqg Partners US Select Quality Equity Fund Insti,Sale (Partial),09/07/2023,"$1,001 - $15,000",n/a
Self,MWTSX,Metropolitan West Total Return Bond Fd Plan Cl S,Sale (Partial),12/11/2023,"$1,001 - $15,000",n/a
Self,APHKX,Artisan International Value Fd Insti Shs,Purchase,02/15/2023,"$1,001 - $15,000",n/a
Self,MWTSX,Metropolitan West Total Return Bond Fd Plan Cl S,Purchase,02/15/2023,"$1,001 - $15,000",n/a
Self,VWIAX,Vanguard Wellesley Income Fund Admiral Shares,Purchase,02/16/2023,"$1,001 - $15,000",n/a
Self,QRSIX,Fpa Queens Road Small Cap Value Fund Institution,Purchase,08/11/2023,"$1,001 - $15,000",n/a
Self,MWTSX,Metropolitan West Total Return Bond Fd Plan Cl S,Purchase,08/11/2023,"$1,001 - $15,000",n/a
Self,JHEQX,Jpmorgan Hedged Equity Fund I Class,Purchase,08/11/2023,"$1,001 - $15,000",n/a
Self,GMCPX,Goldman Sachs Short Duration Bond Fund Class P S,Purchase,01/03/2023,"$100,001 - $250,000",n/a
Self,GMDPX,Goldman Sachs Short Duration Government Fund Cla,Purchase,01/03/2023,"$100,001 - $250,000",n/a
Self,SPY,S&P 500 SPDR,Purchase,02/22/2023,"$250,001 - $500,000",n/a
Self,HYD,VanEck ETF Trust VanEck High Yield Muni ETF,Purchase,10/16/2023,"$1,000,001 - $5,000,000",n/a
Self,BKLN,Invesco Senior Loan ETF,Purchase,10/17/2023,"$1,000,001 - $5,000,000",n/a
Self,SPY,S&P 500 SPDR,Purchase,11/17/2023,"$250,001 - $500,000",n/a
Self,GGLPX,Goldman Sachs High Yield Municipal Fund Class P,Purchase,11/28/2023,"$1,000,001 - $5,000,000",n/a
Self,GGNPX,Goldman Sachs High Yield Floating Rate Fund Clas,Purchase,11/29/2023,"$1,000,001 - $5,000,000",n/a
