Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,VUSB,Vanguard Ultra-Short Bond ETF,Sale (Partial),03/17/2023,"$250,001 - $500,000",
Self,PIREX,Principal Fds Inc. Real Estate Securities Fd IN,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,UBVLX,Undiscovered Managers Behavioral Value Fund Clas,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,AEPFX,Europacific Growth Fund Class F-2 Shs,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,AMCFX,Amcap Fund Class F-2 Shares,Sale (Full),04/06/2023,"$100,001 - $250,000",
Self,AMRFX,American Mutual Fund Class F-2 Shares,Sale (Full),04/06/2023,"$100,001 - $250,000",
Self,MISIX,Victory Trivalent International Small-Cap Cl I,Sale (Full),04/06/2023,"$15,001 - $50,000",
Self,PRJIX,T. Rowe Price New Horizons Fund - I Class,Sale (Full),04/06/2023,"$100,001 - $250,000",
Self,NFFFX,New World Fund Inc. Class F-2 Shs,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,DIA,SPDR Dow Jones Industrial Average ETF,Purchase,04/06/2023,"$50,001 - $100,000",
Self,VUSB,Vanguard Ultra-Short Bond ETF,Purchase,04/06/2023,"$50,001 - $100,000",
Self,SPY,SPDR S&P 500,Purchase,04/06/2023,"$100,001 - $250,000",
Self,PIREX,Principal Fds Inc. Real Estate Securities Fd IN,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,AEPFX,Europacific Growth Fund Class F-2 Shs,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,AMRFX,American Mutual Fund Class F-2 Shares,Sale (Full),04/06/2023,"$100,001 - $250,000",
Self,AMCFX,Amcap Fund Class F-2 Shares,Sale (Full),04/06/2023,"$100,001 - $250,000",
Self,NFFFX,New World Fund Inc. Class F-2 Shs,Sale (Full),04/06/2023,"$50,001 - $100,000",
Self,DIA,SPDR Dow Jones Industrial Average ETF,Purchase,04/06/2023,"$50,001 - $100,000",
Self,VUSB,Vanguard Ultra-Short Bond ETF,Purchase,04/06/2023,"$50,001 - $100,000",
Self,NOBL,S&P 500 Dividend Aristocrats ETF,Purchase,04/06/2023,"$50,001 - $100,000",
Self,SPY,S&P 500 SPDR,Purchase,04/06/2023,"$100,001 - $250,000",
Self,VUSB,Vanguard Ultra-Short Bond ETF,Purchase,04/10/2023,"$15,001 - $50,000",
Self,VUSB,Vanguard Ultra-Short Bond ETF,Purchase,04/10/2023,"$15,001 - $50,000",
Self,VUSB,Vanguard Ultra-Short Bond ETF,Sale (Partial),08/08/2023,"$50,001 - $100,000",
Self,VUSB,Vanguard Ultra-Short Bond ETF,Sale (Full),09/08/2023,"$100,001 - $250,000",
Self,SPY,S&P 500 SPDR,Sale (Partial),09/28/2023,"$250,001 - $500,000",
Self,IBDO,iShares iBonds Dec 2023 Term Corporate ETF,Sale (Full),12/12/2023,"$100,001 - $250,000",
Self,IBDP,iShares iBonds Dec 2024 Term Corporate ETF,Purchase,12/12/2023,"$100,001 - $250,000",
Self,IBDP,iShares iBonds Dec 2024 Term Corporate ETF,Purchase,12/12/2023,"$100,001 - $250,000",
Self,IBDO,iShares iBonds Dec 2023 Term Corporate ETF,Sale (Full),12/12/2023,"$100,001 - $250,000",
Child,CPPAX,American Funds Preservation Portfolio Class 529-,Sale (Partial),01/12/2023,"$1,001 - $15,000",n/a
Child,CPPAX,American Funds Preservation Portfolio Class 529-,Sale (Partial),07/20/2023,"$15,001 - $50,000",n/a
Child,CPPAX,American Funds Preservation Portfolio Class 529-,Sale (Partial),11/27/2023,"$1,001 - $15,000",n/a
Child,CPPAX,American Funds Preservation Portfolio Class 529-,Sale (Partial),12/12/2023,"$15,001 - $50,000",n/a
Child,CIPAX,American Funds Conservative Growth and Income Po,Sale (Partial),07/20/2023,"$15,001 - $50,000",n/a
Child,CIPAX,American Funds Conservative Growth and Income Po,Sale (Full),07/24/2023,"$50,001 - $100,000",n/a
Child,CPPAX,American Funds Preservation Portfolio Class 529-,Sale (Partial),07/20/2023,"$1,001 - $15,000",n/a
Child,CPPAX,American Funds Preservation Portfolio Class 529-,Purchase,07/24/2023,"$50,001 - $100,000",n/a
Child,CPPAX,American Funds Preservation Portfolio Class 529-,Sale (Partial),12/12/2023,"$15,001 - $50,000",n/a
Self,NOBL,S&P 500 Dividend Aristocrats ETF,Purchase,04/06/2023,"$50,001 - $100,000",
