roll_number,member_full,first_name,last_name,party,state,lis_member_id,vote_cast
1,Baldwin (D-WI),Tammy,Baldwin,D,WI,S354,Yea
1,Barrasso (R-WY),John,Barrasso,R,WY,S317,Nay
1,Bennet (D-CO),Michael,Bennet,D,CO,S330,Nay
1,Blackburn (R-TN),Marsha,Blackburn,R,TN,S396,Nay
1,Blumenthal (D-CT),Richard,Blumenthal,D,CT,S341,Yea
1,Booker (D-NJ),Cory,Booker,D,NJ,S370,Yea
1,Boozman (R-AR),John,Boozman,R,AR,S343,Nay
1,Braun (R-IN),Mike,Braun,R,IN,S397,Nay
1,Britt (R-AL),Katie,Britt,R,AL,S416,Nay
1,Brown (D-OH),Sherrod,Brown,D,OH,S307,Yea
1,Budd (R-NC),Ted,Budd,R,NC,S417,Nay
1,Cantwell (D-WA),Maria,Cantwell,D,WA,S275,Yea
1,Capito (R-WV),Shelley,Capito,R,WV,S372,Yea
1,Cardin (D-MD),Ben,Cardin,D,MD,S308,Yea
1,Carper (D-DE),Thomas,Carper,D,DE,S277,Yea
1,Casey (D-PA),Bob,Casey,D,PA,S309,Yea
1,Cassidy (R-LA),Bill,Cassidy,R,LA,S373,Nay
1,Collins (R-ME),Susan,Collins,R,ME,S252,Yea
1,Coons (D-DE),Christopher,Coons,D,DE,S337,Yea
1,Cornyn (R-TX),John,Cornyn,R,TX,S287,Yea
1,Cortez Masto (D-NV),Catherine,Cortez Masto,D,NV,S385,Yea
1,Cotton (R-AR),Tom,Cotton,R,AR,S374,Nay
1,Cramer (R-ND),Kevin,Cramer,R,ND,S398,Nay
1,Crapo (R-ID),Mike,Crapo,R,ID,S266,Nay
1,Cruz (R-TX),Ted,Cruz,R,TX,S355,Nay
1,Daines (R-MT),Steve,Daines,R,MT,S375,Nay
1,Duckworth (D-IL),Tammy,Duckworth,D,IL,S386,Yea
1,Durbin (D-IL),Richard,Durbin,D,IL,S253,Yea
1,Ernst (R-IA),Joni,Ernst,R,IA,S376,Yea
1,Feinstein (D-CA),Dianne,Feinstein,D,CA,S221,Yea
1,Fetterman (D-PA),John,Fetterman,D,PA,S418,Yea
