Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,MNNAX,Victory Munder Multi-Cap Fund Class A,Purchase,12/13/2023,"$1,001 - $15,000"
Self,VHCAX,Vanguard Capital Opportunity Fund Admiral Shares,Purchase,12/19/2023,"$1,001 - $15,000"
Self,VHCAX,Vanguard Capital Opportunity Fund Admiral Shares,Purchase,12/19/2023,"$1,001 - $15,000"
Self,VSIAX,Vanguard Small-Cap Value Index Fd Admiral,Purchase,03/22/2023,"$1,001 - $15,000"
Self,VSIAX,Vanguard Small-Cap Value Index Fd Admiral,Purchase,06/22/2023,"$1,001 - $15,000"
Self,VSIAX,Vanguard Small-Cap Value Index Fd Admiral,Purchase,09/20/2023,"$1,001 - $15,000"
Self,VSIAX,Vanguard Small-Cap Value Index Fd Admiral,Purchase,12/20/2023,"$1,001 - $15,000"
Self,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,03/23/2023,"$1,001 - $15,000"
Self,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,06/28/2023,"$1,001 - $15,000"
Self,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,09/27/2023,"$1,001 - $15,000"
Self,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,12/19/2023,"$1,001 - $15,000"
Spouse,PRIUX,T. Rowe Price International Stock Fund - I Class,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,RPTIX,T. Rowe Price Mid-Cap Growth Fund - I Class,Purchase,12/13/2023,"$15,001 - $50,000"
Spouse,OTIIX,T. Rowe Price Small-Cap Stock Fund - I Class,Purchase,12/13/2023,"$1,001 - $15,000"
Spouse,TBCIX,T. Rowe Price Blue Chip Growth Fund - I Class,Purchase,12/13/2023,"$15,001 - $50,000"
Spouse,--,(Heritage Foundation Retirement) SLASX-Selected American Shares S,Purchase,06/27/2023,"$1,001 - $15,000"
Spouse,--,(Heritage Foundation Retirement) SLASX-Selected American Shares S,Purchase,12/08/2023,"$1,001 - $15,000"
Spouse,JDVPX,John Hancock Funds III Disciplined Value Fd Cl R,Purchase,12/20/2023,"$1,001 - $15,000"
Spouse,GFFFX,The Growth Fund of America Class F-2 Shares,Purchase,12/18/2023,"$1,001 - $15,000"
Spouse,WGIFX,Capital World Growth and Income Fund Class F-2 S,Purchase,12/13/2023,"$1,001 - $15,000"
Spouse,RSPYX,Victory Rs Partners Fund - Class Y,Purchase,12/14/2022,"$1,001 - $15,000"
Spouse,GFFFX,The Growth Fund of America Class F-2 Shares,Purchase,12/18/2023,"$1,001 - $15,000"
Joint,VXUS,Vanguard Total International Stock ETF,Purchase,10/17/2023,"$1,000,001 - $5,000,000"
Joint,VMLUX,Vanguard Limited-Term Tax-Exempt Fd Admiral Shs,Purchase,10/27/2023,"$15,001 - $50,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,03/23/2023,"$1,001 - $15,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,05/30/2023,"$50,001 - $100,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,06/23/2023,"$15,001 - $50,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,06/28/2023,"$50,001 - $100,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,07/27/2023,"$50,001 - $100,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,08/29/2023,"$50,001 - $100,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,09/21/2023,"$15,001 - $50,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Purchase,09/28/2023,"$50,001 - $100,000"
Joint,VEU,Vanguard FTSE All World Ex US ETF,Sale (Full),10/13/2023,"$1,000,001 - $5,000,000"
Joint,VOO,S&P 500 ETF Vanguard,Purchase,03/29/2023,"$15,001 - $50,000"
Joint,VOO,Vanguard S&P 500 ETF,Purchase,07/05/2023,"$15,001 - $50,000"
Joint,VOO,Vanguard S&P 500 ETF,Purchase,10/03/2023,"$15,001 - $50,000"
Joint,VOO,Vanguard S&P 500 ETF,Purchase,12/26/2023,"$15,001 - $50,000"
Joint,VXUS,Vanguard Total International Stock ETF,Purchase,12/21/2023,"$15,001 - $50,000"
Spouse,VFIDX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,05/26/2023,"$15,001 - $50,000"
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Purchase,05/26/2023,"$15,001 - $50,000"
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Purchase,06/27/2023,"$15,001 - $50,000"
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Purchase,07/26/2023,"$15,001 - $50,000"
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Purchase,08/28/2023,"$15,001 - $50,000"
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Purchase,09/27/2023,"$15,001 - $50,000"
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Purchase,10/27/2023,"$15,001 - $50,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,05/30/2023,"$15,001 - $50,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,07/27/2023,"$15,001 - $50,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,08/29/2023,"$15,001 - $50,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,09/28/2023,"$15,001 - $50,000"
Spouse,BNDX,Vanguard Total International Bond ETF,Purchase,05/30/2023,"$15,001 - $50,000"
Spouse,BNDX,Vanguard Total International Bond ETF,Purchase,06/28/2023,"$15,001 - $50,000"
Spouse,BNDX,Vanguard Total International Bond ETF,Purchase,07/27/2023,"$15,001 - $50,000"
Spouse,BNDX,Vanguard Total International Bond ETF,Purchase,08/29/2023,"$15,001 - $50,000"
Spouse,BNDX,Vanguard Total International Bond ETF,Purchase,09/28/2023,"$15,001 - $50,000"
Spouse,BNDX,Vanguard Total International Bond ETF,Purchase,10/30/2023,"$15,001 - $50,000"
Spouse,BNDX,Vanguard Total International Bond ETF,Purchase,12/28/2023,"$1,001 - $15,000"
Spouse,VFIDX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,06/27/2023,"$15,001 - $50,000"
Spouse,VFIDX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,07/26/2023,"$15,001 - $50,000"
Spouse,VFIDX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,08/28/2023,"$15,001 - $50,000"
Spouse,VFIDX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,09/27/2023,"$15,001 - $50,000"
Spouse,VFIDX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,10/27/2023,"$15,001 - $50,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,06/28/2023,"$15,001 - $50,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,10/30/2023,"$15,001 - $50,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,05/30/2023,"$100,001 - $250,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,06/28/2023,"$100,001 - $250,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,06/28/2023,"$1,001 - $15,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,07/27/2023,"$100,001 - $250,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,08/29/2023,"$100,001 - $250,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,09/26/2023,"$1,001 - $15,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,09/28/2023,"$100,001 - $250,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,10/30/2023,"$100,001 - $250,000"
Spouse,VO,Vanguard Mid-Cap ETF,Purchase,12/27/2023,"$1,001 - $15,000"
