Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,FNCMX,Fidelity Nasdaq Composite Index,Sale (Partial),02/14/2023,"$15,001 - $50,000"
Self,FNCMX,Fidelity Nasdaq Composite Index,Purchase,09/12/2023,"$15,001 - $50,000"
Self,FCNTX,Fidelity Contra Fund,Sale (Full),01/17/2023,"$50,001 - $100,000"
Self,FOCPX,Fidelity OTC Pt,Purchase,05/25/2023,"$50,001 - $100,000"
Self,FBGRX,Fidelity Blue Chip Growth Fund,Sale (Partial),01/13/2023,"$50,001 - $100,000"
Self,FBGRX,Fidelity Blue Chip Growth Fund,Purchase,04/17/2023,"$50,001 - $100,000"
Self,FLCEX,Fidelity Large Cap Core Enhanced Index Fund,Purchase,02/15/2023,"$1,001 - $15,000"
Self,FLCEX,Fidelity Large Cap Core Enhanced Index Fund,Sale (Partial),03/30/2023,"$1,001 - $15,000"
Self,FLCEX,Fidelity Large Cap Core Enhanced Index Fund,Sale (Partial),05/24/2023,"$15,001 - $50,000"
Self,FLCEX,Fidelity Large Cap Core Enhanced Index Fund,Sale (Full),06/01/2023,"$50,001 - $100,000"
Self,AKRIX,Akre Focus - Institutional,Sale (Full),04/13/2023,"$50,001 - $100,000"
Self,QQQ,Invesco QQQ Trust; Series 1,Purchase,07/17/2023,"$15,001 - $50,000"
Self,QQQ,Invesco QQQ Trust; Series 1,Purchase,09/13/2023,"$1,001 - $15,000"
Self,FIGFX,Fidelity International Growth Fund,Purchase,05/24/2023,"$15,001 - $50,000"
Self,FIGFX,Fidelity International Growth Fund,Sale (Full),09/12/2023,"$15,001 - $50,000"
Self,FXAIX,Fidelity 500 Index Fund,Purchase,01/17/2023,"$100,001 - $250,000"
Self,FXAIX,Fidelity 500 Index Fund,Sale (Partial),02/16/2023,"$50,001 - $100,000"
Self,FXAIX,Fidelity 500 Index Fund,Sale (Full),09/12/2023,"$50,001 - $100,000"
Self,FMILX,Fidelity New Millennium Fund,Purchase,09/12/2023,"$15,001 - $50,000"
Self,FDIVX,Fidelity Diversified International Fund,Purchase,02/16/2023,"$15,001 - $50,000"
Self,FDIVX,Fidelity Diversified International Fund,Sale (Partial),06/29/2023,"$1,001 - $15,000"
Self,FDIVX,Fidelity Diversified International Fund,Sale (Full),07/17/2023,"$15,001 - $50,000"
Self,FSPTX,Fidelity Select Technology,Purchase,06/01/2023,"$50,001 - $100,000"
Self,FEMKX,Fidelity Emerging Markets Fund,Purchase,02/16/2023,"$15,001 - $50,000"
Self,FEMKX,Fidelity Emerging Markets Fund,Sale (Full),05/24/2023,"$15,001 - $50,000"
Self,FMCSX,Fidelity Mid-Cap Stock Fund,Purchase,01/17/2023,"$15,001 - $50,000"
Self,FMCSX,Fidelity Mid-Cap Stock Fund,Sale (Full),05/24/2023,"$15,001 - $50,000"
Self,FCNTX,Fidelity Contra Fund,Sale (Full),01/13/2023,"$15,001 - $50,000"
Self,FOCPX,Fidelity OTC Pt,Sale (Partial),01/13/2023,"$1,001 - $15,000"
Self,FOCPX,Fidelity OTC Pt,Purchase,07/17/2023,"$15,001 - $50,000"
Self,FBGRX,Fidelity Blue Chip Growth Fund,Sale (Partial),01/13/2023,"$15,001 - $50,000"
Self,FBGRX,Fidelity Blue Chip Growth Fund,Purchase,07/14/2023,"$15,001 - $50,000"
Self,FBGRX,Fidelity Blue Chip Growth Fund,Purchase,09/12/2023,"$15,001 - $50,000"
Self,FIGFX,Fidelity International Growth Fund,Purchase,05/24/2023,"$15,001 - $50,000"
Self,FIGFX,Fidelity International Growth Fund,Sale (Full),09/12/2023,"$15,001 - $50,000"
Self,FXAIX,Fidelity 500 Index Fund,Purchase,01/17/2023,"$15,001 - $50,000"
Self,FXAIX,Fidelity 500 Index Fund,Sale (Partial),05/24/2023,"$15,001 - $50,000"
Self,FXAIX,Fidelity 500 Index Fund,Sale (Full),09/12/2023,"$15,001 - $50,000"
Self,FDIVX,Fidelity Diversified International Fund,Purchase,02/16/2023,"$1,001 - $15,000"
Self,FDIVX,Fidelity Diversified International Fund,Sale (Full),07/14/2023,"$15,001 - $50,000"
Self,FOSFX,Fidelity Overseas Fund,Purchase,02/16/2023,"$15,001 - $50,000"
Self,FOSFX,Fidelity Overseas Fund,Sale (Full),07/14/2023,"$15,001 - $50,000"
Self,FEQIX,Fidelity Equity Income Fund,Purchase,01/13/2023,"$15,001 - $50,000"
Self,FEQIX,Fidelity Equity Income Fund,Sale (Full),02/16/2023,"$15,001 - $50,000"
Self,FLCEX,Fidelity Large Cap Core Enhanced Index Fund,Sale (Full),11/17/2023,"$15,001 - $50,000"
Self,FELC,Fidelity Enhanced Large Cap Core ETF,Purchase,11/17/2023,"$15,001 - $50,000"
