Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,PRVIX,T. Rowe Price Small-Cap Value Fund - I Class,Sale (Partial),08/02/2023,"$15,001 - $50,000"
Self,HLIPX,Jpmorgan Core Plus Bond Fund I Class,Sale (Full),08/02/2023,"$15,001 - $50,000"
Self,ANWFX,New Perspective Fund Class F-2 Shares,Purchase,08/02/2023,"$15,001 - $50,000"
Self,PDBZX,PGIM Total Return Bond Fund Class Z,Purchase,08/02/2023,"$15,001 - $50,000"
Self,PJFZX,PGIM Jennison Growth Fund Class Z,Purchase,08/02/2023,"$15,001 - $50,000"
Self,VUSTX,Vanguard Long-Term Treasury Fund,Purchase,08/02/2023,"$15,001 - $50,000"
Self,--,VMFXX,Sale (Partial),08/02/2023,"$1,001 - $15,000"
Self,VSMAX,Vanguard Small Cap Index Fd Admiral Shs,Sale (Partial),08/02/2023,"$50,001 - $100,000"
Self,CAIFX,Capital Income Builder Cl F-2 Shs,Sale (Full),03/01/2023,"$1,001 - $15,000"
Self,PRVIX,T. Rowe Price Small-Cap Value Fund - I Class,Sale (Partial),03/01/2023,"$15,001 - $50,000"
Self,FPNIX,Fpa New Income,Sale (Partial),03/01/2023,"$1,001 - $15,000"
Self,IGFFX,International Growth and Income Fd Cl F-2 Shs,Sale (Partial),03/01/2023,"$15,001 - $50,000"
Self,HLGEX,Jpmorgan Mid Cap Growth Fund I Class,Sale (Partial),03/01/2023,"$1,001 - $15,000"
Self,ONIAX,Jpmorgan Core Plus Bond A,Sale (Full),03/01/2023,"$1,001 - $15,000"
Self,VGIIX,Jpmorgan U.S. Value Fund Class I,Sale (Partial),03/01/2023,"$15,001 - $50,000"
Self,MQGIX,MFS International Growth Fund - Class I,Sale (Partial),03/01/2023,"$15,001 - $50,000"
Self,RAIIX,Rainier International Discovery Series - Class I,Sale (Partial),03/01/2023,"$1,001 - $15,000"
Self,PRWCX,T. Rowe Price Capital Appreciation Fund,Sale (Partial),03/01/2023,"$1,001 - $15,000"
Self,RPIFX,T. Rowe Price Institutional Floating Rate Fund,Sale (Partial),03/01/2023,"$1,001 - $15,000"
Self,--,VMFXX,Purchase,03/01/2023,"$100,001 - $250,000"
Self,VSMAX,Vanguard Small Cap Index Fd Admiral Shs,Sale (Partial),03/01/2023,"$15,001 - $50,000"
Self,VFIAX,Vanguard 500 Index Fd Admiral Shs,Sale (Partial),03/01/2023,"$1,001 - $15,000"
Self,WMFFX,Washington Mutual Investors Fund Cl F-2 Shs,Sale (Partial),03/01/2023,"$1,001 - $15,000"
