Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,VOO,Vanguard S&P 500 ETF,Purchase,12/12/2023,"$1,001 - $15,000"
Child,VOO,Vanguard S&P 500 ETF,Purchase,12/07/2023,"$1,001 - $15,000"
Child,GTLOX,Glenmede Large Cap Core Portfolio,Sale (Full),12/07/2023,"$1,001 - $15,000"
Joint,DFAPX,Dfa Investment Grade Portfolio,Purchase,09/01/2023,"$15,001 - $50,000"
Joint,VAIPX,Vanguard Inflation Protected Securities Fund Adm,Purchase,09/01/2023,"$15,001 - $50,000"
Joint,ABCIX,American Beacon The London Company Income Equity,Sale (Partial),09/01/2023,"$15,001 - $50,000"
Joint,DODGX,Dodge & Cox Stock Fund,Sale (Partial),09/01/2023,"$15,001 - $50,000"
Joint,GTCSX,Glenmede Small Capitalization Equity Portfolio A,Purchase,08/30/2023,"$50,001 - $100,000"
Joint,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Purchase,08/30/2023,"$15,001 - $50,000"
Joint,POLIX,Polen Growth Fund Institutional Class,Purchase,08/30/2023,"$100,001 - $250,000"
Joint,WCMIX,WCM Focused International Growth Fund Insti Cl,Purchase,08/30/2023,"$15,001 - $50,000"
Self,MASKX,Ishares Russell 2000 Small-Cap Index Fund - Inst,Purchase,06/15/2023,"$1,001 - $15,000"
Self,FXAIX,Fidelity 500 Index Fund,Purchase,06/14/2023,"$1,001 - $15,000"
Spouse,FXAIX,Fidelity 500 Index Fund,Purchase,06/14/2023,"$1,001 - $15,000"
Self,FSGGX,Fidelity Global Ex U.S. Index Fund,Purchase,06/14/2023,"$1,001 - $15,000"
Spouse,FSGGX,Fidelity Global Ex U.S. Index Fund,Purchase,06/14/2023,"$1,001 - $15,000"
Self,VBTLX,Vanguard Total Bond Market Index Fund Admiral Sh,Purchase,06/14/2023,"$1,001 - $15,000"
Self,IJR,iShares Core S&P Small-Cap ETF,Sale (Full),06/14/2023,"$1,001 - $15,000"
Spouse,TSCIX,Amg Timessquare Small Cap Growth Fund- Class Z,Sale (Full),06/14/2023,"$1,001 - $15,000"
Self,DODGX,Dodge & Cox Stock Fund,Sale (Full),06/14/2023,"$1,001 - $15,000"
Self,POLIX,Polen Growth Fund Institutional Class,Sale (Full),06/14/2023,"$1,001 - $15,000"
Self,WCMIX,WCM Focused International Growth Fund Insti Cl,Sale (Full),06/14/2023,"$1,001 - $15,000"
Joint,VGT,Vanguard Information Tech ETF,Sale (Full),02/10/2023,"$15,001 - $50,000"
