Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Spouse,RSP,Invesco S&P 500 Equal Weight ETF,Purchase,06/30/2023,"$1,001 - $15,000"
Joint,FSKAX,Fidelity Total Market Index Fund,Purchase,12/15/2023,"$1,001 - $15,000"
Spouse,JACTX,Janus Henderson Forty Fund - T Shares,Purchase,12/07/2023,"$15,001 - $50,000"
Spouse,EVTMX,Eaton Vance Dividend Builder Fd Cl A,Purchase,12/08/2023,"$1,001 - $15,000"
Spouse,FCNTX,Fidelity Contra Fund,Purchase,12/08/2023,"$1,001 - $15,000"
Spouse,ACSTX,Invesco Comstock Fund Class A,Purchase,12/13/2023,"$15,001 - $50,000"
Spouse,MSIGX,Invesco Oppenheimer Main Street Fund Class A,Purchase,12/15/2023,"$1,001 - $15,000"
Spouse,VWINX,Vanguard Wellesley Income Fund,Purchase,12/18/2023,"$1,001 - $15,000"
Spouse,VGSTX,Vanguard Star Fund,Purchase,12/27/2023,"$1,001 - $15,000"
Self,MSIGX,Invesco Oppenheimer Main Street Fund Class A,Purchase,12/18/2023,"$1,001 - $15,000"
Self,FEQIX,Fidelity Equity Income Fund,Purchase,12/08/2023,"$1,001 - $15,000"
Self,FMAGX,Fidelity Magellan,Purchase,12/08/2023,"$1,001 - $15,000"
Self,FPURX,Fidelity Puritan Fund,Purchase,10/13/2023,"$1,001 - $15,000"
Self,FPURX,Fidelity Puritan Fund,Purchase,12/15/2023,"$1,001 - $15,000"
Joint,ACSTX,Invesco Comstock Fund Class A,Purchase,12/13/2023,"$1,001 - $15,000"
Joint,TWCUX,American Century Ultra Investor Class,Purchase,12/19/2023,"$15,001 - $50,000"
Joint,BIGRX,American Century Income and Growth Fund Investor,Purchase,09/19/2023,"$1,001 - $15,000"
Joint,VWESX,Vanguard Long-Term Investment Grade Fund Investo,Purchase,10/20/2023,"$1,001 - $15,000"
Self,FMAGX,Fidelity Magellan,Purchase,05/12/2023,"$1,001 - $15,000"
Spouse,ACSTX,Invesco Comstock Fund Class A,Purchase,09/28/2023,"$1,001 - $15,000"
Spouse,ACSTX,Invesco Comstock Fund Class A,Purchase,06/22/2023,"$1,001 - $15,000"
Spouse,ACSTX,Invesco Comstock Fund Class A,Purchase,03/23/2023,"$1,001 - $15,000"
Spouse,IAT,iShares U.S. Regional Banks ETF,Purchase,02/14/2023,"$1,001 - $15,000"
Spouse,IAT,iShares U.S. Regional Banks ETF,Purchase,02/15/2023,"$1,001 - $15,000"
Spouse,FCNTX,Fidelity Contra Fund,Purchase,02/10/2023,"$1,001 - $15,000"
Joint,VFICX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,01/23/2023,"$1,001 - $15,000"
Joint,VFICX,Vanguard Intermediate-Term Investment Grade Fund,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,VWESX,Vanguard Long-Term Investment Grade Fund Investo,Purchase,05/19/2023,"$1,001 - $15,000"
Joint,RSP,Invesco S&P 500 Equal Weight ETF,Purchase,08/16/2023,"$1,001 - $15,000"
