Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,CMNIX,Calamos Market Neutral Fd Cl I,Sale (Full),02/15/2023,"$15,001 - $50,000"
Self,FZAHX,Fidelity Advisor Growth Opportunities Fd Cl Z,Sale (Full),02/15/2023,"$15,001 - $50,000"
Self,--,FEMKX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Self,--,FBGRX,Sale (Full),02/15/2023,"$15,001 - $50,000"
Self,CDDRX,Columbia Dividend Income Fund Class I2,Sale (Full),02/15/2023,"$15,001 - $50,000"
Self,SEKIX,Dws Emerging Markets Equity Fund - Class Institu,Sale (Full),02/15/2023,"$1,001 - $15,000"
Self,--,FIKNX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Self,--,FIQSX,Sale (Full),02/15/2023,"$15,001 - $50,000"
Joint,--,FEMKX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,CMNIX,Calamos Market Neutral Fd Cl I,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,FZAHX,Fidelity Advisor Growth Opportunities Fd Cl Z,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,--,CDDRX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,--,SEKIX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,FZAFX,Fidelity Advisor Equity Growth Fd Cl Z,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,FSSZX,Fidelity Stock Selector Small Cap Fund Class Z,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,FIKNX,Fidelity Advisor Small Cap Value Fund Class Z,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,FIQSX,Fidelity Advisor Floating Rate High Income Fund,Sale (Full),02/15/2023,"$1,001 - $15,000"
Spouse,CMNIX,Calamos Market Neutral Fd Cl I,Sale (Full),02/15/2023,"$1,001 - $15,000"
Spouse,FZAHX,Fidelity Advisor Growth Opportunities Fd Cl Z,Sale (Full),02/15/2023,"$1,001 - $15,000"
Spouse,FBGRX,Fidelity Blue Chip Growth Fund,Sale (Full),02/15/2023,"$1,001 - $15,000"
Spouse,CDDRX,Columbia Dividend Income Fund Class I2,Sale (Full),02/15/2023,"$1,001 - $15,000"
Spouse,--,FSSAX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Spouse,--,FIKNX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Spouse,--,FIQSX,Sale (Full),02/15/2023,"$1,001 - $15,000"
Joint,--,MetLife Trust,Sale (Full),03/06/2023,"$1,001 - $15,000"
Spouse,IVV,iShares Core S&P 500,Purchase,12/07/2023,"$1,001 - $15,000"
Spouse,IVV,iShares Core S&P 500,Purchase,03/03/2023,"$15,001 - $50,000"
Joint,IVV,iShares Core S&P 500,Purchase,03/07/2023,"$15,001 - $50,000"
Self,IVV,iShares Core S&P 500,Purchase,03/01/2023,"$50,001 - $100,000"
Self,SCHF,Schwab Intl Equity ETF,Purchase,03/01/2023,"$15,001 - $50,000"
Self,--,IJH,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,OAYLX,Purchase,03/01/2023,"$1,001 - $15,000"
Self,PFPMX,Parnassus Mid Cap Fund - Institutional Shares,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,EZU,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,VWO,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,NFFFX,Purchase,03/01/2023,"$1,001 - $15,000"
Self,FMIYX,Fmi International Fund Institutional Class,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,GICIX,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,IJR,Purchase,03/01/2023,"$1,001 - $15,000"
Self,VLUE,USA Value Factor Ishares Edge MSCI ETF,Purchase,03/01/2023,"$1,001 - $15,000"
Self,CSDIX,Cohen & Steers Real Estate Securities Fund Inc.,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,BCSSX,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,PCLPX,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,IAU,Purchase,03/01/2023,"$1,001 - $15,000"
Self,--,IJH,Purchase,09/25/2023,"$1,001 - $15,000"
Self,--,IJR,Purchase,09/25/2023,"$1,001 - $15,000"
Self,--,OAYLX,Sale (Partial),09/25/2023,"$1,001 - $15,000"
Self,IAU,I-80 Gold Corp,Sale (Partial),09/25/2023,"$1,001 - $15,000"
Self,EZU,Eurozone Ishares MSCI ETF,Sale (Partial),09/25/2023,"$1,001 - $15,000"
Self,FSSAX,Franklin Small Cap Growth Fd  Advisor Cl,Sale (Full),02/15/2023,"$1,001 - $15,000"
