Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,VUSFX,Vanguard Ultra-Short-Term Bond Fund Admiral,Sale (Full),12/14/2023,"$15,001 - $50,000"
Spouse,CGDV,Capital Dividend Value ETF,Purchase,12/14/2023,"$1,001 - $15,000"
Self,--,AMRFX - American Mutual Fund Class F-2 Shares,Sale (Full),12/14/2023,"$50,001 - $100,000"
Self,--,IGFFX - International Growth and Income Fd Cl F-2 Shs,Sale (Full),12/14/2023,"$15,001 - $50,000"
Self,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Sale (Full),12/14/2023,"$50,001 - $100,000"
Self,DFIVX,Dfa International Value Portfolio,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,--,WMFFX - Washington Mutual Investors Fund Cl F-2 Shs,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,CGDV,Capital Group Dividend Value ETF Capital Group Div,Purchase,12/14/2023,"$15,001 - $50,000"
Self,--,ICAFX - AF Invest CO OF AMERICA F2; Mutual Fund,Purchase,12/14/2023,"$15,001 - $50,000"
Self,--,DFSVX - Dfa U.S. Small Cap Value Portfolio,Purchase,12/14/2023,"$1,001 - $15,000"
Self,DFEV,Dimensional Emerging Markets Value ETF,Purchase,12/14/2023,"$15,001 - $50,000"
Self,DUHP,Dimensional ETF Trust Dimensional US High Profitab,Purchase,12/14/2023,"$15,001 - $50,000"
Self,DFIV,Dimensional International Value ETF,Purchase,12/14/2023,"$15,001 - $50,000"
Self,DFAT,Dimensional U.S. Targeted Value ETF,Purchase,12/14/2023,"$15,001 - $50,000"
Self,DBLSX,Doubleline Low Duration Bond Fund Class I,Sale (Partial),12/14/2023,"$1,001 - $15,000"
Self,--,FRSXX - FIMM TREASURY ONLY PORT Mutual Fund,Purchase,12/14/2023,"$50,001 - $100,000"
Self,VYM,Vanguard High Dividend Yield ETF,Purchase,12/14/2023,"$15,001 - $50,000"
Self,--,VYMI - VANGUARD INTL HIGH DIVID YIELD ETF,Purchase,12/14/2023,"$15,001 - $50,000"
Self,VGSH,Vanguard Short-Term Treasury ETF,Purchase,12/14/2023,"$50,001 - $100,000"
Self,DXJ,Wisdomtree Japan Hedged Equity Fund,Purchase,12/14/2023,"$15,001 - $50,000"
Self,CGXU,Capital Group International Focus Equity ETF Capit,Purchase,12/14/2023,"$15,001 - $50,000"
Spouse,AMRFX,American Mutual Fund Class F-2 Shares,Sale (Full),12/14/2023,"$15,001 - $50,000"
Spouse,--,ICAFX - The Investment Company of America Class F-2 Shs,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,IGFFX,International Growth and Income Fd Cl F-2 Shs,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,CGXU,Capital Group International Focus Equity ETF Capit,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,DFIVX,Dfa International Value Portfolio,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,DFSVX,Dfa U.S. Small Cap Value Portfolio,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,DFEV,Dimensional Emerging Markets Value ETF,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,--,DUHP - Dimensional US High Profitability ETF,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,DFIV,Dimensional International Value ETF,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,DFAT,Dimensional U.S. Targeted Value ETF,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,DBLSX,Doubleline Low Duration Bond Fund Class I,Sale (Partial),12/14/2023,"$1,001 - $15,000"
Spouse,--,FRSXX - FIMM Treasury Only PORT; Mutual Fund,Purchase,12/14/2023,"$15,001 - $50,000"
Spouse,VYM,High Dividend Yield Vanguard ETF,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,--,VYMI - VANGAURD INTL HIGH DIVID YIELD ETF,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,VFSUX,Vanguard Short-Term Investment Grade Fund Admira,Sale (Full),12/14/2023,"$15,001 - $50,000"
Spouse,VGSH,Vanguard Short-Term Treasury ETF,Purchase,12/14/2023,"$15,001 - $50,000"
Spouse,--,Vanguard Ultra-Short-Term Bond Fund Admiral,Sale (Full),12/14/2023,"$15,001 - $50,000"
Spouse,--,WMFFX - Washington Mutual Investors Fund Cl F-2 Shs,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,--,DXJ - WisdomTree Japan Hedged Equity Fund,Purchase,12/14/2023,"$1,001 - $15,000"
Joint,TRPXX,Invesco Treasury Portfolio Institutional Class,Purchase,10/24/2023,"$50,001 - $100,000"
