Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,MADCX,Blackrock  Emerging Markets Fund Class I,Purchase,01/12/2023,"$1,001 - $15,000"
Joint,MBB,iShares MBS ETF,Purchase,01/13/2023,"$1,001 - $15,000"
Joint,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Purchase,01/13/2023,"$1,001 - $15,000"
Joint,MADCX,Blackrock  Emerging Markets Fund Class I,Purchase,01/13/2023,"$1,001 - $15,000"
Joint,EELV,Invesco S&P Emerging Markets Low Volatility ETF,Sale (Full),01/13/2023,"$1,001 - $15,000"
Joint,ESGU,iShares ESG Aware MSCI USA ETF,Sale (Partial),01/13/2023,"$1,001 - $15,000"
Joint,SHY,iShares 1-3 Year Treasury Bond ETF,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,QUAL,iShares MSCI USA Quality Factor ETF,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Sale (Partial),03/21/2023,"$1,001 - $15,000"
Joint,IVV,iShares Core S&P 500 ETF,Sale (Partial),03/21/2023,"$1,001 - $15,000"
Joint,ESGU,iShares ESG Aware MSCI USA ETF,Sale (Full),03/21/2023,"$1,001 - $15,000"
Joint,MTUM,USA Momentum Factor Ishares Edge MSCI ETF,Sale (Full),03/21/2023,"$1,001 - $15,000"
Joint,IJH,iShares Core S&P Mid-Cap,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,EFV,iShares MSCI EAFE Value ETF,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,LQD,iShares iBoxx $ Investment Grade Corporate Bond ET,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,TLT,iShares 20+ Year Treasury Bond ETF,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,TIP,iShares TIPS Bond ETF,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,TFLO,iShares Treasury Floating Rate Bond ETF,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,IVV,iShares Core S&P 500,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,IVW,iShares S&P 500 Growth ETF,Purchase,07/24/2023,"$1,001 - $15,000"
Joint,PONPX,Pimco Income Fund Class I-2,Sale (Partial),07/21/2023,"$1,001 - $15,000"
Joint,MADCX,Blackrock  Emerging Markets Fund Class I,Sale (Partial),07/21/2023,"$1,001 - $15,000"
Joint,EFG,iShares MSCI EAFE Growth ETF,Sale (Partial),07/24/2023,"$1,001 - $15,000"
Joint,SHY,iShares 1-3 Year Treasury Bond ETF,Sale (Full),07/24/2023,"$1,001 - $15,000"
Joint,TLH,iShares 10-20 Year Treasury Bond ETF,Sale (Full),07/24/2023,"$1,001 - $15,000"
Joint,IYW,iShares U.S. Technology ETF,Sale (Partial),07/24/2023,"$1,001 - $15,000"
Joint,QUAL,iShares MSCI USA Quality Factor ETF,Sale (Partial),07/24/2023,"$1,001 - $15,000"
Joint,IVV,iShares Core S&P 500,Purchase,10/23/2023,"$1,001 - $15,000"
Joint,OEF,S&P 100 Ishares ETF,Purchase,10/23/2023,"$1,001 - $15,000"
Joint,EFG,iShares MSCI EAFE Growth ETF,Sale (Partial),10/23/2023,"$1,001 - $15,000"
Joint,USMV,iShares MSCI USA Min Vol Factor ETF,Sale (Full),10/23/2023,"$1,001 - $15,000"
