Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Spouse,FSMAX,Fidelity Extended Market Index Fund,Purchase,03/28/2023,"$1,001 - $15,000"
Spouse,VTMGX,Vanguard Developed Markets Index Admiral,Purchase,01/27/2023,"$1,001 - $15,000"
Spouse,FIQVX,Fidelity Advisor Convertible Securities Fund,Purchase,03/28/2023,"$1,001 - $15,000"
Spouse,VFIAX,Vanguard 500 Index Fd Admiral Shs,Sale (Partial),03/28/2023,"$1,001 - $15,000"
Spouse,JHQRX,Jpmorgan Hedged Equity Fund - R6,Sale (Partial),03/28/2023,"$1,001 - $15,000"
Spouse,VEMAX,Vanguard Emerging Markets Stock Index Fund Admir,Sale (Full),01/27/2023,"$1,001 - $15,000"
Self,VTMGX,Vanguard Developed Markets Index Admiral,Purchase,03/28/2023,"$15,001 - $50,000"
Self,FUMBX,Fidelity Short-Term Treasury Bond Index Fund,Purchase,09/08/2023,"$1,001 - $15,000"
Self,VWETX,Vanguard Long-Term Investment Grade Fund Admiral,Purchase,09/08/2023,"$1,001 - $15,000"
Self,TMPRX,Touchstone Mid Cap Fund Class R6,Purchase,03/28/2023,"$1,001 - $15,000"
Self,FBKWX,Fidelity Advisor Total Bond Fund Class Z,Purchase,03/28/2023,"$1,001 - $15,000"
Self,VBTLX,Vanguard Total Bond Market Index Fund Admiral Sh,Purchase,03/28/2023,"$1,001 - $15,000"
Self,VTMGX,Vanguard Developed Markets Index Admiral,Purchase,01/27/2023,"$15,001 - $50,000"
Self,OIEJX,Jpmorgan Equity Income Fund R6,Purchase,09/08/2023,"$1,001 - $15,000"
Self,FBKWX,Fidelity Advisor Total Bond Fund Class Z,Purchase,09/08/2023,"$1,001 - $15,000"
Self,FIQVX,Fidelity Advisor Convertible Securities Fund,Purchase,03/28/2023,"$15,001 - $50,000"
Self,JMBUX,Jpmorgan Mortgage Backed Securities Fund R6,Purchase,09/08/2023,"$1,001 - $15,000"
Self,VWETX,Vanguard Long-Term Investment Grade Fund Admiral,Purchase,03/28/2023,"$1,001 - $15,000"
Self,VIGAX,Vanguard Growth Index Fd Admiral Shs,Sale (Partial),03/28/2023,"$15,001 - $50,000"
Self,JHQRX,Jpmorgan Hedged Equity Fund - R6,Sale (Partial),09/08/2023,"$1,001 - $15,000"
Self,VBTLX,Vanguard Total Bond Market Index Fund Admiral Sh,Sale (Partial),09/08/2023,"$1,001 - $15,000"
Self,FIQVX,Fidelity Advisor Convertible Securities Fund,Sale (Partial),09/08/2023,"$1,001 - $15,000"
Self,CSRSX,Cohen & Steers Realty Shares Inc.,Sale (Partial),03/28/2023,"$1,001 - $15,000"
Self,CSRSX,Cohen & Steers Realty Shares Inc.,Sale (Partial),09/08/2023,"$1,001 - $15,000"
Self,VIGAX,Vanguard Growth Index Fd Admiral Shs,Sale (Partial),09/08/2023,"$1,001 - $15,000"
Self,FIPDX,Fidelity Inflation-Protected Bond Index Fund,Sale (Partial),03/28/2023,"$1,001 - $15,000"
Self,TMPRX,Touchstone Mid Cap Fund Class R6,Sale (Partial),09/08/2023,"$1,001 - $15,000"
Self,JHQRX,Jpmorgan Hedged Equity Fund - R6,Sale (Partial),03/28/2023,"$15,001 - $50,000"
Self,OIEJX,Jpmorgan Equity Income Fund R6,Sale (Partial),03/28/2023,"$15,001 - $50,000"
Self,VEMAX,Vanguard Emerging Markets Stock Index Fund Admir,Sale (Full),01/27/2023,"$15,001 - $50,000"
Self,FUMBX,Fidelity Short-Term Treasury Bond Index Fund,Sale (Partial),05/25/2023,"$1,001 - $15,000"
Self,JMGIX,Jpmorgan Managed Income Fund L Class,Sale (Full),01/03/2023,"$1,001 - $15,000"
Self,CSRSX,Cohen & Steers Realty Shares Inc.,Purchase,02/23/2023,"$15,001 - $50,000"
Self,CSRSX,Cohen & Steers Realty Shares Inc.,Purchase,03/23/2023,"$15,001 - $50,000"
Self,CSRSX,Cohen & Steers Realty Shares Inc.,Purchase,04/24/2023,"$15,001 - $50,000"
Self,CSRSX,Cohen & Steers Realty Shares Inc.,Purchase,05/23/2023,"$50,001 - $100,000"
Self,DAADX,Emerging Markets Ex China Core Equity Portfolio,Purchase,09/05/2023,"$100,001 - $250,000"
Self,FIQVX,Fidelity Advisor Convertible Securities Fund,Purchase,02/23/2023,"$1,001 - $15,000"
Self,FIQVX,Fidelity Advisor Convertible Securities Fund,Purchase,03/23/2023,"$15,001 - $50,000"
Self,FIQVX,Fidelity Advisor Convertible Securities Fund,Purchase,04/24/2023,"$15,001 - $50,000"
Self,FIQVX,Fidelity Advisor Convertible Securities Fund,Purchase,05/23/2023,"$15,001 - $50,000"
Self,GSMTX,Goldman Sachs Municipal Income Fund Institutiona,Purchase,02/23/2023,"$15,001 - $50,000"
Self,GSMTX,Goldman Sachs Municipal Income Fund Institutiona,Purchase,03/23/2023,"$15,001 - $50,000"
Self,GSMTX,Goldman Sachs Municipal Income Fund Institutiona,Purchase,04/24/2023,"$15,001 - $50,000"
Self,GSMTX,Goldman Sachs Municipal Income Fund Institutiona,Purchase,05/23/2023,"$50,001 - $100,000"
Self,JEPRX,Jpmorgan Equity Premium Income Fund Class R6,Purchase,02/23/2023,"$100,001 - $250,000"
Self,JEPRX,Jpmorgan Equity Premium Income Fund Class R6,Purchase,03/23/2023,"$100,001 - $250,000"
Self,JEPRX,Jpmorgan Equity Premium Income Fund Class R6,Purchase,04/24/2023,"$100,001 - $250,000"
Self,JEPRX,Jpmorgan Equity Premium Income Fund Class R6,Purchase,05/23/2023,"$250,001 - $500,000"
Self,JEPRX,Jpmorgan Equity Premium Income Fund Class R6,Purchase,09/05/2023,"$15,001 - $50,000"
Self,JHQRX,Jpmorgan Hedged Equity Fund - R6,Purchase,02/23/2023,"$15,001 - $50,000"
Self,JHQRX,Jpmorgan Hedged Equity Fund - R6,Purchase,03/23/2023,"$15,001 - $50,000"
Self,JHQRX,Jpmorgan Hedged Equity Fund - R6,Purchase,04/24/2023,"$15,001 - $50,000"
Self,JHQRX,Jpmorgan Hedged Equity Fund - R6,Purchase,05/23/2023,"$50,001 - $100,000"
Self,OIEJX,Jpmorgan Equity Income Fund R6,Purchase,02/23/2023,"$15,001 - $50,000"
Self,OIEJX,Jpmorgan Equity Income Fund R6,Purchase,03/23/2023,"$50,001 - $100,000"
Self,OIEJX,Jpmorgan Equity Income Fund R6,Purchase,04/24/2023,"$50,001 - $100,000"
Self,OIEJX,Jpmorgan Equity Income Fund R6,Purchase,05/23/2023,"$100,001 - $250,000"
Self,OSTSX,Jpmorgan Short Class Intermediate Municipal Bond,Purchase,02/23/2023,"$15,001 - $50,000"
Self,OSTSX,Jpmorgan Short Class Intermediate Municipal Bond,Purchase,03/23/2023,"$15,001 - $50,000"
Self,OSTSX,Jpmorgan Short Class Intermediate Municipal Bond,Purchase,04/24/2023,"$15,001 - $50,000"
Self,OSTSX,Jpmorgan Short Class Intermediate Municipal Bond,Purchase,05/23/2023,"$50,001 - $100,000"
Self,OSTSX,Jpmorgan Short Class Intermediate Municipal Bond,Purchase,09/05/2023,"$1,001 - $15,000"
Self,PHMIX,Pimco Fds High Yield Municipal Bond Fund Insti,Purchase,09/05/2023,"$50,001 - $100,000"
Self,TMPRX,Touchstone Mid Cap Fund Class R6,Purchase,02/23/2023,"$15,001 - $50,000"
Self,TMPRX,Touchstone Mid Cap Fund Class R6,Purchase,03/23/2023,"$50,001 - $100,000"
Self,TMPRX,Touchstone Mid Cap Fund Class R6,Purchase,04/24/2023,"$50,001 - $100,000"
Self,TMPRX,Touchstone Mid Cap Fund Class R6,Purchase,05/23/2023,"$100,001 - $250,000"
Self,VIGAX,Vanguard Growth Index Fd Admiral Shs,Purchase,02/23/2023,"$15,001 - $50,000"
Self,VIGAX,Vanguard Growth Index Fd Admiral Shs,Purchase,03/23/2023,"$50,001 - $100,000"
Self,VIGAX,Vanguard Growth Index Fd Admiral Shs,Purchase,04/24/2023,"$50,001 - $100,000"
Self,VIGAX,Vanguard Growth Index Fd Admiral Shs,Purchase,05/23/2023,"$100,001 - $250,000"
Self,VIGAX,Vanguard Growth Index Fd Admiral Shs,Purchase,09/05/2023,"$15,001 - $50,000"
Self,VSMAX,Vanguard Small Cap Index Fd Admiral Shs,Purchase,02/23/2023,"$15,001 - $50,000"
Self,VSMAX,Vanguard Small Cap Index Fd Admiral Shs,Purchase,03/23/2023,"$50,001 - $100,000"
Self,VSMAX,Vanguard Small Cap Index Fd Admiral Shs,Purchase,04/24/2023,"$50,001 - $100,000"
Self,VSMAX,Vanguard Small Cap Index Fd Admiral Shs,Purchase,05/23/2023,"$50,001 - $100,000"
Self,VTMGX,Vanguard Developed Markets Index Admiral,Purchase,02/23/2023,"$50,001 - $100,000"
Self,VTMGX,Vanguard Developed Markets Index Admiral,Purchase,03/23/2023,"$100,001 - $250,000"
Self,VTMGX,Vanguard Developed Markets Index Admiral,Purchase,04/24/2023,"$100,001 - $250,000"
Self,VTMGX,Vanguard Developed Markets Index Admiral,Purchase,05/23/2023,"$250,001 - $500,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,02/23/2023,"$15,001 - $50,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,03/23/2023,"$50,001 - $100,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,04/24/2023,"$50,001 - $100,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,05/23/2023,"$100,001 - $250,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,09/05/2023,"$15,001 - $50,000"
Self,VWLUX,Vanguard Long-Term Tax-Exempt Fd Admiral Shs,Purchase,02/23/2023,"$1,001 - $15,000"
Self,VWLUX,Vanguard Long-Term Tax-Exempt Fd Admiral Shs,Purchase,03/23/2023,"$15,001 - $50,000"
Self,VWLUX,Vanguard Long-Term Tax-Exempt Fd Admiral Shs,Purchase,04/24/2023,"$15,001 - $50,000"
