Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Spouse,DFGFX,Dfa Two-Year Global Fixed Income Portfolio,Sale (Full),01/09/2023,"$15,001 - $50,000"
Spouse,DFGBX,Dfa Five-Year Global Fixed Income Portfolio,Sale (Full),01/09/2023,"$15,001 - $50,000"
Spouse,FUMBX,Fidelity Short-Term Treasury Bond Index Fund,Sale (Full),01/09/2023,"$1,001 - $15,000"
Spouse,DGEIX,Dimensional Investment Grp Global Eq Portf Cl I,Sale (Partial),08/24/2023,"$1,001 - $15,000"
Spouse,DFXIX,Dfa Diversified Fixed Income Portfolio - Institu,Purchase,01/09/2023,"$15,001 - $50,000"
Spouse,VGIT,Vanguard Intermediate-Term Treasury ETF,Purchase,08/30/2023,"$1,001 - $15,000"
Self,DFMPX,Dfa Municipal Bond Portfolio - Institutional,Sale (Full),01/09/2023,"$50,001 - $100,000"
Self,VGIT,Vanguard Intermediate-Term Treasury ETF,Purchase,01/10/2023,"$50,001 - $100,000"
Self,FUMBX,Fidelity Short-Term Treasury Bond Index Fund,Sale (Full),03/01/2023,"$50,001 - $100,000"
Self,--,Charles Schwab Ba 5.20% 9/16/2024,Purchase,03/10/2023,"$100,001 - $250,000"
Self,DFGR,Dimensional ETF Trust Dimensional Global Real Esta,Purchase,09/27/2023,"$1,001 - $15,000"
Self,DFEM,Dimensional Emerging Markets Core Equity 2 ETF,Purchase,09/27/2023,"$1,001 - $15,000"
Self,DFIS,Dimensional ETF Trust Dimensional International Sm,Purchase,09/27/2023,"$1,001 - $15,000"
Self,--,Synchrony Bank Draper UT CD 1.90% 11/6/2023,Sale (Full),11/06/2023,"$15,001 - $50,000"
Self,--,Axos Bank 5.10% 3/15/2024,Purchase,03/15/2023,"$50,001 - $100,000"
Self,VGIT,Vanguard Intermediate-Term Treasury ETF,Purchase,06/07/2023,"$15,001 - $50,000"
Self,VGIT,Vanguard Intermediate-Term Treasury ETF,Purchase,07/05/2023,"$15,001 - $50,000"
Self,VGIT,Vanguard Intermediate-Term Treasury ETF,Purchase,11/28/2023,"$1,001 - $15,000"
Self,VGIT,Vanguard Intermediate-Term Treasury ETF,Sale (Partial),08/25/2023,"$15,001 - $50,000"
Self,--,City Natl Bk Los Angeles Calif Ctf Dep 4.50% 1/13/2025,Purchase,01/11/2023,"$50,001 - $100,000"
Self,--,Univest Natl Bk 4.50% CD FDIC Ins Due 6/21/2028,Purchase,06/21/2023,"$100,001 - $250,000"
Self,DFGEX,Dfa Global Real Estate Securities Ptf,Purchase,04/21/2023,"$15,001 - $50,000"
Self,IEI,iShares 3-7 Year Treasury Bond ETF,Purchase,08/30/2023,"$1,001 - $15,000"
Self,--,Synchrony Bank Draper UT CD 1.95% 6/29/2023,Sale (Full),06/29/2023,"$15,001 - $50,000"
Self,DFREX,Dfa Real Estate Securities Portfolio,Sale (Full),04/21/2023,"$15,001 - $50,000"
Self,--,Discover Bank Greenwood DE CD 1.90% 6/2/2023,Sale (Full),06/02/2023,"$50,001 - $100,000"
Self,DFXIX,Dfa Diversified Fixed Income Portfolio - Institu,Sale (Full),06/06/2023,"$50,001 - $100,000"
Self,FUMBX,Fidelity Short-Term Treasury Bond Index Fund,Sale (Full),01/09/2023,"$50,001 - $100,000"
Self,DFXIX,Dfa Diversified Fixed Income Portfolio - Institu,Sale (Full),06/06/2023,"$50,001 - $100,000"
Self,FUMBX,Fidelity Short-Term Treasury Bond Index Fund,Sale (Full),01/09/2023,"$1,001 - $15,000"
Self,DFREX,Dfa Real Estate Securities Portfolio,Sale (Full),06/06/2023,"$15,001 - $50,000"
Self,DFSVX,Dfa U.S. Small Cap Value Portfolio,Sale (Full),08/24/2023,"$1,001 - $15,000"
Self,VGIT,Vanguard Intermediate-Term Treasury ETF,Sale (Full),08/25/2023,"$1,001 - $15,000"
Self,--,Morgan Stanley PVT BK CD 3.55% 11/8/2023,Sale (Full),11/08/2023,"$15,001 - $50,000"
Self,DFSTX,Dfa U.S.  Small Cap Portfolio,Sale (Partial),08/24/2023,"$1,001 - $15,000"
Self,VGIT,Vanguard Intermediate-Term Treasury ETF,Purchase,01/10/2023,"$1,001 - $15,000"
Self,DFISX,Dfa International Small Company Portfolio,Purchase,05/10/2023,"$1,001 - $15,000"
Self,DFGEX,Dfa Global Real Estate Securities Ptf,Purchase,06/06/2023,"$15,001 - $50,000"
Self,--,CIBC BK USA CD 4.65% 6/15/2026,Purchase,06/14/2023,"$50,001 - $100,000"
Self,DFISX,Dfa International Small Company Portfolio,Purchase,11/13/2023,"$1,001 - $15,000"
Self,IEI,iShares 3-7 Year Treasury Bond ETF,Purchase,08/30/2023,"$1,001 - $15,000"
Self,IEI,iShares 3-7 Year Treasury Bond ETF,Purchase,11/14/2023,"$15,001 - $50,000"
Self,IEI,iShares 3-7 Year Treasury Bond ETF,Purchase,12/28/2023,"$1,001 - $15,000"
