Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,--,FSMNX,Purchase,10/23/2023,"$15,001 - $50,000"
Self,--,FSTFX,Purchase,10/23/2023,"$1,001 - $15,000"
Self,--,IJR,Purchase,10/23/2023,"$1,001 - $15,000"
Self,--,FMNDX,Purchase,12/14/2023,"$1,001 - $15,000"
Self,--,SMDMX,Purchase,12/14/2023,"$1,001 - $15,000"
Self,--,FPADX,Purchase,10/23/2023,"$1,001 - $15,000"
Self,--,IJK,Sale (Partial),10/23/2023,"$1,001 - $15,000"
Self,--,IJK,Sale (Partial),10/23/2023,"$1,001 - $15,000"
Self,--,VO,Sale (Partial),10/23/2023,"$1,001 - $15,000"
Self,--,FMNDX,Sale (Partial),10/23/2023,"$1,001 - $15,000"
Self,--,VTEB,Sale (Partial),10/23/2023,"$1,001 - $15,000"
Self,HYMB,SPDR Nuveen Bloomberg Barclays High Yield Municipa,Sale (Full),10/23/2023,"$1,001 - $15,000"
