Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,TIP,iShares TIPS Bond ETF,Purchase,09/26/2023,"$1,001 - $15,000"
Self,VUG,Vanguard Growth ETF,Purchase,09/26/2023,"$1,001 - $15,000"
Self,TIP,iShares TIPS Bond ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Self,VUG,Vanguard Growth ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Self,VBK,Vanguard Small-Cap Growth ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Self,VNQ,Vanguard Real Estate ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Self,IYF,iShares U.S. Financial ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Self,IXC,iShares Global Energy ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Self,AMLP,Alerian MLP ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Self,BND,Vanguard Total Bond Market ETF,Purchase,02/13/2023,"$1,001 - $15,000"
Self,VBR,Vanguard Small-Cap Value ETF,Purchase,02/13/2023,"$1,001 - $15,000"
Spouse,VTV,Vanguard Value ETF,Purchase,12/28/2023,"$1,001 - $15,000"
Spouse,VTV,Vanguard Value ETF,Purchase,12/27/2023,"$1,001 - $15,000"
Spouse,VTV,Vanguard Value ETF,Purchase,09/27/2023,"$1,001 - $15,000"
Spouse,VTV,Vanguard Value ETF,Purchase,09/26/2023,"$1,001 - $15,000"
Spouse,VUG,Vanguard Growth ETF,Purchase,09/26/2023,"$15,001 - $50,000"
Spouse,TIP,iShares TIPS Bond ETF,Purchase,09/26/2023,"$15,001 - $50,000"
Spouse,YYY,Amplify High Income ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Spouse,QQQ,Invesco QQQ Trust; Series 1,Purchase,08/08/2023,"$15,001 - $50,000"
Spouse,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Spouse,TIP,iShares TIPS Bond ETF,Purchase,08/08/2023,"$15,001 - $50,000"
Spouse,SLVP,iShares MSCI Global Silver Miners Fund,Sale (Full),08/08/2023,"$1,001 - $15,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Spouse,VUG,Vanguard Growth ETF,Purchase,08/08/2023,"$15,001 - $50,000"
Spouse,VBK,Vanguard Small-Cap Growth ETF,Purchase,08/08/2023,"$15,001 - $50,000"
Spouse,XLV,SPDR Select Sector Fund - Health Care,Sale (Full),08/08/2023,"$1,001 - $15,000"
Spouse,VNQ,Vanguard Real Estate ETF,Sale (Full),08/08/2023,"$15,001 - $50,000"
Spouse,RING,iShares MSCI Global Gold Miners ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Spouse,IYF,iShares U.S. Financial ETF,Sale (Full),08/08/2023,"$15,001 - $50,000"
Spouse,IYE,iShares U.S. Energy ETF,Sale (Full),08/08/2023,"$15,001 - $50,000"
Spouse,FHLC,Fidelity MSCI Health Care Index ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Spouse,AMLP,Alerian MLP ETF,Sale (Full),08/08/2023,"$15,001 - $50,000"
Spouse,VTV,Vanguard Value ETF,Purchase,06/29/2023,"$1,001 - $15,000"
Spouse,VTV,Vanguard Value ETF,Purchase,06/28/2023,"$1,001 - $15,000"
Spouse,AWF,Alliancebernstein Global High Income Fund,Purchase,04/19/2023,"$1,001 - $15,000"
Spouse,BND,Vanguard Total Bond Market ETF,Purchase,04/19/2023,"$1,001 - $15,000"
Spouse,PSP,Invesco Global Listed Private Equity ETF,Purchase,04/19/2023,"$1,001 - $15,000"
Spouse,IYY,iShares Dow Jones U.S. ETF,Purchase,04/19/2023,"$1,001 - $15,000"
Spouse,YYY,Amplify High Income ETF,Purchase,04/03/2023,"$1,001 - $15,000"
Spouse,VV,Vanguard Large-Cap ETF,Purchase,04/03/2023,"$15,001 - $50,000"
Spouse,TIP,iShares TIPS Bond ETF,Purchase,04/03/2023,"$15,001 - $50,000"
Spouse,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Purchase,04/03/2023,"$1,001 - $15,000"
Spouse,IYY,iShares Dow Jones U.S. ETF,Purchase,04/03/2023,"$1,001 - $15,000"
Spouse,AMLP,Alerian MLP ETF,Purchase,04/03/2023,"$1,001 - $15,000"
Spouse,VTV,Vanguard Value ETF,Purchase,03/29/2023,"$1,001 - $15,000"
Spouse,VTV,Vanguard Value ETF,Purchase,03/28/2023,"$1,001 - $15,000"
Spouse,YYY,Amplify High Income ETF,Purchase,02/13/2023,"$1,001 - $15,000"
Joint,VUG,Vanguard Growth ETF,Purchase,09/26/2023,"$15,001 - $50,000"
Joint,TIP,iShares TIPS Bond ETF,Purchase,09/26/2023,"$15,001 - $50,000"
Joint,TIP,iShares TIPS Bond ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Joint,BND,Vanguard Total Bond Market ETF,Purchase,08/08/2023,"$15,001 - $50,000"
Joint,VUG,Vanguard Growth ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Joint,VTV,Vanguard Value ETF,Purchase,08/08/2023,"$1,001 - $15,000"
Joint,VNQ,Vanguard Real Estate ETF,Sale (Full),08/08/2023,"$15,001 - $50,000"
Joint,FHLC,Fidelity MSCI Health Care Index ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Joint,SLVP,iShares MSCI Global Silver Miners Fund,Sale (Full),08/08/2023,"$1,001 - $15,000"
Joint,RING,iShares MSCI Global Gold Miners ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Joint,AMLP,Alerian MLP ETF,Sale (Full),08/08/2023,"$1,001 - $15,000"
Joint,HYS,PIMCO 0-5 Year High Yield Corporat Bond Index Exch,Purchase,03/22/2023,"$1,001 - $15,000"
Joint,YYY,Amplify High Income ETF,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,TIP,iShares TIPS Bond ETF,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,QQQ,Invesco QQQ Trust; Series 1,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,IYY,iShares Dow Jones U.S. ETF,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,BND,Vanguard Total Bond Market ETF,Sale (Full),03/21/2023,"$1,001 - $15,000"
Joint,AWF,Alliancebernstein Global High Income Fund,Purchase,03/21/2023,"$1,001 - $15,000"
Joint,YYY,Amplify High Income ETF,Purchase,02/13/2023,"$1,001 - $15,000"
Spouse,--,TIAA Traditional,Sale (Partial),03/01/2023,"$50,001 - $100,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,01/04/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,01/20/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,01/31/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,02/14/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,02/28/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,03/14/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,03/28/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,01/04/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,01/20/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund - CREF Money Market R1,Purchase,01/31/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,02/14/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,02/28/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,03/14/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,03/28/2023,"$1,001 - $15,000"
Spouse,--,TIAA Traditional,Sale (Partial),03/01/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,04/11/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,04/25/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,04/28/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,05/23/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,06/06/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,06/21/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,04/11/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,04/25/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,04/28/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,05/23/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,06/06/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,06/21/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,07/05/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,07/18/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,08/01/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,08/15/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,08/29/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,09/12/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,09/26/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,07/05/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,07/18/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,08/01/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,08/15/2023,"$1,001 - $15,000"
Spouse,--,QCMMRX - College Retirement Equities Fund -CREF Money Market R1,Purchase,08/29/2023,"$1,001 - $15,000"
