Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,SPY,SPDR S&P 500,Purchase,08/24/2023,"$100,001 - $250,000"
Spouse,SPY,SPDR S&P 500,Purchase,08/24/2023,"$15,001 - $50,000"
Self,--,Lascaux Resource Capital Fund I; L.P.,Sale (Full),06/30/2023,"$1,001 - $15,000"
Self,RSP,Invesco S&P 500 Equal Weight ETF,Purchase,11/28/2023,"$1,000,001 - $5,000,000"
Self,TLH,iShares 10-20 Year Treasury Bond ETF,Purchase,08/11/2023,"$1,000,001 - $5,000,000"
Self,GWMIX,Amg GW&K Municipal Bond Fund - Class I,Purchase,04/06/2023,"$1,000,001 - $5,000,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,03/24/2023,"$1,000,001 - $5,000,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,08/14/2023,"$1,000,001 - $5,000,000"
Self,BSIIX,Blackrock Strategic Income Opportunities Portfol,Sale (Full),03/24/2023,"$1,000,001 - $5,000,000"
Self,QQQ,Invesco QQQ Trust; Series 1,Sale (Full),03/24/2023,"$1,000,001 - $5,000,000"
Self,MACSX,Matthews Asian Growth and Income Fund Investor C,Sale (Full),03/24/2023,"$1,000,001 - $5,000,000"
Self,AKRIX,Akre Focus - Institutional,Sale (Partial),03/24/2023,"$1,000,001 - $5,000,000"
Self,AKRIX,Akre Focus - Institutional,Sale (Partial),11/28/2023,"$1,000,001 - $5,000,000"
Self,SPY,SPDR S&P 500,Sale (Partial),03/24/2023,"$1,000,001 - $5,000,000"
Self,VUSB,Vanguard Ultra-Short Bond ETF,Sale (Full),08/11/2023,"$1,000,001 - $5,000,000"
Self,VWSUX,Vanguard Short-Term Tax-Exempt Fd Admiral,Sale (Partial),03/24/2023,"$1,000,001 - $5,000,000"
Self,VWITX,Vanguard Intermediate Term Tax-Exempt Fund,Sale (Full),11/07/2023,"$1,000,001 - $5,000,000"
Self,SCGVX,Sands Capital Global Growth Fund Investor Cl,Sale (Full),11/28/2023,"$1,000,001 - $5,000,000"
Self,VWITX,Vanguard Intermediate Term Tax-Exempt Fund,Purchase,11/06/2023,"$15,001 - $50,000"
Self,TLH,10-20 Year Treas Bond Ishares ETF,Purchase,12/07/2023,"$1,001 - $15,000"
Self,AKRIX,Akre Focus - Institutional,Purchase,12/12/2023,"$100,001 - $250,000"
Self,GWMIX,Amg GW&K Municipal Bond Fund - Class I,Purchase,12/15/2023,"$15,001 - $50,000"
Self,TLH,10-20 Year Treas Bond Ishares ETF,Purchase,12/20/2023,"$1,001 - $15,000"
Self,VWO,Vanguard FTSE Emerging Markets ETF,Purchase,12/21/2023,"$15,001 - $50,000"
Self,VEA,Vanguard FTSE Developed Markets ETF,Purchase,12/21/2023,"$50,001 - $100,000"
Self,RSP,Invesco S&P 500 Equal Weight ETF,Purchase,12/22/2023,"$15,001 - $50,000"
Self,--,Venterra 2023 BG Portfolio LP,Purchase,09/15/2023,"$500,001 - $1,000,000"
Self,COHOX,Coho Relative Value Equity Fund Inst Cl,Sale (Partial),11/07/2023,"$1,000,001 - $5,000,000"
Self,--,Columbia Capital Equity Partners VIII (QP); LP,Purchase,04/03/2023,"$250,001 - $500,000"
Self,--,Columbia Capital Opportunities Fund I-A; LP,Purchase,04/03/2023,"$250,001 - $500,000"
Self,CSMDX,Copeland Smid Cap Dividend Growth Fund Class I S,Sale (Full),03/24/2023,"$1,000,001 - $5,000,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,12/20/2023,"$15,001 - $50,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,12/07/2023,"$15,001 - $50,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,11/07/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,10/06/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,09/08/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,08/07/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,07/10/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,06/07/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,05/05/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,04/07/2023,"$1,001 - $15,000"
Self,AGG,iShares Core U.S. Aggregate Bond ETF,Purchase,03/09/2023,"$5,000,001 - $25,000,000"
Self,PIMIX,Pimco Income Fund Insti Class,Purchase,12/29/2023,"$1,001 - $15,000"
Self,PIREX,Principal Fds Inc. Real Estate Securities Fd IN,Purchase,12/27/2023,"$1,001 - $15,000"
Self,VB,Vanguard Small-Cap ETF,Purchase,12/27/2023,"$15,001 - $50,000"
Self,VIOV,Vanguard S&P Small-Cap 600 Value ETF,Purchase,12/26/2023,"$15,001 - $50,000"
Self,COHOX,Coho Relative Value Equity Fund Inst Cl,Purchase,12/20/2023,"$100,001 - $250,000"
Self,COHOX,Coho Relative Value Equity Fund Inst Cl,Purchase,11/30/2023,"$500,001 - $1,000,000"
Self,PIMIX,Pimco Income Fund Insti Class,Purchase,11/30/2023,"$1,001 - $15,000"
Self,GWMIX,Amg GW&K Municipal Bond Fund - Class I,Purchase,11/29/2023,"$15,001 - $50,000"
Self,TLH,iShares 10-20 Year Treasury Bond ETF,Purchase,11/07/2023,"$1,001 - $15,000"
