Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,01/09/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,02/09/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,03/08/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,04/10/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,05/08/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,06/09/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,07/07/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,08/10/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,08/28/2023,"$15,001 - $50,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,09/15/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,09/22/2023,"$1,001 - $15,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Purchase,10/20/2023,"$15,001 - $50,000"
Spouse,RTRPX,American Funds Retirement Income Portfolio - Con,Sale (Full),11/01/2023,"$500,001 - $1,000,000"
Spouse,DGEIX,Dimensional Investment Grp Global Eq Portf Cl I,Sale (Full),11/01/2023,"$15,001 - $50,000"
Spouse,HNACX,Harbor Capital Appreciation Fund - Retirement Cl,Sale (Full),11/01/2023,"$50,001 - $100,000"
Spouse,JCBUX,Jpmorgan Core Bond Fund R6,Purchase,08/28/2023,"$1,001 - $15,000"
Spouse,JCBUX,Jpmorgan Core Bond Fund R6,Purchase,09/22/2023,"$1,001 - $15,000"
Spouse,JCBUX,Jpmorgan Core Bond Fund R6,Purchase,10/20/2023,"$1,001 - $15,000"
Spouse,JCBUX,Jpmorgan Core Bond Fund R6,Sale (Full),11/01/2023,"$100,001 - $250,000"
Spouse,JCRIX,Alps/Corecommodity Management Completed Commodit,Purchase,03/23/2023,"$1,001 - $15,000"
Spouse,JMUEX,Jpmorgan  U.S. Equity Fund Class L,Purchase,03/23/2023,"$1,001 - $15,000"
Spouse,BUBIX,Baird Ultra Short Bond Fund Inst Cl,Purchase,05/05/2023,"$1,001 - $15,000"
Spouse,JMUEX,Jpmorgan  U.S. Equity Fund Class L,Purchase,05/05/2023,"$1,001 - $15,000"
Spouse,PGOVX,Pimco Funds Long-Term US Government Fund Institu,Purchase,05/05/2023,"$1,001 - $15,000"
Spouse,TROSX,T. Rowe Price Overseas Stock Fund,Purchase,05/05/2023,"$1,001 - $15,000"
Spouse,APDKX,Artisan International Value Fund Advisor Shares,Purchase,05/05/2023,"$1,001 - $15,000"
Spouse,WOBDX,Jpmorgan Core Bond Fund I Class,Purchase,10/17/2023,"$1,001 - $15,000"
Spouse,BAGIX,Baird Aggregate Bond Fund Institutional Class,Purchase,10/18/2023,"$1,001 - $15,000"
Spouse,CRSOX,Credit Suisse Commodity Return Strategy Fund Com,Sale (Full),03/23/2023,"$1,001 - $15,000"
Spouse,LEVIX,Lazard US Equity Concentrated Portfolio Institut,Sale (Partial),03/23/2023,"$1,001 - $15,000"
Spouse,BAGIX,Baird Aggregate Bond Fund Institutional Class,Sale (Partial),05/05/2023,"$1,001 - $15,000"
Spouse,LEVIX,Lazard US Equity Concentrated Portfolio Institut,Sale (Full),05/05/2023,"$1,001 - $15,000"
Spouse,VSEIX,Jpmorgan Small Cap Equity Fund I Class,Sale (Full),05/05/2023,"$1,001 - $15,000"
Spouse,TRBCX,T. Rowe Price Blue Chip Growth Fund Inc.,Sale (Partial),05/05/2023,"$1,001 - $15,000"
Spouse,TMCPX,Touchstone Midcap Fund Class Y,Sale (Partial),05/05/2023,"$1,001 - $15,000"
Spouse,MWTIX,Metropolitan West Total Return Bond Fd Cl I,Sale (Full),10/17/2023,"$1,001 - $15,000"
Spouse,WMFFX,Washington Mutual Investors Fund Cl F-2 Shs,Sale (Partial),11/27/2023,"$1,001 - $15,000"
Spouse,TRBCX,T. Rowe Price Blue Chip Growth Fund Inc.,Sale (Partial),11/27/2023,"$1,001 - $15,000"
