Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,VIPSX,Vanguard Inflation Protected Securities Fund,Sale (Full),08/29/2023,"$15,001 - $50,000"
Joint,VIPSX,Vanguard Inflation Protected Securities Fund,Sale (Partial),07/05/2023,"$1,001 - $15,000"
Joint,--,VBIAX,Sale (Full),08/29/2023,"$15,001 - $50,000"
Self,--,JGVXX,Sale (Partial),07/07/2023,"$1,001 - $15,000"
Self,JNGTX,Janus Henderson Global Technology Fund - D Share,Purchase,07/07/2023,"$1,001 - $15,000"
Self,--,JNGSX,Sale (Partial),07/07/2023,"$1,001 - $15,000"
Self,JNGTX,Janus Henderson Global Technology Fund - D Share,Purchase,07/07/2023,"$1,001 - $15,000"
Self,JACNX,Janus Henderson Contrarian Fund - D Shares,Purchase,07/07/2023,"$1,001 - $15,000"
Self,JNMCX,Janus Henderson Mid Cap Value Fund - D Shares,Purchase,07/07/2023,"$1,001 - $15,000"
Spouse,AOMIX,American Century One Choice Portfolio Moderate,Purchase,04/04/2023,"$1,001 - $15,000"
Spouse,--,CPFXX,Sale (Partial),04/04/2023,"$1,001 - $15,000"
Self,--,VMFXX,Sale (Full),08/15/2023,"$1,001 - $15,000"
Self,VAIPX,Vanguard Inflation Protected Securities Fund Adm,Sale (Full),08/15/2023,"$100,001 - $250,000"
Self,VAIPX,Vanguard Inflation Protected Securities Fund Adm,Sale (Partial),07/05/2023,"$1,001 - $15,000"
Self,VFIAX,Vanguard 500 Index Fd Admiral Shs,Purchase,07/05/2023,"$1,001 - $15,000"
Self,--,SPAXX,Purchase,08/15/2023,"$100,001 - $250,000"
Joint,--,SPAXX,Purchase,08/21/2023,"$100,001 - $250,000"
Joint,--,SPAXX,Purchase,08/29/2023,"$15,001 - $50,000"
Self,JNMCX,Janus Henderson Mid Cap Value Fund - D Shares,Purchase,12/11/2023,"$1,001 - $15,000"
Spouse,--,JNRFX,Purchase,12/07/2023,"$1,001 - $15,000"
Self,VGELX,Vanguard Energy Fund Admiral Shares,Purchase,12/27/2023,"$1,001 - $15,000"
Self,--,VAIPX,Purchase,06/30/2023,"$1,001 - $15,000"
