Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,12/20/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,11/27/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,10/26/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,09/27/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,09/06/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,08/08/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,06/28/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,05/19/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,04/25/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,03/01/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,01/20/2023,"$1,001 - $15,000"
