Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,BITO,Proshares Bitcoin Strategy ETF,Sale (Full),08/29/2023,"$15,001 - $50,000"
Self,--,VIMAX,Sale (Full),08/24/2023,"$15,001 - $50,000"
Self,VGHAX,Vanguard Health Care Fund Admiral Shares,Purchase,03/28/2023,"$1,001 - $15,000"
Self,VGHAX,Vanguard Health Care Fund Admiral Shares,Sale (Full),08/24/2023,"$100,001 - $250,000"
Self,PIN,Invesco India ETF,Sale (Full),08/30/2023,"$100,001 - $250,000"
Self,HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,Sale (Full),08/30/2023,"$15,001 - $50,000"
Self,BLCN,Siren Nasdaq NexGen Economy ETF,Sale (Full),08/30/2023,"$1,001 - $15,000"
Self,VSMGX,Vanguard Lifestrategy Moderate Growth Fund,Sale (Full),08/24/2023,"$50,001 - $100,000"
Self,BITQ,Bitwise Crypto Industry Innovators ETF,Sale (Full),08/29/2023,"$1,001 - $15,000"
Self,--,Amplify Blockchain Leaders ETF,Sale (Full),08/29/2023,"$1,001 - $15,000"
Self,VTTHX,Vanguard Target Retirement 2035 Fund,Purchase,12/27/2023,"$1,001 - $15,000"
Self,VTINX,Vanguard Target Retirement Income Fund,Purchase,12/27/2023,"$1,001 - $15,000"
Joint,BITO,Proshares Bitcoin Strategy ETF,Sale (Full),01/11/2023,"$1,001 - $15,000"
Joint,SMIN,Ishares MSCI India Small Cap ETF,Sale (Full),01/11/2023,"$15,001 - $50,000"
Joint,XBTF,Vaneck Bitcoin Strategy ETF,Sale (Full),01/11/2023,"$1,001 - $15,000"
Joint,--,Amplify Blockchain Leaders ETF,Sale (Full),08/29/2023,"$1,001 - $15,000"
Joint,VWILX,Vanguard International Growth Fund Admiral Share,Sale (Full),01/10/2023,"$15,001 - $50,000"
Joint,VIMAX,Vanguard Mid-Cap Index Fund Admiral Shares,Sale (Full),11/06/2023,"$50,001 - $100,000"
Joint,BTF,Valkyrie Bitcoin and Ether Strategy ETF,Sale (Full),01/11/2023,"$1,001 - $15,000"
Joint,BLCN,Siren Nasdaq NexGen Economy ETF,Sale (Full),08/29/2023,"$1,001 - $15,000"
Joint,--,Gen 5,Sale (Full),10/01/2023,"$1,000,001 - $5,000,000"
