Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,WMCVX,Wasatch Small Cap Value Fund,Sale (Partial),09/25/2023,"$1,001 - $15,000"
Joint,IEMG,iShares Core MSCI Emerging Markets ETF,Sale (Partial),09/22/2023,"$1,001 - $15,000"
Joint,TLT,20+ Year Treas Bond Ishares ETF,Purchase,02/22/2023,"$1,001 - $15,000"
Joint,IWD,iShares Russell 1000 Value ETF,Sale (Partial),09/22/2023,"$15,001 - $50,000"
Joint,IWF,iShares Russell 1000 Growth ETF,Purchase,09/22/2023,"$50,001 - $100,000"
Joint,IVV,iShares Core S&P 500 ETF,Purchase,09/22/2023,"$50,001 - $100,000"
Joint,MAHQX,Blackrock Total Return Fund Class I,Purchase,09/25/2023,"$1,001 - $15,000"
Joint,MWTIX,Metropolitan West Total Return Bond Fd Cl I,Purchase,09/25/1013,"$1,001 - $15,000"
Joint,EGFIX,Edgewood Growth Fund Insti,Sale (Partial),09/25/2023,"$15,001 - $50,000"
Joint,WACPX,Western Asset Core Plus Bond Fund Class I,Purchase,09/25/2023,"$1,001 - $15,000"
Joint,HDGIX,The Hartford Dividend & Growth Fund Class I,Sale (Partial),09/25/2023,"$15,001 - $50,000"
Joint,ABNFX,The Bond Fd of America Class F-2 Shares,Purchase,09/25/2023,"$1,001 - $15,000"
Joint,GSIMX,Goldman Sachs Gqg Partners International Opportu,Sale (Partial),09/25/2023,"$1,001 - $15,000"
Joint,NMVLX,Nuance Mid Cap Value Fund  Institutional Cl,Purchase,09/25/2023,"$1,001 - $15,000"
Joint,OANMX,Oakmark Fund Institutional Class,Sale (Partial),09/25/2023,"$15,001 - $50,000"
Joint,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Sale (Partial),09/25/2023,"$15,001 - $50,000"
Joint,PFTPX,Pimco Low Duration Income Fund Class I-2,Sale (Partial),09/25/2023,"$1,001 - $15,000"
Joint,IEFA,iShares Core MSCI EAFE ETF,Purchase,06/13/2023,"$1,001 - $15,000"
Joint,TLT,20+ Year Treas Bond Ishares ETF,Purchase,06/09/2023,"$1,001 - $15,000"
Joint,IWD,iShares Russell 1000 Value ETF,Purchase,06/13/2023,"$1,001 - $15,000"
Joint,IWF,iShares Russell 1000 Growth ETF,Sale (Partial),06/13/2023,"$1,001 - $15,000"
Joint,MAHQX,Blackrock Total Return Fund Class I,Purchase,06/13/2023,"$15,001 - $50,000"
Joint,MWTIX,Metropolitan West Total Return Bond Fd Cl I,Purchase,06/12/2023,"$15,001 - $50,000"
Joint,EGFIX,Edgewood Growth Fund Insti,Sale (Partial),06/12/2023,"$1,001 - $15,000"
Joint,--,Western Asset Core Plus Bond Fund Class I,Purchase,06/12/2023,"$1,001 - $15,000"
Joint,ABNFX,The Bond Fd of America Class F-2 Shares,Purchase,06/12/2023,"$15,001 - $50,000"
Joint,OANMX,Oakmark Fund Institutional Class,Sale (Partial),06/12/2023,"$1,001 - $15,000"
Joint,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Sale (Partial),06/12/2023,"$1,001 - $15,000"
Joint,PFTPX,Pimco Low Duration Income Fund Class I-2,Sale (Partial),06/12/2023,"$15,001 - $50,000"
Joint,HDGIX,The Hartford Dividend & Growth Fund Class I,Purchase,04/04/2023,"$1,001 - $15,000"
Joint,PFTPX,Pimco Low Duration Income Fund Class I-2,Purchase,04/04/2023,"$1,001 - $15,000"
Joint,IEFA,iShares Core MSCI EAFE ETF,Purchase,04/04/2023,"$100,001 - $250,000"
Joint,IWP,iShares Russell Midcap Growth ETF,Purchase,04/04/2023,"$1,001 - $15,000"
Joint,CIVIX,Causeway International Value Fund - Institutiona,Sale (Partial),04/03/2023,"$15,001 - $50,000"
Joint,GSIMX,Goldman Sachs Gqg Partners International Opportu,Sale (Partial),04/03/2023,"$15,001 - $50,000"
Joint,GOGIX,John Hancock Funds III International Growth Fund,Sale (Full),03/31/2023,"$50,001 - $100,000"
Joint,OTCIX,MFS Mid Cap Growth Fund - Class I,Sale (Full),04/03/2023,"$1,001 - $15,000"
Joint,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Purchase,03/03/2023,"$1,001 - $15,000"
Joint,PMAQX,Principal Funds Inc. - Midcap Fund Class R6,Sale (Partial),12/08/2023,"$15,001 - $50,000"
Joint,HNACX,Harbor Capital Appreciation Fund - Retirement Cl,Sale (Partial),12/08/2023,"$1,001 - $15,000"
Joint,IEMFX,T. Rowe Price Institutional Emerging Markets Equ,Sale (Full),12/07/2023,"$15,001 - $50,000"
Joint,PONPX,Pimco Income Fund Class I-2,Purchase,12/08/2023,"$100,001 - $250,000"
Joint,TFXIX,Transamerica Bond Class I,Sale (Full),12/07/2023,"$100,001 - $250,000"
