Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,03/03/2025,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,12/02/2024,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,09/01/2024,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,06/04/2024,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,03/05/2024,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,12/05/2023,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,09/01/2023,"$1,001 - $15,000"
Spouse,--,Chamberlain UnitsCompany:Chariot Parent; LLC d/b/a Chamberlain Group (Oak Brook; Illinois),Other Securities,Purchase,08/03/2023,"$50,001 - $100,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,06/05/2023,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,03/03/2023,"$1,001 - $15,000"
Spouse,KR,Kroger Company (The) Common Stock,Stock,Purchase,11/29/2022,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,12/05/2022,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,09/06/2022,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,06/03/2022,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,03/03/2022,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company Common Stock,Stock,Purchase,12/03/2021,"$1,001 - $15,000"
Spouse,--,WFC - Wells Fargo & Company,Stock,Purchase,09/03/2021,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,06/03/2021,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,03/03/2021,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,12/03/2020,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,09/02/2020,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,06/03/2020,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,03/04/2020,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,12/04/2019,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,09/01/2019,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,06/01/2019,"$1,001 - $15,000"
Spouse,VMC,Vulcan Materials Company,Stock,Sale (Full),06/03/2019,"$250,001 - $500,000"
Spouse,IR,Ingersoll-Rand Plc,Stock,Sale (Full),06/03/2019,"$250,001 - $500,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,03/05/2019,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,12/05/2018,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,09/06/2018,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,06/01/2018,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,03/05/2018,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,12/05/2017,"$1,001 - $15,000"
Spouse,WFC,Wells Fargo & Company,Stock,Purchase,09/07/2017,"$1,001 - $15,000"
Spouse,--,AMCP Security Holdings; L.P. Incentive Units (parent of Centerra),Stock,Sale (Full),04/21/2017,"$15,001 - $50,000"
Spouse,--,IR-Ingersoll-Rand Plc,Stock,Sale (Partial),02/02/2017,"$50,001 - $100,000"
Spouse,--,IR-Ingersoll-Rand Plc,Stock,Sale (Partial),06/09/2016,"$50,001 - $100,000"
