Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,VZ,Verizon Communications Inc,Stock,Purchase,03/07/2024,"$1,001 - $15,000"
Spouse,VZ,Verizon Communications Inc,Stock,Sale (Full),12/27/2023,"$1,001 - $15,000"
Spouse,EA,Electronic Arts Inc,Stock,Purchase,12/27/2023,"$1,001 - $15,000"
Spouse,--,MAINE STATE HSG AUTH REVRate/Coupon:1.95%Matures:11/15/2023,Municipal Security,Sale (Full),11/10/2023,"$1,001 - $15,000"
Spouse,--,MUNI BOND ORONO MERate/Coupon:3.00%Matures:11/1/2024,Municipal Security,Sale (Full),11/01/2023,"$15,001 - $50,000"
Spouse,--,MAINE ST TPK AUTH RE REV BONDRate/Coupon:4.0%Matures:07/01/2031,Municipal Security,Purchase,10/23/2023,"$15,001 - $50,000"
Spouse,MMM,3M Company Common Stock,Stock,Sale (Full),05/19/2023,"$1,001 - $15,000"
Spouse,USB,U.S. Bancorp Common Stock,Stock,Sale (Full),03/20/2023,"$1,001 - $15,000"
Spouse,ADBE,Adobe Inc. - Common Stock,Stock,Sale (Full),12/19/2022,"$1,001 - $15,000"
Spouse,EA,Electronic Arts Inc. - Common Stock,Stock,Purchase,12/21/2022,"$1,001 - $15,000"
Spouse,TMO,Thermo Fisher Scientific Inc.,Stock,Purchase,06/24/2021,"$1,001 - $15,000"
Spouse,ADBE,Adobe Inc.,Stock,Purchase,06/24/2021,"$1,001 - $15,000"
Spouse,--,MAINE ST HSG AUTH REV BONDRate/Coupon:1.70%Matures:11/15/2021,Municipal Security,Sale (Full),06/10/2021,"$15,001 - $50,000"
Spouse,--,MAINE STATE HSG AUTH REVRate/Coupon:2.60%Matures:11/15/2022,Municipal Security,Sale (Full),09/28/2020,"$15,001 - $50,000"
Spouse,VZ,Verizon Communications Inc.,Stock,Purchase,08/18/2020,"$1,001 - $15,000"
Spouse,SLB,Schlumberger Limited,Stock,Sale (Full),08/18/2020,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),08/18/2020,"$1,001 - $15,000"
Spouse,COP,ConocoPhillips,Stock,Sale (Full),08/18/2020,"$1,001 - $15,000"
Spouse,WTRG,Essential Utilities; Inc.,Stock,Sale (Full),03/05/2020,"$1,001 - $15,000"
Spouse,--,ME Muni Bond Waterville ME GORate/Coupon:2.0%Matures:10/01/2023,Municipal Security,Purchase,09/10/2019,"$15,001 - $50,000"
Spouse,WAT,Waters Corporation,Stock,Sale (Partial),07/23/2019,"$1,001 - $15,000"
