Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,SMCI PUT,Stock,Sale (Full),03/25/2025,"$1,001 - $15,000"
Self,--,NVDA,Stock,Purchase,03/21/2025,"$15,001 - $50,000"
Self,--,NVDA,Stock,Purchase,03/20/2025,"$100,001 - $250,000"
Self,--,SMCI,Stock,Sale (Partial),03/24/2025,"$15,001 - $50,000"
Self,--,SMCI CALL,Stock,Sale (Full),03/25/2025,"$1,001 - $15,000"
Self,--,SMCI CALL,Stock,Sale (Partial),03/25/2025,"$1,001 - $15,000"
Self,--,SMCI CALL,Stock,Sale (Full),03/25/2025,"$1,001 - $15,000"
Self,--,NVDA CALL,Stock,Sale (Full),03/25/2025,"$1,001 - $15,000"
Self,--,SMCI,Stock,Purchase,03/25/2025,"$100,001 - $250,000"
Self,--,LLY,Stock,Purchase,03/06/2025,"$100,001 - $250,000"
Self,--,CRWD PUT,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,CCL PUT,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,OKTA PUT,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,AMD,Stock,Purchase,02/24/2025,"$100,001 - $250,000"
Self,--,SMCI,Stock,Sale (Partial),02/24/2025,"$50,001 - $100,000"
Self,--,SMCI,Stock,Sale (Partial),02/24/2025,"$15,001 - $50,000"
Self,--,HWM,Stock,Sale (Full),02/24/2025,"$50,001 - $100,000"
Self,--,AMAT CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,ASML CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,CRSP CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,ARDX CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,NCLH CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,NCLH CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,QQQ M CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,SYM CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,SYM CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,TFC CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,WYNN CALL,Stock,Sale (Full),02/24/2025,"$1,001 - $15,000"
Self,--,GENI,Stock,Purchase,02/24/2025,"$1,001 - $15,000"
Self,--,ASML,Stock,Purchase,02/24/2025,"$50,001 - $100,000"
Self,--,KPTI,Stock,Sale (Full),02/20/2025,"$1,001 - $15,000"
Self,--,DM,Stock,Sale (Full),02/20/2025,"$1,001 - $15,000"
Self,--,ADCT,Stock,Sale (Full),02/20/2025,"$1,001 - $15,000"
Self,--,NVDA PUT,Stock,Sale (Full),01/27/2025,"$1,001 - $15,000"
Self,--,AMAT PUT,Stock,Sale (Full),01/27/2025,"$1,001 - $15,000"
Self,--,AMAT,Stock,Purchase,01/27/2025,"$100,001 - $250,000"
Self,--,NCLH CALL,Stock,Sale (Full),01/27/2025,"$1,001 - $15,000"
Self,--,AMAT CALL,Stock,Sale (Full),01/27/2025,"$1,001 - $15,000"
Self,--,AMAT,Stock,Purchase,01/21/2025,"$100,001 - $250,000"
Self,--,SMCI PUT,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,NVDA PUT,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,DELL CALL,Stock,Sale (Full),01/23/2025,"$1,001 - $15,000"
Self,--,AMAT CALL,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,AMD CALL,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,CCL CALL,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,MU CALL,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,SMCI CALL,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,SMCI CALL,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,--,HWM CALL,Stock,Sale (Full),01/22/2025,"$1,001 - $15,000"
Self,MU,Micron Technology,Stock,Purchase,01/22/2025,"$50,001 - $100,000"
Self,AMAT,Applied Materials,Stock,Purchase,01/22/2025,"$100,001 - $250,000"
Self,HWM,Howmet Aerospace Inc,Stock,Purchase,01/22/2025,"$50,001 - $100,000"
Self,OKTA,Okta Inc Cl A,Stock,Sale (Full),01/21/2025,"$50,001 - $100,000"
