Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,Israel BondRate/Coupon:4%Matures:02/01/27,Municipal Security,Purchase,02/01/2017,"$15,001 - $50,000"
Spouse,--,Israel BondRate/Coupon:4%Matures:02/01/27,Municipal Security,Purchase,02/01/2017,"$15,001 - $50,000"
Spouse,--,Ventur BG; LLCCompany:Venture BG; LLC (Baltimore; Maryland)Description:Real Estate,Other Securities,Purchase,02/27/2015,"$50,001 - $100,000"
Self,--,Venture BG; LLCCompany:Venture BG; LLC (Baltimore; Maryland)Description:Real Estate,Other Securities,Sale (Full),02/27/2015,"$50,001 - $100,000"
Joint,--,Israel Bond,,Sale (Full),12/01/2014,"$1,001 - $15,000"
Self,NGG,National Grid plc (NYSE),,Sale (Full),11/17/2014,"$1,001 - $15,000"
Joint,OLN,Olin Corp. (NYSE),,Sale (Full),11/17/2014,"$1,001 - $15,000"
Self,MET,MetLife; Inc. (NYSE),,Sale (Full),11/17/2014,"$1,001 - $15,000"
Spouse,--,Israel Bond,,Purchase,02/01/2014,"$15,001 - $50,000"
Self,--,Israel Bond,,Purchase,02/01/2014,"$15,001 - $50,000"
Spouse,--,Israel Bond,,Sale (Full),01/01/2014,"$15,001 - $50,000"
Spouse,--,Israel Bond,,Sale (Full),01/01/2014,"$15,001 - $50,000"
Spouse,--,Israel Bond,,Sale (Full),11/01/2013,"$1,001 - $15,000"
Self,--,Israel Bond,,Sale (Full),11/01/2013,"$1,001 - $15,000"
Joint,--,Meyer M. Cardin Trust; Baltimore; Md. Bond,,Sale (Full),10/15/2013,"$1,001 - $15,000"
