Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),02/06/2024,"$50,001 - $100,000"
Self,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),02/06/2024,"$100,001 - $250,000"
Self,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),02/03/2023,"$100,001 - $250,000"
Self,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),01/31/2023,"$100,001 - $250,000"
Self,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),05/03/2022,"$250,001 - $500,000"
Child,--,W.L. Gore & Associates Inc.Company:W.L. Gore & Associates Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),11/09/2021,"$1,001 - $15,000"
Child,--,W.L. Gore & Associates Inc.Company:W.L. Gore & Associates Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),11/09/2021,"$1,001 - $15,000"
Child,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),11/09/2021,"$1,001 - $15,000"
Self,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),07/29/2021,"$250,001 - $500,000"
Spouse,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),08/04/2021,"$500,001 - $1,000,000"
Self,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),03/01/2021,"$250,001 - $500,000"
Child,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),07/31/2020,"$50,001 - $100,000"
Child,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),07/31/2020,"$50,001 - $100,000"
Child,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),07/31/2020,"$50,001 - $100,000"
Self,--,W.L. GoreCompany:W.L. Gore & Associates (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),06/19/2019,"$100,001 - $250,000"
Child,NFLX,Netflix; Inc.,Stock,Purchase,08/23/2018,"$1,001 - $15,000"
Child,NFLX,Netflix; Inc.,Stock,Sale (Full),10/24/2018,"$1,001 - $15,000"
Child,NFLX,Netflix; Inc.,Stock,Sale (Full),07/18/2018,"$1,001 - $15,000"
Child,NFLX,Netflix; Inc.,Stock,Sale (Full),03/19/2018,"$1,001 - $15,000"
Child,AAPL,Apple Inc.,Stock,Sale (Partial),11/05/2018,"$1,001 - $15,000"
Child,AAPL,Apple Inc.,Stock,Purchase,10/24/2018,"$1,001 - $15,000"
Child,MSFT,Microsoft Corporation,Stock,Sale (Full),05/28/2019,"$1,001 - $15,000"
Spouse,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),12/27/2018,"$100,001 - $250,000"
Child,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),03/06/2019,"$1,001 - $15,000"
Child,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),03/06/2019,"$1,001 - $15,000"
Child,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),03/06/2019,"$1,001 - $15,000"
Spouse,--,W.L. Gore & Associates; Inc.Company:W.L. Gore & Associates; Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),12/27/2018,"$100,001 - $250,000"
Child,--,W.L. Gore & Associates Inc.Company:W.L. Gore & Associates Inc. (Newark; DE)Description:Advanced materials manufacturing,Non-Public Stock,Sale (Partial),06/22/2018,"$250,001 - $500,000"
