Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,NKE,Nike; Inc. (NYSE),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,IRM,Iron Mountain Inc. (NYSE),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,IBM,International Business Machines Corporation (NYSE),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,FB,Facebook; Inc. (NASDAQ),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,AMZN,Amazon.com Inc. (NASDAQ),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,AAPL,Apple Inc. (NASDAQ),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,DISH,Dish Network Corp. (NASDAQ),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,AMT,American Tower Corporation (NYSE),,Sale (Full),08/08/2014,"$50,001 - $100,000"
Self,EBAY,eBay Inc. (NASDAQ),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,IRM,Iron Mountain Inc. (NYSE),,Sale (Full),08/08/2014,"$1,001 - $15,000"
Self,NFLX,Netflix; Inc. (NASDAQ),,Sale (Full),08/08/2014,"$15,001 - $50,000"
Self,AMT,American Tower Corporation (NYSE),,Sale (Full),04/08/2014,"$15,001 - $50,000"
Self,NFLX,Netflix; Inc. (NASDAQ),,Sale (Full),04/08/2014,"$15,001 - $50,000"
