Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,RPM,RPM International Inc. Common Stock,Stock,Sale (Partial),01/24/2024,"$15,001 - $50,000"
Joint,ZTS,Zoetis Inc Cl A,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,ULTA,Ulta Beauty Inc,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,TSCO,Tractor Supply Company,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,TJX,TJX Companies,Stock,Sale (Full),08/22/2023,"$15,001 - $50,000"
Joint,TMO,Thermo Fisher Scientific Inc,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,LUV,Southwest Airlines Company,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,PPG,PPG Industries,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,PNC,PNC Financial Services Group; Inc. (The) Common St,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,PXD,Pioneer Natural Resources Company,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,NTRS,Northern Trust Corp,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,MSFT,Microsoft Corp,Stock,Sale (Full),08/22/2023,"$50,001 - $100,000"
Joint,MA,Mastercard Inc,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,LRCX,Lam Research Corp,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,LH,Laboratory Corp of America Holdings,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,JPM,JP Morgan Chase & Company,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,JNJ,Johnson & Johnson,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,HON,Honeywell International Inc,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,CVS,CVS Corp,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,COST,Costco Wholesale Corporation - Common Stock,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,CHD,Church & Dwight Company; Inc. Common Stock,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,CVX,Chevron Corp,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,SCHW,The Charles Schwab Corp,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,BMY,Bristol-Myers Squibb Company,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,BKNG,Booking Holdings Inc,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,BLK,Blackrock Inc,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,AAPL,Apple Inc,Stock,Sale (Full),08/22/2023,"$15,001 - $50,000"
Joint,APH,Amphenol Corp,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,AME,AMETEK; Inc.,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,AXP,American Express Company,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,AMZN,Amazon.com; Inc. - Common Stock,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Sale (Full),08/22/2023,"$15,001 - $50,000"
Joint,ALGN,Align Technology; Inc. - Common Stock,Stock,Sale (Full),08/22/2023,"$1,001 - $15,000"
Joint,ACN,Accenture Plc,Stock,Sale (Full),08/22/2023,"$15,001 - $50,000"
Joint,SYK,Stryker Corporation Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,PYPL,PayPal Holdings; Inc. - Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,META,Meta Platforms; Inc. - Class A Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,MDT,Medtronic plc. Ordinary Shares,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,MLM,Martin Marietta Materials; Inc. Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,FFIV,F5; Inc. - Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,ELAN,Elanco Animal Health Incorporated Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,BAX,Baxter International Inc. Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Sale (Partial),11/30/2022,"$1,001 - $15,000"
Joint,ADBE,Adobe Inc. - Common Stock,Stock,Sale (Full),11/30/2022,"$1,001 - $15,000"
Joint,RPM,RPM International Inc. Common Stock,Stock,Sale (Partial),11/30/2022,"$15,001 - $50,000"
Joint,ZTS,Zoetis Inc. Class A Common Stock,Stock,Purchase,11/30/2022,"$1,001 - $15,000"
Joint,TJX,TJX Companies; Inc. (The) Common Stock,Stock,Purchase,11/30/2022,"$1,001 - $15,000"
Joint,TMO,Thermo Fisher Scientific Inc Common Stock,Stock,Purchase,11/30/2022,"$1,001 - $15,000"
Joint,MSFT,Microsoft Corporation - Common Stock,Stock,Purchase,11/30/2022,"$15,001 - $50,000"
Joint,LRCX,Lam Research Corporation - Common Stock,Stock,Purchase,11/30/2022,"$1,001 - $15,000"
Joint,WFC,Wells Fargo & Company Common Stock,Stock,Sale (Full),03/17/2023,"$1,001 - $15,000"
Joint,SCHW,Charles Schwab Corporation (The) Common Stock,Stock,Sale (Partial),02/10/2023,"$1,001 - $15,000"
Joint,CHD,Church & Dwight Company; Inc. Common Stock,Stock,Purchase,02/21/2023,"$1,001 - $15,000"
Joint,CHD,Church & Dwight Company; Inc. Common Stock,Stock,Purchase,02/10/2023,"$1,001 - $15,000"
Joint,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Purchase,02/10/2023,"$1,001 - $15,000"
Joint,ULTA,Ulta Beauty; Inc. - Common Stock,Stock,Sale (Partial),01/10/2023,"$1,001 - $15,000"
Joint,PXD,Pioneer Natural Resources Company Common Stock,Stock,Sale (Partial),01/10/2023,"$1,001 - $15,000"
Joint,JPM,JP Morgan Chase & Co. Common Stock,Stock,Sale (Partial),01/10/2023,"$1,001 - $15,000"
Joint,CVS,CVS Health Corporation Common Stock,Stock,Sale (Partial),01/10/2023,"$1,001 - $15,000"
Joint,BMY,Bristol-Myers Squibb Company Common Stock,Stock,Sale (Partial),01/10/2023,"$1,001 - $15,000"
Joint,BKNG,Booking Holdings Inc. - Common Stock,Stock,Sale (Partial),01/10/2023,"$1,001 - $15,000"
Joint,ZTS,Zoetis Inc. Class A Common Stock,Stock,Purchase,01/10/2023,"$1,001 - $15,000"
Joint,AMZN,Amazon.com; Inc. - Common Stock,Stock,Purchase,01/10/2023,"$1,001 - $15,000"
Joint,ALGN,Align Technology; Inc. - Common Stock,Stock,Purchase,01/10/2023,"$1,001 - $15,000"
Joint,--,MOWI,Stock,Sale (Full),08/02/2022,"$15,001 - $50,000"
Joint,FIVE,Five Below; Inc. - Common Stock,Stock,Sale (Full),08/30/2022,"$1,001 - $15,000"
Joint,RPM,RPM International Inc. Common Stock,Stock,Sale (Partial),06/21/2022,"$15,001 - $50,000"
Joint,RPM,RPM International Inc. Common Stock,Stock,Sale (Partial),03/04/2022,"$1,001 - $15,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),03/05/2021,"$15,001 - $50,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),06/16/2020,"$50,001 - $100,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),05/18/2020,"$50,001 - $100,000"
Joint,WCMIX,WCM Focused International Growth Fund Institutiona,Other Securities,Purchase,02/27/2020,"$50,001 - $100,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),02/27/2020,"$50,001 - $100,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),10/08/2019,"$15,001 - $50,000"
Joint,MALOX,BlackRock Global Allocation Fund; Inc. Institution,Other Securities,Purchase,07/18/2019,"$1,001 - $15,000"
Self,GTCSX,Glenmede Small Cap Equity Portfolio Class Advisor,Other Securities,Purchase,07/17/2019,"$1,001 - $15,000"
Spouse,TSCIX,AMG TimesSquare Small Cap Growth Fund Class Z,Other Securities,Purchase,07/17/2019,"$1,001 - $15,000"
Self,VPMAX,Vanguard PRIMECAP Fund Admiral Shares,Other Securities,Sale (Full),07/17/2019,"$1,001 - $15,000"
Joint,IWF,iShares Russell 1000 Growth ETF,Other Securities,Sale (Partial),07/17/2019,"$15,001 - $50,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),03/19/2019,"$50,001 - $100,000"
Joint,GFAFX,American Funds Growth Fund of Amer F1,Other Securities,Purchase,12/21/2018,"$1,001 - $15,000"
Joint,MALOX,BlackRock Global Allocation Instl,Other Securities,Purchase,12/19/2018,"$1,001 - $15,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),10/25/2018,"$50,001 - $100,000"
Joint,IWF,iShares Russell 1000 Growth ETF,Other Securities,Sale (Partial),10/02/2018,"$1,001 - $15,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),09/25/2018,"$1,001 - $15,000"
Joint,RPM,RPM International Inc.,Stock,Sale (Partial),03/28/2018,"$1,001 - $15,000"
Joint,--,Alaska State General Obligation Bond,Other Securities,Sale (Full),09/15/2015,"$250,001 - $500,000"
Joint,SPY,SPDR S&P 500 ETF,Other Securities,Sale (Full),08/17/2015,"$50,001 - $100,000"
Joint,AFTEX,American Funds Tax-Exempt Bond A,Other Securities,Sale (Partial),07/15/2015,"$1,001 - $15,000"
