Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,GM,General Motors Company,Stock,Purchase,02/28/2020,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/28/2020,"$15,001 - $50,000"
Joint,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/28/2020,"$1,001 - $15,000"
Joint,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/28/2020,"$1,001 - $15,000"
Joint,DVN,Devon Energy Corporation,Stock,Purchase,02/28/2020,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/28/2020,"$15,001 - $50,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/28/2020,"$1,001 - $15,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/28/2020,"$1,001 - $15,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/28/2020,"$1,001 - $15,000"
Joint,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/27/2020,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/27/2020,"$15,001 - $50,000"
Joint,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/27/2020,"$1,001 - $15,000"
Joint,DAL,Delta Air Lines; Inc.,Stock,Purchase,02/27/2020,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/27/2020,"$1,001 - $15,000"
Joint,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/27/2020,"$1,001 - $15,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/27/2020,"$1,001 - $15,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/27/2020,"$1,001 - $15,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/27/2020,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/26/2020,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/26/2020,"$15,001 - $50,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/26/2020,"$1,001 - $15,000"
Joint,GPK,Graphic Packaging Holding Company,Stock,Purchase,02/26/2020,"$1,001 - $15,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/26/2020,"$1,001 - $15,000"
Joint,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/26/2020,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc.,Stock,Purchase,02/26/2020,"$1,001 - $15,000"
Joint,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/26/2020,"$1,001 - $15,000"
Joint,T,AT&T Inc.,Stock,Sale (Full),02/26/2020,"$15,001 - $50,000"
Joint,VIAC,ViacomCBS Inc.,Stock,Purchase,02/26/2020,"$1,001 - $15,000"
Joint,T,AT&T Inc.,Stock,Sale (Partial),02/26/2020,"$1,001 - $15,000"
Joint,--,FireEye; Inc.,Stock,Purchase,02/26/2020,"$1,001 - $15,000"
Joint,DIS,The Walt Disney Company,Stock,Purchase,02/26/2020,"$15,001 - $50,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/25/2020,"$1,001 - $15,000"
Joint,FEYE,FireEye; Inc.,Stock,Purchase,02/25/2020,"$1,001 - $15,000"
Joint,GPK,Graphic Packaging Holding Company,Stock,Purchase,02/25/2020,"$1,001 - $15,000"
Joint,DAL,Delta Air Lines; Inc.,Stock,Purchase,02/25/2020,"$1,001 - $15,000"
Joint,T,AT&T Inc.,Stock,Sale (Partial),02/25/2020,"$15,001 - $50,000"
Joint,VIAC,ViacomCBS Inc.,Stock,Purchase,02/25/2020,"$1,001 - $15,000"
Joint,DVN,Devon Energy Corporation,Stock,Purchase,02/25/2020,"$1,001 - $15,000"
Joint,T,AT&T Inc.,Stock,Sale (Partial),02/25/2020,"$1,001 - $15,000"
Joint,T,AT&T Inc.,Stock,Sale (Partial),02/25/2020,"$1,001 - $15,000"
Joint,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),02/25/2020,"$1,001 - $15,000"
Joint,T,AT&T Inc.,Stock,Sale (Partial),02/25/2020,"$1,001 - $15,000"
