Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,--,NORTHEASTERN YORK PA SCH DIST GORate/Coupon:5%Matures:03/01/2031,Municipal Security,Purchase,04/16/2025,"$15,001 - $50,000"
Spouse,--,PENNSYLVANIA ST UNIV REVRate/Coupon:5%Matures:03/01/2026,Municipal Security,Purchase,04/16/2025,"$15,001 - $50,000"
Spouse,--,NAZARETH PA AREA SCH DIST GORate/Coupon:5%Matures:11/15/2035,Municipal Security,Purchase,04/15/2025,"$1,001 - $15,000"
Spouse,--,PENNSYLVANIA ST GORate/Coupon:5%Matures:10/01/2025,Municipal Security,Purchase,04/08/2025,"$1,001 - $15,000"
Spouse,--,PENNSYLVANIA ST GORate/Coupon:5%Matures:08/15/2025,Municipal Security,Purchase,04/08/2025,"$15,001 - $50,000"
Spouse,--,EASTON PA AREA SCH DIST GORate/Coupon:4%Matures:04/01/2026,Municipal Security,Purchase,04/08/2025,"$15,001 - $50,000"
Spouse,--,DELAWARE RIV PORT AUTH PA & NJ REVRate/Coupon:5%Matures:01/01/2026,Municipal Security,Purchase,04/08/2025,"$1,001 - $15,000"
Spouse,--,PITTSBURGH PA SCH DIST GORate/Coupon:5%Matures:09/01/2025,Municipal Security,Purchase,04/08/2025,"$1,001 - $15,000"
Spouse,--,WEST VIEW PA WTR AUTH WTR REVRate/Coupon:5%Matures:11/15/2025,Municipal Security,Purchase,04/08/2025,"$1,001 - $15,000"
Spouse,--,PENNSYLVANIA ST GORate/Coupon:5%Matures:01/01/2026,Municipal Security,Purchase,04/08/2025,"$1,001 - $15,000"
Spouse,--,PENNSYLVANIA ST GORate/Coupon:5%Matures:08/15/2025,Municipal Security,Purchase,04/07/2025,"$1,001 - $15,000"
Spouse,--,CHELTENHAM TWP PA SCH DIST GORate/Coupon:4%Matures:09/15/2025,Municipal Security,Purchase,04/07/2025,"$15,001 - $50,000"
Spouse,--,PENNSYLVANIA ST GORate/Coupon:5%Matures:08/15/2025,Municipal Security,Purchase,04/04/2025,"$15,001 - $50,000"
Spouse,--,ALTOONA PA AREA SCH DIST GORate/Coupon:5%Matures:12/01/2039,Municipal Security,Purchase,04/02/2025,"$15,001 - $50,000"
Spouse,--,PENNSYLVANIA ST GORate/Coupon:5%Matures:10/01/2025,Municipal Security,Purchase,04/02/2025,"$1,001 - $15,000"
Spouse,--,NORTHERN LEHIGH PA SCH DIST GORate/Coupon:5%Matures:03/01/2026,Municipal Security,Purchase,04/02/2025,"$15,001 - $50,000"
Spouse,--,PITTSBURGH PA SCH DIST GORate/Coupon:5%Matures:09/01/2025,Municipal Security,Purchase,04/02/2025,"$15,001 - $50,000"
Self,--,PITTSBURGH PA GORate/Coupon:5%Matures:09/01/2042,Municipal Security,Purchase,04/22/2025,"$250,001 - $500,000"
Self,--,PHILADELPHIA PA SCH DIST GORate/Coupon:5%Matures:09/01/2044,Municipal Security,Purchase,04/16/2025,"$500,001 - $1,000,000"
Self,--,ORACLE CORP NOTERate/Coupon:1.65%Matures:03/25/2026,Corporate Bond,Sale (Full),04/02/2025,"$250,001 - $500,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,04/09/2025,"$15,001 - $50,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,04/07/2025,"$15,001 - $50,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,04/03/2025,"$15,001 - $50,000"
Self,--,FOX CHAPEL PA AREA SCH DIST GORate/Coupon:5%Matures:02/01/2042,Municipal Security,Purchase,04/02/2025,"$250,001 - $500,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,04/02/2025,"$15,001 - $50,000"
Self,--,MERCER CNTY PA GORate/Coupon:5%Matures:10/01/2037,Municipal Security,Purchase,04/01/2025,"$250,001 - $500,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,03/31/2025,"$15,001 - $50,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,03/27/2025,"$50,001 - $100,000"
Self,--,EAST WHITELAND TWP PA GORate/Coupon:5%Matures:12/01/2036,Municipal Security,Purchase,03/25/2025,"$250,001 - $500,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,03/25/2025,"$50,001 - $100,000"
Self,--,PENNSYLVANIA ST TPK COMMN TPK REVRate/Coupon:5%Matures:06/01/2037,Municipal Security,Purchase,03/24/2025,"$100,001 - $250,000"
Self,BITB,Bitwise Bitcoin ETF,Stock,Purchase,03/24/2025,"$15,001 - $50,000"
