Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,LEG,Leggett & Platt Inc,Stock,Sale (Full),10/31/2024,"$1,001 - $15,000"
Self,LW,Lamb Weston Holdings Inc,Stock,Sale (Full),10/31/2024,"$1,001 - $15,000"
Self,IVZ,Invesco Ltd Common Stock,Stock,Sale (Full),10/17/2024,"$1,001 - $15,000"
Self,OTIS,Otis Worldwide Corp,Stock,Sale (Full),07/17/2024,"$1,001 - $15,000"
Self,--,CARR - Carrier Global Corp,Stock,Sale (Full),07/17/2024,"$1,001 - $15,000"
Self,SOLV,Solventum Corporation,Stock,Sale (Full),05/14/2024,"$1,001 - $15,000"
Self,CCL,Carnival Corp,Stock,Sale (Full),05/14/2024,"$1,001 - $15,000"
Self,SLB,Schlumberger N.V.,Stock,Sale (Full),05/14/2024,"$1,001 - $15,000"
Self,IFF,International Flavors & Fragrances,Stock,Sale (Full),05/14/2024,"$15,001 - $50,000"
Self,D,Dominion Energy Inc,Stock,Sale (Full),12/28/2023,"$1,001 - $15,000"
Self,--,REGIONAL TRANSN DIST COLO CTFS PARTN COPS 2015 A DUE 06/01/2031 DATED 08/20/2015Rate/Coupon:3.50%Matures:06/01/2031,Municipal Security,Purchase,11/30/2023,"$15,001 - $50,000"
Self,--,WILL CNTY ILL GO BDS 2016 DUE 11/15/2029 DATED 08/24/2016 4.00% INTERESTRate/Coupon:4.00%Matures:11/15/2029,Municipal Security,Purchase,11/02/2023,"$15,001 - $50,000"
Self,--,COOK CNTY ILL CMNTY UNIT SCH DIST NO 401 ELMWOOD PK GO LTD SCH BDS 2019 A DUE 12/01/2034Rate/Coupon:3.375%Matures:12/01/2034,Municipal Security,Purchase,07/28/2023,"$1,001 - $15,000"
Self,IFF,Internationa Flavors & Fragrances; Inc. Common Sto,Stock,Purchase,06/06/2023,"$1,001 - $15,000"
Self,--,COOK CNTY ILL HIGH SCH DIST NO 212 LEYDEN CMNTY GO DEBT CTFSRate/Coupon:3.00%Matures:12/01/2029,Municipal Security,Purchase,04/14/2023,"$15,001 - $50,000"
Self,--,COMAL CNTY TEX LTD TAX GO BDS 2017 DUE 02/01/2032Rate/Coupon:3.25%Matures:02/01/2032,Municipal Security,Purchase,04/27/2023,"$15,001 - $50,000"
Self,TFC,Truist Financial Corporation Common Stock,Stock,Purchase,03/14/2023,"$1,001 - $15,000"
Self,O,Realty Income Corporation Common Stock,Stock,Purchase,03/14/2023,"$15,001 - $50,000"
Self,NUE,Nucor Corporation Common Stock,Stock,Sale (Full),03/13/2023,"$50,001 - $100,000"
Self,--,MILWAUKEE WIS GO CORP PURP BDS 2016 B3 DUE 03/01/2033Rate/Coupon:3.00%Matures:03/01/2033,Municipal Security,Purchase,02/03/2023,"$1,001 - $15,000"
Self,--,EL PASO TEX INDPT SCH DIST FOR ISSUES DTD PRIOR TO 07/02/09Rate/Coupon:3.00%Matures:08/15/2032,Municipal Security,Purchase,02/09/2023,"$15,001 - $50,000"
Self,WBD,Warner Bros. Discovery; Inc. - Series A Common Sto,Stock,Sale (Full),12/12/2022,"$1,001 - $15,000"
Self,HR,HEALTHCARE REALTY TR INC (Exchanged)Healthcare Realty Trust Incorporated Common Stock (Received),Stock,Exchange,07/20/2022,"$1,001 - $15,000"
Self,FSK,FS KKR Capital Corp. Common Stock,Stock,Purchase,08/27/2021,"$1,001 - $15,000"
Self,WBD,WarnerMedia Spinco (Exchanged)Warner Bros. Discovery; Inc. - Series A Common Sto (Received),Stock,Exchange,04/08/2022,"$1,001 - $15,000"
Self,IBM,International Business Machines Corporation Common,Stock,Purchase,01/03/2022,"$1,001 - $15,000"
Self,HBAN,Huntington Bancshares Incorporated - Common Stock,Stock,Purchase,12/07/2021,"$1,001 - $15,000"
