Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,GE,General Electric Company Common Stock (Exchanged)GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,01/03/2023,"$1,001 - $15,000"
Joint,GE,General Electric Company Common Stock (Exchanged)GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,01/03/2023,"$1,001 - $15,000"
Joint,GE,General Electric Company Common Stock (Exchanged)GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,01/03/2023,"$1,001 - $15,000"
Joint,GE,General Electric Company Common Stock (Exchanged)GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,01/03/2023,"$1,001 - $15,000"
Joint,T,AT&T Inc. (Exchanged)Warner Bros. Discovery; Inc. - Series A Common Sto (Received),Stock,Exchange,04/08/2022,"$1,001 - $15,000"
Joint,T,AT&T Inc. (Exchanged)Warner Bros. Discovery; Inc. - Series A Common Sto (Received),Stock,Exchange,04/08/2022,"$1,001 - $15,000"
Joint,T,AT&T Inc. (Exchanged)Warner Bros. Discovery; Inc. - Series A Common Sto (Received),Stock,Exchange,04/08/2022,"$1,001 - $15,000"
Joint,BDX,Becton; Dickinson and Company Common Stock (Exchanged)Embecta Corp. - Common Stock (Received),Stock,Exchange,04/01/2022,"$1,001 - $15,000"
Spouse,DELL,Dell Technologies Inc. Class C Common Stock (Exchanged)Vmware; Inc. Common stock; Class A (Received),Stock,Exchange,11/01/2021,"$1,001 - $15,000"
Joint,PFE,Pfizer Inc. (Exchanged)Viatris Inc. (Received),Stock,Exchange,11/17/2020,"$1,001 - $15,000"
Joint,IR,Ingersoll Rand Inc. (Exchanged)GDI - Ingersoll Rand Plc (f/k/a Gardner Denver Holdings; Inc.) (Received),Stock,Exchange,02/29/2020,"$1,001 - $15,000"
Joint,VFC,V.F. Corporation (Exchanged)Kontoor Brands; Inc. (Received),Stock,Exchange,05/23/2019,"$1,001 - $15,000"
Joint,APC,Anadarko Petroleum Corporation,Stock,Sale (Full),04/15/2019,"$15,001 - $50,000"
Joint,NVS,Novartis AG (Exchanged)Alcon Inc. (Received),Stock,Exchange,04/08/2019,"$1,001 - $15,000"
