Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,CRSP,CRISPR Therapeutics AG,Stock,Sale (Partial),01/05/2021,"$1,001 - $15,000"
Self,CRSP,CRISPR Therapeutics AG,Stock,Sale (Partial),12/22/2020,"$50,001 - $100,000"
Self,BLK,BlackRock; Inc.,Stock,Sale (Partial),12/15/2020,"$50,001 - $100,000"
Self,--,GOOG - Alphabet Inc. C,Stock,Sale (Partial),05/01/2019,"$15,001 - $50,000"
Self,--,GOOGL - Alphabet Inc. A,Stock,Sale (Full),05/01/2019,"$15,001 - $50,000"
Self,TEL,TE Connectivity Ltd.,Stock,Sale (Full),04/26/2019,"$50,001 - $100,000"
Self,LH,Laboratory Corporation of America Holdings,Stock,Sale (Full),04/26/2019,"$50,001 - $100,000"
Self,CLR,Continental Resources; Inc.,Stock,Sale (Full),04/16/2019,"$15,001 - $50,000"
Self,AAPL,Apple Inc.,Stock,Sale (Partial),07/15/2020,"$15,001 - $50,000"
Self,AMZN,Amazon.com; Inc.,Stock,Sale (Partial),07/15/2020,"$15,001 - $50,000"
Self,BAM,Brookfield Asset Management Inc.,Stock,Sale (Partial),06/29/2020,"$1,001 - $15,000"
Self,V,Visa Inc.,Stock,Sale (Partial),04/13/2020,"$50,001 - $100,000"
Self,MSFT,Microsoft Corporation,Stock,Sale (Partial),04/13/2020,"$50,001 - $100,000"
Self,BAM,Brookfield Asset Management Inc.,Stock,Sale (Partial),03/20/2020,"$1,001 - $15,000"
Self,C,Citigroup Inc.,Stock,Sale (Full),03/09/2020,"$50,001 - $100,000"
Self,BAM,Brookfield Asset Management Inc.,Stock,Sale (Partial),02/20/2020,"$50,001 - $100,000"
Self,PYPL,PayPal Holdings; Inc.,Stock,Sale (Full),01/27/2020,"$15,001 - $50,000"
Self,INTU,Intuit Inc.,Stock,Sale (Full),01/27/2020,"$50,001 - $100,000"
Self,DHR,Danaher Corporation,Stock,Sale (Full),01/27/2020,"$50,001 - $100,000"
Self,BAM,Brookfield Asset Management Inc.,Stock,Sale (Partial),01/27/2020,"$50,001 - $100,000"
Self,AAPL,Apple Inc.,Stock,Sale (Partial),01/27/2020,"$15,001 - $50,000"
Self,PG,The Procter & Gamble Company,Stock,Sale (Full),01/13/2020,"$100,001 - $250,000"
Self,BFAM,Bright Horizons Family Solutions Inc.,Stock,Sale (Full),01/13/2020,"$50,001 - $100,000"
Self,EDIT,Editas Medicine; Inc.,Stock,Sale (Full),02/04/2019,"$15,001 - $50,000"
Self,MSFT,Microsoft Corporation,Stock,Sale (Partial),01/29/2019,"$15,001 - $50,000"
Self,DHR,Danaher Corporation,Stock,Sale (Partial),03/01/2019,"$15,001 - $50,000"
Self,PYPL,PayPal Holdings; Inc.,Stock,Sale (Partial),06/25/2019,"$15,001 - $50,000"
Self,UNH,UnitedHealth Group Incorporated,Stock,Sale (Full),09/30/2019,"$15,001 - $50,000"
Self,XBI,SPDR S&P Biotech ETF,Stock,Sale (Full),09/30/2019,"$15,001 - $50,000"
Self,AIG,American International Group; Inc.,Stock,Sale (Full),07/17/2019,"$50,001 - $100,000"
Self,ISRG,Intuitive Surgical; Inc.,Stock,Sale (Full),05/10/2019,"$15,001 - $50,000"
Self,DAL,Delta Air Lines; Inc.,Stock,Sale (Full),01/16/2019,"$50,001 - $100,000"
Self,KMX,CarMax; Inc.,Stock,Sale (Full),01/16/2019,"$100,001 - $250,000"
Self,BABA,Alibaba Group Holding Limited,Stock,Sale (Full),01/16/2019,"$15,001 - $50,000"
Self,ALB,Albemarle Corporation,Stock,Sale (Full),01/16/2019,"$15,001 - $50,000"
Self,V,Visa Inc.,Stock,Sale (Partial),01/15/2019,"$50,001 - $100,000"
Self,AMZN,Amazon.com; Inc.,Stock,Sale (Partial),01/15/2019,"$100,001 - $250,000"
Self,MRK,Merck & Co.; Inc.,Stock,Sale (Full),01/11/2019,"$100,001 - $250,000"
Self,XBI,SPDR S&P Biotech ETF,Stock,Purchase,12/31/2018,"$15,001 - $50,000"
Self,CELG,Celgene Corporation,Stock,Sale (Full),12/31/2018,"$15,001 - $50,000"
Self,TEL,TE Connectivity Ltd.,Stock,Purchase,12/27/2018,"$50,001 - $100,000"
Self,APTV,Aptiv PLC,Stock,Sale (Full),12/27/2018,"$15,001 - $50,000"
Self,XPO,XPO Logistics; Inc.,Stock,Sale (Full),12/13/2018,"$15,001 - $50,000"
Self,CELG,Celgene Corporation,Stock,Sale (Partial),11/16/2018,"$15,001 - $50,000"
Self,APTV,Aptiv PLC,Stock,Sale (Partial),11/16/2018,"$15,001 - $50,000"
Self,AIG,American International Group; Inc.,Stock,Purchase,11/05/2018,"$50,001 - $100,000"
Self,GE,General Electric Company,Stock,Sale (Full),10/31/2018,"$15,001 - $50,000"
Self,XPO,XPO Logistics; Inc.,Stock,Purchase,10/25/2018,"$50,001 - $100,000"
Self,ISRG,Intuitive Surgical; Inc.,Stock,Purchase,10/25/2018,"$15,001 - $50,000"
Self,NTLA,Intellia Therapeutics; Inc.,Stock,Sale (Full),10/25/2018,"$15,001 - $50,000"
Self,ALB,Albemarle Corporation,Stock,Purchase,10/17/2018,"$15,001 - $50,000"
Self,CRM,salesforce.com; inc.,Stock,Sale (Full),10/11/2018,"$50,001 - $100,000"
Self,GE,General Electric Company,Stock,Purchase,10/10/2018,"$50,001 - $100,000"
Self,GOOGL,Alphabet Inc.,Stock,Sale (Partial),10/09/2018,"$15,001 - $50,000"
Self,LEA,Lear Corporation,Stock,Sale (Full),10/08/2018,"$15,001 - $50,000"
Self,APTV,Aptiv PLC,Stock,Purchase,10/08/2018,"$15,001 - $50,000"
Self,XPO,XPO Logistics; Inc.,Stock,Sale (Full),09/28/2018,"$50,001 - $100,000"
Self,INTU,Intuit Inc.,Stock,Purchase,08/16/2018,"$50,001 - $100,000"
Self,BKNG,Booking Holdings Inc.,Stock,Sale (Full),08/16/2018,"$50,001 - $100,000"
Self,DHR,Danaher Corporation,Stock,Purchase,07/26/2018,"$50,001 - $100,000"
Self,BAM,Brookfield Asset Management Inc.,Stock,Sale (Partial),08/14/2018,"$15,001 - $50,000"
Self,BFAM,Bright Horizons Family Solutions Inc.,Stock,Sale (Partial),07/26/2018,"$15,001 - $50,000"
Self,--,GILD,Stock,Sale (Full),07/12/2018,"$50,001 - $100,000"
Self,RSPP,RSP Permian; Inc.,Stock,Sale (Full),11/13/2017,"$50,001 - $100,000"
Self,ST,Sensata Technologies Holding PLC,Stock,Sale (Full),06/28/2018,"$50,001 - $100,000"
Self,LEA,Lear Corporation,Stock,Purchase,06/28/2018,"$15,001 - $50,000"
Self,APTV,Aptiv PLC,Stock,Purchase,06/28/2018,"$15,001 - $50,000"
Self,CRSP,CRISPR Therapeutics AG,Stock,Sale (Partial),06/19/2018,"$15,001 - $50,000"
Self,BMY,Bristol-Myers Squibb Company,Stock,Sale (Full),06/04/2018,"$50,001 - $100,000"
Self,CLR,Continental Resources; Inc.,Stock,Sale (Partial),05/29/2018,"$15,001 - $50,000"
Self,V,Visa Inc.,Stock,Sale (Partial),05/03/2018,"$15,001 - $50,000"
Self,UNH,UnitedHealth Group Incorporated,Stock,Sale (Partial),05/03/2018,"$50,001 - $100,000"
Self,CRM,salesforce.com; inc.,Stock,Sale (Partial),05/03/2018,"$1,001 - $15,000"
Self,PEP,PepsiCo; Inc.,Stock,Sale (Partial),05/03/2018,"$15,001 - $50,000"
Self,MSFT,Microsoft Corporation,Stock,Sale (Partial),05/03/2018,"$15,001 - $50,000"
Self,LH,Laboratory Corporation of America Holdings,Stock,Sale (Partial),05/03/2018,"$15,001 - $50,000"
Self,XOM,Exxon Mobil Corporation,Stock,Sale (Full),05/03/2018,"$50,001 - $100,000"
Self,DFS,Discover Financial Services,Stock,Sale (Full),05/03/2018,"$15,001 - $50,000"
Self,DAL,Delta Air Lines; Inc.,Stock,Sale (Partial),05/03/2018,"$1,001 - $15,000"
