Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,Choctaw Cnty Ala Brd Ed Cap Outlay Rev Ref WTSRate/Coupon:3.0%Matures:03/01/2026,Municipal Security,Sale (Full),01/16/2015,"$15,001 - $50,000"
Self,--,Morgan Cnty Ala Brd Ed Cap Outlay WTS Rev BondRate/Coupon:3.0%Matures:03/01/2028,Municipal Security,Purchase,02/09/2015,"$1,001 - $15,000"
Self,--,Limestone Cnty AL OID BondRate/Coupon:3.0%Matures:11/01/2028,Municipal Security,Purchase,01/08/2015,"$1,001 - $15,000"
Self,--,Petrobras Intl Fin CoRate/Coupon:5.875%Matures:03/01/2018,Corporate Bond,Sale (Full),05/24/2016,"$15,001 - $50,000"
Self,--,Petrobras Global FinanceRate/Coupon:8.375%Matures:05/23/2021,Corporate Bond,Purchase,05/24/2016,"$15,001 - $50,000"
Self,--,Petrobras Intl Fin CoRate/Coupon:5.875%Matures:03/01/2018,Corporate Bond,Purchase,01/04/2016,"$1,001 - $15,000"
Self,--,Tuscaloosa AL OIDRate/Coupon:3.0%Matures:01/01/1929,Municipal Security,Purchase,11/12/2015,"$1,001 - $15,000"
Self,--,Petrobras Intl Fin CoRate/Coupon:5.375%Matures:1/27/2021,Corporate Bond,Purchase,10/02/2015,"$1,001 - $15,000"
Self,--,Shelby Cnty Ala Genl Oblig WTS RefRate/Coupon:3.0%Matures:08/15/2029,Municipal Security,Purchase,08/26/2015,"$15,001 - $50,000"
Self,--,Hoover Ala WTS Genl Oblig RefRate/Coupon:3.00%Matures:3/1/30,Municipal Security,Purchase,12/30/2014,"$15,001 - $50,000"
Self,--,Auburn Univ Ala Gen Fee Rev-ARate/Coupon:3.00%Matures:6/1/27,Municipal Security,Purchase,07/24/2014,"$15,001 - $50,000"
Self,--,Jackson Cnty Ala Brd Ed Spl Tax Sch WT OIDRate/Coupon:3.50%Matures:3/1/28,Municipal Security,Purchase,03/20/2014,"$15,001 - $50,000"
Self,--,University of Ala at Birmingham Gen Rev BondRate/Coupon:3.00%Matures:10/1/28,Municipal Security,Purchase,01/28/2014,"$15,001 - $50,000"
Self,--,AL St Pub Sch & College Auth Rev Pub Sch Cap ImptRate/Coupon:5.0%Matures:12/01/2025,Municipal Security,Sale (Full),01/07/2015,"$15,001 - $50,000"
Self,--,University Ala Gen Fee Rev Ref-A Bond,,Purchase,12/29/2014,"$1,001 - $15,000"
Self,--,Scottsboro Ala Wtrwks Swr & Gas Brd Wtr Swr Gas Rev Bond,,Purchase,12/29/2014,"$15,001 - $50,000"
Self,--,Madison Ala Genl Oblig Bond,,Purchase,06/24/2014,"$15,001 - $50,000"
Self,--,Choctaw Cnty AL BRD ED CAP Outlay Rev Ref WTS,,Purchase,11/25/2013,"$15,001 - $50,000"
