Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,BRK.B,Berkshire Hathaway Cl B,Stock,Purchase,12/16/2024,"$1,001 - $15,000"
Spouse,BRK.B,Berkshire Hathaway Cl B,Stock,Sale (Partial),07/29/2024,"$1,001 - $15,000"
Spouse,BRK.B,Berkshire Hathaway Cl B,Stock,Sale (Partial),07/29/2024,"$1,001 - $15,000"
Self,BRK.B,Berkshire Hathaway Cl B,Stock,Sale (Partial),07/29/2024,"$1,001 - $15,000"
Self,BRK.B,Berkshire Hathaway Cl B,Stock,Sale (Partial),07/29/2024,"$15,001 - $50,000"
Spouse,VZ,Verizon Communications Inc. Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,USB,U.S. Bancorp Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,CI,The Cigna Group Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,PII,Polaris Inc. Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,META,Meta Platforms; Inc. - Class A Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,KR,Kroger Company,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,KMB,Kimberly-Clark Corporation Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,JNJ,Johnson & Johnson Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,INTC,Intel Corporation - Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,XOM,Exxon Mobil Corporation Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,DVA,DaVita Inc. Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,CVS,CVS Health Corporation Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc. - Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,CVX,Chevron Corporation Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,BRK.B,Berkshire Hathaway Cl B,Stock,Purchase,12/14/2023,"$1,001 - $15,000"
Spouse,BK,Bank of New York Mellon Corp,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,BAC,Bank of America Corp,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,AAPL,Apple Inc. - Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Spouse,GOOG,Alphabet Cl C,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,VZ,Verizon Communications Inc. Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,USB,U.S. Bancorp Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,CI,The Cigna Group Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,PII,Polaris Inc. Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,PFE,Pfizer; Inc. Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,META,Meta Platforms; Inc. - Class A Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,KR,Kroger Company (The) Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,KMB,Kimberly-Clark Corporation Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,JNJ,Johnson & Johnson Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,INTC,Intel Corporation - Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
Self,HAL,Halliburton Company,Stock,Sale (Full),12/14/2023,"$15,001 - $50,000"
Self,XOM,Exxon Mobil Corporation Common Stock,Stock,Sale (Full),12/14/2023,"$1,001 - $15,000"
