Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,XLNX,Xilinx; Inc.,Stock,Sale (Full),02/28/2019,"$15,001 - $50,000"
Self,TMO,Thermo Fisher Scientific Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,SYK,Stryker Corporation,Stock,Sale (Full),02/28/2019,"$15,001 - $50,000"
Self,SLB,Schlumberger Limited,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,QCOM,QUALCOMM Incorporated,Stock,Sale (Full),02/28/2019,"$15,001 - $50,000"
Self,PEP,PepsiCo; Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,MSFT,Microsoft Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,ISRG,Intuitive Surgical; Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,INTC,Intel Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,IQV,IQVIA Holdings Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,HOLX,Hologic; Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,FDX,FedEx Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,DHR,Danaher Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,COST,Costco Wholesale Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,CELG,Celgene Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,CVS,CVS Health Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Self,AAPL,Apple Inc.,Stock,Sale (Full),02/28/2019,"$15,001 - $50,000"
Self,ADI,Analog Devices; Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,XLNX,Xilinx; Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,TMO,Thermo Fisher Scientific Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,SYK,Stryker Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,IQV,IQVIA Holdings Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,FDX,FedEx Corporation,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,AAPL,Apple Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,ADI,Analog Devices; Inc.,Stock,Sale (Full),02/28/2019,"$1,001 - $15,000"
Joint,XLNX,Xilinx; Inc.,Stock,Sale (Partial),02/04/2019,"$1,001 - $15,000"
Joint,VRTX,Vertex Pharmaceuticals Incorporated,Stock,Sale (Full),02/04/2019,"$1,001 - $15,000"
Joint,SYK,Stryker Corporation,Stock,Sale (Partial),02/04/2019,"$1,001 - $15,000"
Joint,QCOM,QUALCOMM Incorporated,Stock,Sale (Full),02/04/2019,"$1,001 - $15,000"
Joint,ISRG,Intuitive Surgical; Inc.,Stock,Sale (Full),02/04/2019,"$1,001 - $15,000"
Joint,INTC,Intel Corporation,Stock,Sale (Full),02/04/2019,"$1,001 - $15,000"
Joint,ITW,Illinois Tool Works Inc.,Stock,Sale (Full),02/04/2019,"$1,001 - $15,000"
Joint,IQV,IQVIA Holdings Inc.,Stock,Sale (Partial),02/04/2019,"$1,001 - $15,000"
Joint,HON,Honeywell International Inc.,Stock,Sale (Full),02/04/2019,"$1,001 - $15,000"
