Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Child,--,National Fin Auth N H Fed LeaseRate/Coupon:3.25%Matures:04/01/2028,Corporate Bond,Sale (Full),02/06/2025,"$1,001 - $15,000"
Child,--,TRANSCANADA TRUST SER 2016-ARate/Coupon:5.875%Matures:08/15/2076,Corporate Bond,Purchase,02/18/2025,"$1,001 - $15,000"
Child,--,ARES CAPITAL CORP NOTERate/Coupon:2.15%Matures:07/15/2026,Corporate Bond,Purchase,02/18/2025,"$1,001 - $15,000"
Child,--,ENSTAR FINANCE LLC NOTERate/Coupon:5.5%Matures:01/15/2042,Corporate Bond,Sale (Full),01/29/2025,"$1,001 - $15,000"
Child,--,PARAMOUNT GLOBAL BONDRate/Coupon:6.875%Matures:04/30/2036,Corporate Bond,Purchase,01/13/2025,"$1,001 - $15,000"
Child,--,SEMPRA NOTERate/Coupon:4.125%Matures:04/01/2052,Corporate Bond,Purchase,01/13/2025,"$1,001 - $15,000"
Child,--,ELEVANCE HEALTH INC NOTERate/Coupon:4.9%Matures:02/08/2026,Corporate Bond,Purchase,01/13/2025,"$1,001 - $15,000"
Child,--,CELANESE US HLDGS LLC NOTERate/Coupon:6.33%Matures:07/15/2029,Corporate Bond,Purchase,01/13/2025,"$1,001 - $15,000"
Child,--,BANK NEW YORK MELLON CORP BONDRate/Coupon:3.75%Matures:12/20/2026,Corporate Bond,Purchase,01/13/2025,"$1,001 - $15,000"
Child,--,IKON OFFICE SOLUTIONS INC BONDRate/Coupon:6.75%Matures:12/01/2025,Corporate Bond,Purchase,11/21/2024,"$1,001 - $15,000"
Child,--,V F Corp Note Call Make WholeRate/Coupon:2.95%Matures:04/23/2030,Corporate Bond,Purchase,10/24/2024,"$1,001 - $15,000"
Child,--,Enstar Finance LLCRate/Coupon:5.5%Matures:01/15/2042,Corporate Bond,Purchase,10/17/2024,"$1,001 - $15,000"
Child,--,Kyndryl Holdings Inc. NoteRate/Coupon:6.35%Matures:02/20/2034,Corporate Bond,Sale (Full),10/24/2024,"$1,001 - $15,000"
Child,--,Autodesk Inc NoteRate/Coupon:2.4%Matures:12/15/2031,Corporate Bond,Sale (Full),10/17/2024,"$1,001 - $15,000"
Child,--,Yamana Gold Inc Ser B NoteRate/Coupon:2.63%Matures:08/15/2031,Corporate Bond,Sale (Full),10/17/2024,"$1,001 - $15,000"
Child,--,Kyndryl Hldgs Inc Ser B NoteRate/Coupon:2.7%Matures:10/15/2028,Corporate Bond,Sale (Full),10/25/2024,"$1,001 - $15,000"
Child,--,First Horizon Corporation NoteRate/Coupon:4.0%Matures:05/26/2025,Corporate Bond,Sale (Full),10/15/2024,"$1,001 - $15,000"
Child,--,Kyndryl Hldgs Inc. Ser B NoteRate/Coupon:4.1%Matures:10/15/2041,Corporate Bond,Purchase,10/25/2024,"$1,001 - $15,000"
Child,--,General Motors Company NoteRate/Coupon:6.6%Matures:04/01/2036,Corporate Bond,Purchase,10/17/2024,"$1,001 - $15,000"
Child,--,Blackstone Secd Lending FD NoteRate/Coupon:5.35%Matures:04/13/2028,Corporate Bond,Purchase,10/15/2024,"$1,001 - $15,000"
Child,--,CONCENTRIX CORP NOTERate/Coupon:6.6%Matures:08/02/2028,Corporate Bond,Sale (Full),07/19/2024,"$1,001 - $15,000"
Child,--,CONCENTRIX CORP NOTERate/Coupon:6.85%Matures:08/02/2033,Corporate Bond,Purchase,07/19/2024,"$1,001 - $15,000"
Child,MRO,Marathon Oil Corp,Stock,Sale (Partial),01/24/2023,"$1,001 - $15,000"
Child,--,Barclays Bank PLC Index-LinkedRate/Coupon:0%Matures:10/29/2027,Corporate Bond,Purchase,10/26/2023,"$15,001 - $50,000"
Child,--,Barclays Bank PLC Index-LinkedRate/Coupon:0%Matures:10/29/2027,Corporate Bond,Purchase,10/26/2023,"$15,001 - $50,000"
Child,--,National Fin Auth N H Fed LeaseRate/Coupon:3.25%Matures:4/1/2028,Corporate Bond,Purchase,05/30/2023,"$1,001 - $15,000"
Child,--,General Electric Co BondRate/Coupon:4.2%Matures:09/15/2023,Corporate Bond,Sale (Full),09/15/2023,"$1,001 - $15,000"
Child,--,General Electric Co BondRate/Coupon:4.2%Matures:09/15/2023,Corporate Bond,Purchase,05/11/2023,"$1,001 - $15,000"
Child,--,Nationwide Finl Svcs Inc NoteRate/Coupon:6.75%Matures:5/15/2087,Corporate Bond,Purchase,05/25/2023,"$1,001 - $15,000"
Child,--,Kinder Morgan Inc Del NoteRate/Coupon:5.5%Matures:6/1/2045,Corporate Bond,Purchase,05/10/2023,"$1,001 - $15,000"
Child,--,Florida Pwr & Lt Co BondRate/Coupon:3.8%Matures:12/15/2042,Corporate Bond,Purchase,05/10/2023,"$1,001 - $15,000"
Child,--,Viatris Inc Ser B NoteRate/Coupon:3.850%Matures:6/22/2040,Corporate Bond,Purchase,11/30/2023,"$1,001 - $15,000"
Child,--,Dell Inc NoteRate/Coupon:6.5%Matures:4/15/2038,Corporate Bond,Purchase,05/10/2023,"$1,001 - $15,000"
Child,--,Leidos Inc NoteRate/Coupon:5.75%Matures:3/15/2033,Corporate Bond,Purchase,05/02/2023,"$1,001 - $15,000"
Child,--,Ford Mtr Co DEL NoteRate/Coupon:3.25%Matures:2/12/2032,Corporate Bond,Purchase,05/04/2023,"$1,001 - $15,000"
Child,--,Autodesk Inc NoteRate/Coupon:2.4%Matures:12/15/2031,Corporate Bond,Purchase,11/20/2023,"$1,001 - $15,000"
Child,--,Yamana Gold Inc Ser B NoteRate/Coupon:2.63%Matures:8/15/2031,Corporate Bond,Purchase,05/02/2023,"$1,001 - $15,000"
Child,--,Paramount Global NoteRate/Coupon:4.95%Matures:1/15/2031,Corporate Bond,Purchase,09/27/2023,"$1,001 - $15,000"
Child,--,Phillips 66 Partners LP NoteRate/Coupon:3.15%Matures:12/15/2029,Corporate Bond,Purchase,06/22/2023,"$1,001 - $15,000"
Child,--,Cheniere Energy Partners L P NoteRate/Coupon:4.5%Matures:10/1/2029,Corporate Bond,Purchase,05/11/2023,"$1,001 - $15,000"
Child,--,Celanese US Hldgs LLC NoteRate/Coupon:6.33%Matures:7/15/2029,Corporate Bond,Purchase,05/02/2023,"$1,001 - $15,000"
Child,--,Kyndryl Hldgs Inc Ser B NoteRate/Coupon:2.7%Matures:10/15/2028,Corporate Bond,Purchase,05/04/2023,"$1,001 - $15,000"
Child,--,Concentrix Corp NoteRate/Coupon:6.6%Matures:8/2/2028,Corporate Bond,Purchase,09/01/2023,"$1,001 - $15,000"
Child,--,Verisign Inc Ser B NoteRate/Coupon:4.75%Matures:7/15/2027,Corporate Bond,Purchase,05/25/2023,"$1,001 - $15,000"
Child,--,First Horizon Corporation NoteRate/Coupon:4.0%Matures:5/26/2025,Corporate Bond,Purchase,11/20/2023,"$1,001 - $15,000"
Child,--,JPMorgan Chase & Co NoteRate/Coupon:0.563%Matures:02/16/2025,Corporate Bond,Purchase,05/25/2023,"$1,001 - $15,000"
Child,--,Western Digital Corp BondRate/Coupon:1.5%Matures:2/1/2024,Corporate Bond,Purchase,05/10/2023,"$1,001 - $15,000"
Child,--,Wells Fargo & CO BondRate/Coupon:5.9%Matures:6/15/2024,Corporate Bond,Purchase,11/20/2023,"$1,001 - $15,000"
Child,--,JPMorgan Chase & Co BondRate/Coupon:4.6%Matures:2/1/2025,Corporate Bond,Purchase,11/20/2023,"$1,001 - $15,000"
Child,--,Duke Energy Corp New BondRate/Coupon:4.875%Matures:9/16/2024,Corporate Bond,Sale (Full),11/27/2023,"$1,001 - $15,000"
Child,--,Duke Energy Corp New BondRate/Coupon:4.875%Matures:9/16/2024,Corporate Bond,Purchase,05/04/2023,"$1,001 - $15,000"
Child,--,Bank of America Corp BondRate/Coupon:5.875%Matures:3/15/2028,Corporate Bond,Purchase,05/25/2023,"$1,001 - $15,000"
Child,--,Steel Dynamics Inc Ser B NoteRate/Coupon:5.0%Matures:12/15/2026,Corporate Bond,Purchase,05/02/2023,"$1,001 - $15,000"
