Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,Northwest Respiratory Services; LLCCompany:Northwest Respiratory Services; LLC (St. Paul; Minnesota)Description:Respiratory medical equipment and service provider,Other Securities,Sale (Full),07/23/2021,"$5,000,001 - $25,000,000"
Self,--,Westbrand; Inc.Company:Westbrand; Inc. (Minot; ND)Description:Bank holding company of First Western Bank,Non-Public Stock,Purchase,04/29/2020,"$1,001 - $15,000"
Self,--,Westbrand; Inc.Company:Westbrand; Inc. (Minot; ND)Description:Bank holding company of First Western Bank,Non-Public Stock,Purchase,04/02/2020,"$15,001 - $50,000"
Self,BMEZ,BlackRock Health Sciences Trust II,Stock,Purchase,01/29/2020,"$100,001 - $250,000"
Self,BIV,Vanguard Intermediate-Term Bond Index Fund ETF Sha,Stock,Purchase,12/31/2019,"$100,001 - $250,000"
Self,VFIJX,Vanguard GNMA Fund Admiral Shares,Stock,Purchase,12/31/2019,"$50,001 - $100,000"
Self,SLB,Schlumberger Limited,Stock,Purchase,12/31/2019,"$50,001 - $100,000"
Self,MPC,Marathon Petroleum Corporation,Stock,Purchase,12/31/2019,"$50,001 - $100,000"
Self,TGBAX,Templeton Global Bond Fund Advisor Class,Stock,Sale (Full),12/23/2019,"$100,001 - $250,000"
Self,REZI,Resideo Technologies; Inc.,Stock,Sale (Full),12/23/2019,"$1,001 - $15,000"
Self,KHC,The Kraft Heinz Company,Stock,Sale (Full),12/23/2019,"$100,001 - $250,000"
Self,GTX,Garrett Motion Inc.,Stock,Sale (Full),12/23/2019,"$1,001 - $15,000"
Self,PRU,Prudential Financial; Inc.,Stock,Purchase,11/19/2019,"$100,001 - $250,000"
Self,BSTZ,BlackRock Science and Technology Trust II,Stock,Purchase,11/19/2019,"$100,001 - $250,000"
Self,IVZ,Invesco Ltd.,Stock,Purchase,11/05/2019,"$50,001 - $100,000"
Self,XOM,Exxon Mobil Corporation,Stock,Purchase,11/05/2019,"$50,001 - $100,000"
Self,TWO,Two Harbors Investment Corp.,Stock,Purchase,11/04/2019,"$50,001 - $100,000"
Self,XOM,Exxon Mobil Corporation,Stock,Purchase,11/04/2019,"$50,001 - $100,000"
Self,EXC,Exelon Corporation,Stock,Purchase,11/04/2019,"$50,001 - $100,000"
Self,CVX,Chevron Corporation,Stock,Purchase,11/04/2019,"$50,001 - $100,000"
Self,--,Blackridge Financial; Inc.Company:Blackridge Financial; Inc. (West Fargo; ND)Description:Bank holding company of Blackridge bank.,Non-Public Stock,Purchase,10/28/2019,"$5,000,001 - $25,000,000"
Self,IBM,International Business Machines Corporation,Stock,Purchase,10/21/2019,"$50,001 - $100,000"
