Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,YUM,Yum! Brands; Inc.,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,WAL,Western Alliance Bancorp,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,VZ,Verizon Communications Inc. Common Stock,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,UNP,Union Pacific Corporation Common Stock,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,UNH,UnitedHealth Group Incorporated Common Stock (DE),Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,PNC,PNC Financial Services Group; Inc. (The) Common St,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,PM,Philip Morris International Inc,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,PLD,Prologis; Inc. Common Stock,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,PG,Procter & Gamble Company,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,NTR,Nutrien Ltd,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,MRK,Merck & Company,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,MDT,Medtronic plc. Ordinary Shares,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,MCD,McDonald's Corp,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,KO,Coca-Cola Company,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,JNJ,Johnson & Johnson,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,GD,General Dynamics Corp,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,EQNR,Equinor ASA,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,EMR,Emerson Electric Company,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,CVS,CVS Health Corporation Common Stock,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,CUBE,Cubesmart,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,CF,CF Industries Holdings; Inc. Common Stock,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,BRK.B,Berkshire Hathaway Cl B,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,APA,APA Corporation - Common Stock,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,ADP,Automatic Data Procs,Stock,Sale (Full),09/21/2023,"$50,001 - $100,000"
Spouse,ABT,Abbott Laboratories,Stock,Sale (Full),09/21/2023,"$100,001 - $250,000"
Spouse,--,New York City Transitional Fin Auth Revenue BondRate/Coupon:5.0%Matures:11/01/2037,Municipal Security,Purchase,02/09/2023,"$50,001 - $100,000"
Spouse,--,Georgia State General Obligation BondRate/Coupon:5.0%Matures:08/01/2033,Municipal Security,Sale (Full),02/06/2023,"$100,001 - $250,000"
Spouse,--,Aubrey Texas Indpt Sch Dist Revenue BondRate/Coupon:5.0%Matures:02/15/2034,Municipal Security,Sale (Full),01/26/2023,"$50,001 - $100,000"
Spouse,--,Massachusetts State General Obligation BondRate/Coupon:5.0%Matures:02/01/2032,Municipal Security,Sale (Full),01/24/2023,"$100,001 - $250,000"
Spouse,--,New York General Obligation BondRate/Coupon:5.0%Matures:09/01/2033,Municipal Security,Sale (Full),01/18/2023,"$100,001 - $250,000"
