Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Sale (Partial),03/18/2025,"$50,001 - $100,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu (Exchanged)Sirius XM Holdings Inc. - Common Stock (Received),Stock,Exchange,09/09/2024,"$100,001 - $250,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),09/06/2024,"$100,001 - $250,000"
Spouse,CMG,Chipotle Mexican Grill,Stock,Sale (Partial),09/12/2024,"$100,001 - $250,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Sale (Full),08/30/2024,"$50,001 - $100,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Sale (Full),08/28/2024,"$250,001 - $500,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Purchase,08/28/2024,"$100,001 - $250,000"
Spouse,LINE,Lineage; Inc. - Common Stock,Stock,Purchase,07/25/2024,"$50,001 - $100,000"
Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Sale (Full),06/03/2024,"$100,001 - $250,000"
Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Purchase,06/03/2024,"$100,001 - $250,000"
Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Sale (Full),05/20/2024,"$250,001 - $500,000"
Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Purchase,05/20/2024,"$100,001 - $250,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),03/12/2024,"$15,001 - $50,000"
Spouse,--,FWONK - Formula One Group,Stock,Sale (Partial),03/12/2024,"$50,001 - $100,000"
Spouse,CMG,Chipotle Mexican Grill,Stock,Sale (Partial),12/13/2023,"$100,001 - $250,000"
Spouse,SIRI,Sirius XM Holdings Inc. - Common Stock,Stock,Sale (Partial),06/09/2023,"$15,001 - $50,000"
Spouse,CMG,Chipotle Mexican Grill; Inc. Common Stock,Stock,Sale (Partial),05/26/2023,"$100,001 - $250,000"
Self,VZ,Verizon Communications Inc. Common Stock,Stock,Sale (Full),05/10/2023,"$100,001 - $250,000"
Self,INTC,Intel Corporation - Common Stock,Stock,Sale (Full),05/10/2023,"$100,001 - $250,000"
Self,AMT,American Tower Corporation (REIT) Common Stock,Stock,Sale (Full),05/10/2023,"$100,001 - $250,000"
Spouse,TTD,The Trade Desk; Inc. - Class A Common Stock,Stock,Sale (Full),04/28/2023,"$15,001 - $50,000"
Spouse,PTON,Peloton Interactive; Inc. - Common Stock,Stock,Sale (Full),04/28/2023,"$1,001 - $15,000"
Spouse,DIS,Walt Disney Company (The) Common Stock,Stock,Sale (Full),04/28/2023,"$15,001 - $50,000"
Spouse,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Sale (Full),04/28/2023,"$15,001 - $50,000"
Spouse,CCCS,CCC Intelligent Solutions Holdings Inc. Common Sto,Stock,Sale (Full),04/28/2023,"$15,001 - $50,000"
Spouse,AMZN,Amazon.com; Inc. - Common Stock,Stock,Sale (Full),04/28/2023,"$15,001 - $50,000"
Spouse,BABA,Alibaba Group Holding Limited American Depositary,Stock,Sale (Full),04/28/2023,"$1,001 - $15,000"
Spouse,SNAP,Snap Inc. Class A Common Stock,Stock,Sale (Full),04/28/2023,"$1,001 - $15,000"
Spouse,PINS,Pinterest; Inc. Class A Common Stock,Stock,Sale (Full),04/28/2023,"$1,001 - $15,000"
Spouse,CARG,CarGurus; Inc. - Class A Common Stock,Stock,Sale (Full),04/12/2023,"$1,001 - $15,000"
Spouse,BBY,Best Buy Co.; Inc. Common Stock,Stock,Sale (Full),04/12/2023,"$1,001 - $15,000"
Spouse,CMG,Chipotle Mexican Grill; Inc. Common Stock,Stock,Sale (Partial),05/01/2023,"$100,001 - $250,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Sale (Partial),03/20/2023,"$15,001 - $50,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Sale (Partial),03/20/2023,"$50,001 - $100,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Sale (Partial),03/08/2023,"$500,001 - $1,000,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Purchase,03/08/2023,"$250,001 - $500,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Sale (Partial),03/20/2023,"$15,001 - $50,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),03/20/2023,"$15,001 - $50,000"
Spouse,LTRPA,Liberty TripAdvisor Holdings; Inc. - Series A Comm,Stock,Sale (Partial),03/20/2023,"$1,001 - $15,000"
Spouse,NOK,Nokia Corporation Sponsored American Depositary Sh,Stock,Sale (Full),03/15/2023,"$1,001 - $15,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Purchase,12/14/2022,"$50,001 - $100,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),12/05/2022,"$250,001 - $500,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Purchase,12/05/2022,"$100,001 - $250,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Sale (Partial),11/29/2022,"$50,001 - $100,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Purchase,11/29/2022,"$50,001 - $100,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Sale (Partial),11/23/2022,"$100,001 - $250,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Purchase,11/23/2022,"$50,001 - $100,000"
Spouse,LBRDA,Liberty Broadband Corporation - Class A Common Sto,Stock,Sale (Partial),11/14/2022,"$50,001 - $100,000"
Spouse,LBRDA,Liberty Broadband Corporation - Class A Common Sto,Stock,Purchase,11/14/2022,"$15,001 - $50,000"
Spouse,BATRA,Liberty Media Corporation - Series A Liberty Brave,Stock,Sale (Partial),11/21/2022,"$15,001 - $50,000"
Spouse,BATRA,Liberty Media Corporation - Series A Liberty Brave,Stock,Purchase,11/21/2022,"$1,001 - $15,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Sale (Partial),11/21/2022,"$15,001 - $50,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Purchase,11/21/2022,"$1,001 - $15,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Sale (Partial),08/11/2022,"$50,001 - $100,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Purchase,08/09/2022,"$15,001 - $50,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Purchase,11/12/2021,"$100,001 - $250,000"
Spouse,QRTEA,Qurate Retail; Inc. - Series A Common Stock,Stock,Purchase,05/10/2021,"$250,001 - $500,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Purchase,03/15/2021,"$100,001 - $250,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Purchase,09/01/2021,"$15,001 - $50,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Purchase,03/15/2021,"$50,001 - $100,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Purchase,05/13/2022,"$15,001 - $50,000"
Spouse,LBRDA,Liberty Broadband Corporation - Class A Common Sto,Stock,Purchase,05/13/2022,"$1,001 - $15,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Purchase,05/13/2022,"$15,001 - $50,000"
Spouse,FWONA,Liberty Media Corporation - Series A Liberty Formu,Stock,Purchase,05/13/2022,"$1,001 - $15,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Purchase,03/14/2022,"$1,001 - $15,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Sale (Partial),05/13/2022,"$15,001 - $50,000"
Spouse,LBRDA,Liberty Broadband Corporation - Class A Common Sto,Stock,Sale (Partial),05/13/2022,"$15,001 - $50,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Sale (Partial),05/13/2022,"$50,001 - $100,000"
Spouse,FWONA,Liberty Media Corporation - Series A Liberty Formu,Stock,Sale (Partial),05/13/2022,"$50,001 - $100,000"
Spouse,BATRK,Liberty Media Corporation - Series C Liberty Brave,Stock,Sale (Partial),03/14/2022,"$15,001 - $50,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),03/16/2022,"$15,001 - $50,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Sale (Partial),03/16/2022,"$50,001 - $100,000"
Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Sale (Partial),03/16/2022,"$50,001 - $100,000"
Spouse,CMG,Chipotle Mexican Grill; Inc. Common Stock,Stock,Sale (Partial),05/19/2022,"$50,001 - $100,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Sale (Partial),09/01/2021,"$100,001 - $250,000"
Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Sale (Partial),03/15/2021,"$100,001 - $250,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),11/12/2021,"$250,001 - $500,000"
Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),03/15/2021,"$100,001 - $250,000"
Self,--,Skylark Lounge Holdings LLCCompany:Skylark Lounge Holdings LLC (Denver; CO)Description:Neighborhood bar and music lounge,Non-Public Stock,Purchase,05/11/2021,"$15,001 - $50,000"
Self,PYPL,PayPal Holdings; Inc. - Common Stock,Stock,Sale (Full),11/01/2021,"$250,001 - $500,000"
Self,NVDA,NVIDIA Corporation - Common Stock,Stock,Sale (Full),11/01/2021,"$500,001 - $1,000,000"
Self,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Full),11/01/2021,"$250,001 - $500,000"
Self,FB,Facebook; Inc. - Class A Common Stock,Stock,Sale (Full),10/27/2021,"$250,001 - $500,000"
Self,AAPL,Apple Inc. - Common Stock,Stock,Sale (Full),10/29/2021,"$250,001 - $500,000"
Self,AMZN,Amazon.com; Inc. - Common Stock,Stock,Sale (Full),10/29/2021,"$250,001 - $500,000"
Self,GOOGL,Alphabet Inc. - Class A Common Stock,Stock,Sale (Full),11/01/2021,"$250,001 - $500,000"
