Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,TOMBALL TEX COMBINATION TAX REV CTFS OBLIG 2022Rate/Coupon:5.0Matures:02/15/2029,Municipal Security,Purchase,11/07/2023,"$15,001 - $50,000"
Spouse,--,West Virginia Growth Investment LLCCompany:Care 24/7 (Knoxville; Tennessee)Description:A health care service and technology company that coordinates and explains treatment recommendations for patients with serious illnesses.,Other Securities,Purchase,11/29/2017,"$1,001 - $15,000"
Spouse,HBAN,Huntington Bancshares Incorporated,Stock,Purchase,04/21/2017,"$50,001 - $100,000"
Spouse,--,West Virginia Growth Investment LLCCompany:PolyPlexx; LLC (Charleston; WV)Description:Chemical process patents,Non-Public Stock,Purchase,07/22/2016,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:nChannel; Inc. (Columbus; OH)Description:Software company providing cloud-based; multi-channel software for retail companies,Non-Public Stock,Purchase,03/17/2016,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:Figure 8 Surgical Inc. (Morgantown; WV)Description:Sternal closure medical device company,Non-Public Stock,Purchase,02/03/2016,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:PolyPlexx; LLC (Charleston; WV)Description:Chemical process patents,Non-Public Stock,Purchase,02/03/2016,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:CereDx (Morgantown; WV)Description:Develops new testing for stroke candidates,Non-Public Stock,Purchase,01/12/2016,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:Care 24/7 LLC (Knoxville; TN)Description:A health care service and technology company that coordinates and explains treatment recommendations for patients with serious illnesses.,Non-Public Stock,Purchase,05/12/2015,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:PECA Labs Inc. (Pittsburgh; PA)Description:A medical device company focused on bringing new solutions to underserved populations.,Non-Public Stock,Purchase,04/14/2015,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:VCalc LLC (Frederick; MD)Description:Social media productivity company that is building a calculator for the web and mobile devices.,Non-Public Stock,Purchase,04/14/2015,"$1,001 - $15,000"
Spouse,--,West Virginia Growth Investment LLCCompany:West Virginia Growth Investment LLC (Charleston; WV)Description:Investment fund formed to invest in small businesses that operate in and around West Virginia,Non-Public Stock,Purchase,11/24/2014,"$15,001 - $50,000"
Spouse,--,West Virginia Growth Investment LLCCompany:nChannel; Inc. (Columbus; OH)Description:Software company providing cloud-based; multi-channel software for retail companies,Non-Public Stock,Purchase,11/24/2014,"$1,001 - $15,000"
