Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,ICE,Intercontinental Exchange; Inc.,Stock,Sale (Partial),09/23/2020,"$1,000,001 - $5,000,000"
Spouse,ICE,Intercontinental Exchange; Inc.,Stock,Purchase,09/23/2020,"$250,001 - $500,000"
Spouse,ICE,Intercontinental Exchange; Inc.,Stock,Sale (Partial),07/22/2020,"$5,000,001 - $25,000,000"
Spouse,ICE,Intercontinental Exchange; Inc.,Stock,Purchase,05/20/2020,"$1,000,001 - $5,000,000"
Spouse,ICE,Intercontinental Exchange; Inc.,Stock,Sale (Partial),05/20/2020,"$5,000,001 - $25,000,000"
Self,ICE,Intercontinental Exchange; Inc.,Stock,Sale (Partial),05/20/2020,"$1,000,001 - $5,000,000"
Spouse,PRU,Prudential Financial; Inc.,Stock,Purchase,03/12/2020,"$15,001 - $50,000"
Joint,BKNG,Booking Holdings Inc.,Stock,Sale (Full),03/11/2020,"$1,001 - $15,000"
Joint,BKNG,Booking Holdings Inc.,Stock,Sale (Partial),03/10/2020,"$15,001 - $50,000"
Spouse,CVX,Chevron Corporation,Stock,Purchase,03/09/2020,"$100,001 - $250,000"
Spouse,DD,DuPont de Nemours; Inc.,Stock,Purchase,03/09/2020,"$1,001 - $15,000"
Joint,HELE,Helen of Troy Limited,Stock,Sale (Partial),03/06/2020,"$50,001 - $100,000"
Spouse,AIZ,Assurant; Inc.Option Type: PutStrike price:$100.00Expires:01/15/2021,Stock Option,Sale (Full),03/09/2020,"$15,001 - $50,000"
Spouse,EMR,Emerson Electric Co.Option Type: PutStrike price:$50.00Expires:01/15/2021,Stock Option,Sale (Full),03/09/2020,"$1,001 - $15,000"
Spouse,CR,Crane Co.Option Type: PutStrike price:$55.00Expires:09/18/2020,Stock Option,Sale (Full),03/09/2020,"$15,001 - $50,000"
Spouse,HIG,The Hartford Financial Services Group; Inc.Option Type: PutStrike price:$45.00Expires:09/18/2020,Stock Option,Sale (Full),03/09/2020,"$1,001 - $15,000"
Joint,TJX,The TJX Companies; Inc.,Stock,Sale (Full),03/05/2020,"$15,001 - $50,000"
Joint,BKNG,Booking Holdings Inc.,Stock,Purchase,03/06/2020,"$15,001 - $50,000"
Spouse,AMGN,Amgen Inc.Option Type: PutStrike price:$180.00Expires:10/16/2020,Stock Option,Sale (Full),03/04/2020,"$15,001 - $50,000"
Spouse,AIG,American International Group; Inc.Option Type: PutStrike price:$40.00Expires:08/21/2020,Stock Option,Sale (Full),03/04/2020,"$1,001 - $15,000"
Spouse,PANW,Palo Alto Networks; Inc.Option Type: PutStrike price:$150.00Expires:09/18/2020,Stock Option,Sale (Full),03/04/2020,"$1,001 - $15,000"
Spouse,CVX,Chevron CorporationOption Type: PutStrike price:$92.50Expires:09/18/2020,Stock Option,Sale (Full),03/04/2020,"$15,001 - $50,000"
Spouse,BP,BP PLCOption Type: PutStrike price:$30.00Expires:11/20/2020,Stock Option,Sale (Full),03/04/2020,"$1,001 - $15,000"
Joint,ROST,Ross Stores; Inc.,Stock,Sale (Full),03/03/2020,"$15,001 - $50,000"
Joint,LULU,Lululemon Athletica Inc.,Stock,Sale (Full),03/03/2020,"$50,001 - $100,000"
Joint,FB,Facebook; Inc.,Stock,Sale (Full),03/03/2020,"$50,001 - $100,000"
Spouse,DD,DuPont de Nemours; Inc.,Stock,Purchase,03/02/2020,"$50,001 - $100,000"
Joint,ROST,Ross Stores; Inc.,Stock,Sale (Partial),03/02/2020,"$15,001 - $50,000"
Spouse,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/28/2020,"$15,001 - $50,000"
Spouse,DD,DuPont de Nemours; Inc.,Stock,Purchase,02/27/2020,"$100,001 - $250,000"
Joint,CME,CME Group Inc.,Stock,Purchase,02/26/2020,"$100,001 - $250,000"
Joint,NVDA,NVIDIA Corporation,Stock,Sale (Full),02/26/2020,"$15,001 - $50,000"
Joint,AZO,AutoZone; Inc.,Stock,Sale (Full),02/26/2020,"$15,001 - $50,000"
Joint,ADP,Automatic Data Processing; Inc.,Stock,Sale (Partial),02/26/2020,"$50,001 - $100,000"
Joint,ARNA,Arena Pharmaceuticals; Inc.,Stock,Sale (Partial),02/26/2020,"$15,001 - $50,000"
Joint,AMZN,Amazon.com; Inc.,Stock,Sale (Full),02/25/2020,"$15,001 - $50,000"
Joint,CME,CME Group Inc.,Stock,Purchase,02/24/2020,"$50,001 - $100,000"
Joint,AMZN,Amazon.com; Inc.,Stock,Purchase,02/24/2020,"$15,001 - $50,000"
Joint,NVDA,NVIDIA Corporation,Stock,Sale (Partial),02/24/2020,"$15,001 - $50,000"
Joint,IPHI,Inphi Corporation,Stock,Sale (Partial),02/24/2020,"$15,001 - $50,000"
Joint,FB,Facebook; Inc.,Stock,Sale (Partial),02/24/2020,"$15,001 - $50,000"
Joint,ARNA,Arena Pharmaceuticals; Inc.,Stock,Sale (Partial),02/24/2020,"$50,001 - $100,000"
Spouse,DD,DuPont de Nemours; Inc.Option Type: PutStrike price:$40.00Expires:07/17/2020,Stock Option,Sale (Full),02/21/2020,"$1,001 - $15,000"
Spouse,K,Kellogg CompanyOption Type: PutStrike price:$60.00Expires:09/18/2020,Stock Option,Sale (Full),02/21/2020,"$1,001 - $15,000"
Spouse,BABA,Alibaba Group Holding LimitedOption Type: PutStrike price:$175.00Expires:07/17/2020,Stock Option,Sale (Full),02/21/2020,"$1,001 - $15,000"
Spouse,AIZ,Assurant; Inc.Option Type: PutStrike price:$125.00Expires:09/18/2020,Stock Option,Sale (Full),02/20/2020,"$1,001 - $15,000"
Spouse,ABBV,AbbVie Inc.Option Type: PutStrike price:$80.00Expires:08/01/2020,Stock Option,Sale (Full),02/20/2020,"$1,001 - $15,000"
Joint,DOCU,DocuSign; Inc.,Stock,Sale (Partial),02/20/2020,"$100,001 - $250,000"
Joint,ORCL,Oracle Corporation,Stock,Purchase,02/14/2020,"$100,001 - $250,000"
Joint,XOM,Exxon Mobil Corporation,Stock,Sale (Full),02/14/2020,"$250,001 - $500,000"
Joint,CTXS,Citrix Systems; Inc.,Stock,Purchase,02/14/2020,"$100,001 - $250,000"
Joint,FNKO,Funko; Inc.,Stock,Sale (Full),02/10/2020,"$50,001 - $100,000"
Joint,EEFT,Euronet Worldwide; Inc.,Stock,Sale (Full),02/10/2020,"$100,001 - $250,000"
Joint,ORLY,O'Reilly Automotive; Inc.,Stock,Sale (Full),02/07/2020,"$15,001 - $50,000"
Joint,FNKO,Funko; Inc.,Stock,Sale (Partial),02/07/2020,"$50,001 - $100,000"
Joint,FNKO,Funko; Inc.,Stock,Sale (Partial),02/06/2020,"$15,001 - $50,000"
Joint,AZO,AutoZone; Inc.,Stock,Sale (Partial),02/06/2020,"$15,001 - $50,000"
Joint,ARNA,Arena Pharmaceuticals; Inc.,Stock,Sale (Partial),02/06/2020,"$50,001 - $100,000"
Joint,TCEHY,Tencent Holdings Limited,Stock,Sale (Full),02/05/2020,"$15,001 - $50,000"
Joint,ROKU,Roku; Inc.,Stock,Sale (Full),02/05/2020,"$100,001 - $250,000"
Joint,FNKO,Funko; Inc.,Stock,Sale (Partial),02/05/2020,"$15,001 - $50,000"
Joint,ARNA,Arena Pharmaceuticals; Inc.,Stock,Sale (Partial),02/05/2020,"$50,001 - $100,000"
Joint,TCEHY,Tencent Holdings Limited,Stock,Sale (Partial),02/04/2020,"$15,001 - $50,000"
Joint,KL,Kirkland Lake Gold Ltd.,Stock,Sale (Full),02/04/2020,"$50,001 - $100,000"
Joint,CMCSA,Comcast Corporation,Stock,Sale (Full),02/04/2020,"$15,001 - $50,000"
Joint,AZO,AutoZone; Inc.,Stock,Sale (Partial),02/04/2020,"$15,001 - $50,000"
Joint,HON,Honeywell International Inc.,Stock,Sale (Full),02/03/2020,"$100,001 - $250,000"
Spouse,MRK,Merck & Co.; Inc.Option Type: PutStrike price:$77.50Expires:09/18/2020,Stock Option,Sale (Full),02/05/2020,"$1,001 - $15,000"
Spouse,DFS,Discover Financial ServicesOption Type: PutStrike price:$72.50Expires:07/17/2020,Stock Option,Sale (Full),02/05/2020,"$1,001 - $15,000"
Spouse,DAL,Delta Air Lines; Inc.Option Type: PutStrike price:$52.50Expires:09/18/2020,Stock Option,Sale (Full),02/05/2020,"$1,001 - $15,000"
Spouse,EMR,Emerson Electric Co.Option Type: PutStrike price:$67.50Expires:09/18/2020,Stock Option,Sale (Full),02/05/2020,"$1,001 - $15,000"
Spouse,CAT,Caterpillar Inc.Option Type: PutStrike price:$120.00Expires:08/21/2020,Stock Option,Sale (Full),02/14/2020,"$1,001 - $15,000"
Spouse,AFL,Aflac IncorporatedOption Type: PutStrike price:$50.00Expires:08/21/2020,Stock Option,Sale (Full),02/14/2020,"$1,001 - $15,000"
Spouse,CMCSA,Comcast CorporationOption Type: PutStrike price:$42.50Expires:07/17/2020,Stock Option,Sale (Full),01/14/2020,"$1,001 - $15,000"
Spouse,CSCO,Cisco Systems; Inc.Option Type: PutStrike price:$45.00Expires:07/17/2020,Stock Option,Sale (Full),01/14/2020,"$1,001 - $15,000"
Spouse,GS,The Goldman Sachs Group; Inc.Option Type: PutStrike price:$215.00Expires:06/19/2020,Stock Option,Sale (Full),01/14/2020,"$1,001 - $15,000"
Spouse,CVX,Chevron CorporationOption Type: PutStrike price:$105.00Expires:06/19/2020,Stock Option,Sale (Full),01/14/2020,"$1,001 - $15,000"
Spouse,UL,The Unilever GroupOption Type: PutStrike price:$55.00Expires:08/21/2020,Stock Option,Sale (Full),01/14/2020,"$1,001 - $15,000"
Spouse,PRU,Prudential Financial; Inc.Option Type: PutStrike price:$87.50Expires:06/19/2020,Stock Option,Sale (Full),01/08/2020,"$1,001 - $15,000"
Joint,TJX,The TJX Companies; Inc.,Stock,Sale (Partial),01/31/2020,"$15,001 - $50,000"
Joint,ROST,Ross Stores; Inc.,Stock,Sale (Partial),01/31/2020,"$15,001 - $50,000"
Joint,AZO,AutoZone; Inc.,Stock,Sale (Partial),01/31/2020,"$15,001 - $50,000"
Joint,AZO,AutoZone; Inc.,Stock,Sale (Partial),01/30/2020,"$15,001 - $50,000"
Joint,ROST,Ross Stores; Inc.,Stock,Sale (Partial),01/29/2020,"$15,001 - $50,000"
Joint,KEYS,Keysight Technologies; Inc.,Stock,Sale (Full),01/29/2020,"$100,001 - $250,000"
Joint,CMCSA,Comcast Corporation,Stock,Sale (Partial),01/29/2020,"$15,001 - $50,000"
Joint,REZI,Resideo Technologies; Inc.,Stock,Sale (Full),01/28/2020,"$15,001 - $50,000"
Joint,REZI,Resideo Technologies; Inc.,Stock,Sale (Partial),01/27/2020,"$100,001 - $250,000"
Spouse,DFS,Discover Financial Services,Stock,Purchase,01/17/2020,"$250,001 - $500,000"
Spouse,--,Georgia State Road & Tollway Auth Revenue BondRate/Coupon:5.0%Matures:10/01/2021,Municipal Security,Purchase,01/17/2020,"$100,001 - $250,000"
Spouse,--,Sumter County Georgia School District General Obligation BondRate/Coupon:5.5%Matures:10/01/2023,Municipal Security,Purchase,01/08/2020,"$250,001 - $500,000"
Spouse,--,Georgia State General Obligation BondRate/Coupon:5.0%Matures:02/01/2021,Municipal Security,Purchase,01/08/2020,"$100,001 - $250,000"
