Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,--,Little Star PartnershipCompany:Little Star Partnership (Victoria; Texas)Description:Rental Real Estate,Other Securities,Purchase,05/31/2019,"$100,001 - $250,000"
Spouse,--,Buhler Telferner PartnershipCompany:Buhler Telferner Partnership (Victoria; Texas)Description:Rental real estate,Other Securities,Purchase,05/31/2019,"$500,001 - $1,000,000"
Spouse,--,Starboard Corporation - Commercial Real EstateCompany:Starboard Corporation (Victoria; TX)Description:Commercial rental real estate,Non-Public Stock,Sale (Full),05/31/2019,"$500,001 - $1,000,000"
Spouse,--,McKinney Texas Indpt Sch DistRate/Coupon:5.00%Matures:02/15/2028,Municipal Security,Purchase,11/13/2019,"$15,001 - $50,000"
Spouse,--,Corpus Christi Tex Indpt Sch D Ultd Tax BldgRate/Coupon:4.00%Matures:08/15/2032,Municipal Security,Purchase,11/07/2019,"$15,001 - $50,000"
Spouse,--,Montgomery County TN Go REF BDSRate/Coupon:4.0%Matures:04/01/2019,Municipal Security,Purchase,10/12/2018,"$15,001 - $50,000"
Spouse,--,University Texas Univ Revs REV FIN SYS REF BDSRate/Coupon:5.0%Matures:08/15/2032,Municipal Security,Purchase,10/23/2018,"$15,001 - $50,000"
Spouse,--,Plano Texas Indpt Sch Dis Ultd Tax REF BDSRate/Coupon:5.0%Matures:02/15/2024,Municipal Security,Purchase,10/12/2018,"$15,001 - $50,000"
Spouse,--,Tennessee St. Sch BD Auth HigherRate/Coupon:5.00%Matures:11/01/2024,Municipal Security,Purchase,05/17/2019,"$50,001 - $100,000"
Spouse,--,Chattanooga Tenn Elec Rev RefRate/Coupon:5.00%Matures:09/01/2027,Municipal Security,Purchase,05/17/2019,"$15,001 - $50,000"
Spouse,--,Maury County TN GO BDSRate/Coupon:5%Matures:04/01/2023,Municipal Security,Sale (Full),08/31/2018,"$50,001 - $100,000"
Spouse,--,Tennessee HSG Dev Agy Resident Residential FIN Prog BDSRate/Coupon:2.70%Matures:01/01/2024,Municipal Security,Purchase,10/30/2017,"$50,001 - $100,000"
Spouse,--,Metropolitan Gov't Nashville & Go REF BDSRate/Coupon:5.00%Matures:01/01/2024,Municipal Security,Purchase,10/23/2017,"$50,001 - $100,000"
Spouse,--,Maury County Tenn Go Sch BDSRate/Coupon:5.00%Matures:04/01/2023,Municipal Security,Purchase,10/19/2017,"$50,001 - $100,000"
Spouse,--,Chattanooga Tenn Elec Rev Ref BDSRate/Coupon:5.00%Matures:09/01/2023,Municipal Security,Purchase,10/16/2017,"$50,001 - $100,000"
Spouse,--,Hamilton County Tenn GO BDSRate/Coupon:4.00%Matures:03/01/2018,Municipal Security,Purchase,10/04/2017,"$15,001 - $50,000"
Spouse,--,Clarksville Tenn Nat Gas AcqRate/Coupon:5.00%Matures:12/15/2020,Municipal Security,Purchase,10/04/2017,"$15,001 - $50,000"
Spouse,--,Montgomery County Tenn GO SchRate/Coupon:5.00%Matures:04/01/2025,Municipal Security,Purchase,09/28/2017,"$50,001 - $100,000"
Spouse,--,Knox County Tenn GO REF BDSRate/Coupon:5.00%Matures:05/01/2020,Municipal Security,Purchase,09/28/2017,"$50,001 - $100,000"
Spouse,--,Metropolitan Govt Nashville Water and SewerRate/Coupon:5.00%Matures:07/01/2023,Municipal Security,Purchase,09/13/2017,"$15,001 - $50,000"
Spouse,--,Wilson County Tenn GORate/Coupon:5.00%Matures:04/01/2019,Municipal Security,Purchase,09/07/2017,"$50,001 - $100,000"
Spouse,--,Sevier County Tenn Pub BldgRate/Coupon:5.00%Matures:06/01/2018,Municipal Security,Purchase,09/06/2017,"$50,001 - $100,000"
Spouse,--,Marion County Tenn GO SCH REF BDSRate/Coupon:4.00%Matures:04/01/2021,Municipal Security,Purchase,07/11/2017,"$50,001 - $100,000"
Spouse,--,Shelby County Tenn Health EDL & RevRate/Coupon:5.25%Matures:09/01/2023,Municipal Security,Sale (Full),06/15/2017,"$50,001 - $100,000"
Spouse,--,Robertson County TN Go BondRate/Coupon:5.00%Matures:05/01/2022,Municipal Security,Sale (Full),06/15/2017,"$15,001 - $50,000"
Spouse,--,Robertson CNTY Tenn Go REF BDSRate/Coupon:3.00%Matures:04/01/2025,Municipal Security,Sale (Full),06/15/2017,"$15,001 - $50,000"
Spouse,--,Metropolitan Nashville ARPT AU ARPTRate/Coupon:5.00%Matures:07/01/2040,Municipal Security,Sale (Full),06/15/2017,"$15,001 - $50,000"
Spouse,--,Metropolitan Govt Nashville & REF BDSRate/Coupon:5.00%Matures:05/15/2019,Municipal Security,Sale (Full),06/15/2017,"$15,001 - $50,000"
Spouse,--,Memphis TN Sewer SystemRate/Coupon:4.20%Matures:10/01/2022,Municipal Security,Sale (Full),06/15/2017,"$50,001 - $100,000"
Spouse,--,Lakeland Tenn Go Cap Outlay NTSRate/Coupon:5.00%Matures:03/01/2020,Municipal Security,Sale (Full),06/15/2017,"$15,001 - $50,000"
Spouse,--,Kingsport Tenn Go BondRate/Coupon:3.00%Matures:03/01/2029,Municipal Security,Sale (Full),06/15/2017,"$50,001 - $100,000"
Spouse,--,Clarksville TN ElectricRate/Coupon:5.00%Matures:09/01/2022,Municipal Security,Sale (Full),06/15/2017,"$15,001 - $50,000"
Spouse,--,Chattanooga Tenn Go REF BDSRate/Coupon:5.00%Matures:09/01/2019,Municipal Security,Sale (Full),06/15/2017,"$15,001 - $50,000"
Spouse,--,Chattanooga Tenn GO REF BDSRate/Coupon:5.00%Matures:09/01/2019,Municipal Security,Purchase,11/10/2016,"$15,001 - $50,000"
Spouse,--,Metropolitan Govt Nashville & REF BDSRate/Coupon:5.00%Matures:05/15/2019,Municipal Security,Purchase,11/08/2016,"$15,001 - $50,000"
Spouse,--,Shelby County Tenn Health EDL & RevRate/Coupon:5.25%Matures:09/01/2023,Municipal Security,Purchase,09/08/2016,"$50,001 - $100,000"
Spouse,--,Kingsport Tenn GO BondRate/Coupon:3.00%Matures:03/01/2029,Municipal Security,Purchase,06/14/2016,"$50,001 - $100,000"
Self,--,Custom Foods of America Inc.Company:Custom Foods of America Inc. (Knoxville; Tennessee)Description:Wholesale Food,Non-Public Stock,Sale (Partial),12/15/2015,"$250,001 - $500,000"
Self,--,3600 Management LLCCompany:3600 Management LLC (Knoxville; Tennessee)Description:Commercial Rental,Other Securities,Sale (Full),12/15/2015,"$1,000,001 - $5,000,000"
Spouse,--,Custom Foods of America Inc.Company:Custom Foods of America Inc. (Knoxville; Tennessee)Description:Wholesale food,Non-Public Stock,Sale (Partial),12/15/2015,"$250,001 - $500,000"
Spouse,--,Montgomery CountyRate/Coupon:5.00Matures:04/01/2018,Municipal Security,Sale (Full),04/01/2016,"$15,001 - $50,000"
Spouse,--,METROPOLITAN NASHVILLE ARPT AU ARPTRate/Coupon:5.00%Matures:07/01/2040,Municipal Security,Purchase,01/07/2016,"$15,001 - $50,000"
Spouse,--,LAKELAND TENN GO CAP OUTLAY NTSRate/Coupon:5.00%Matures:03/01/2020,Municipal Security,Purchase,01/07/2016,"$15,001 - $50,000"
Spouse,--,ROBERTSON CNTY TENN GO REF BDSRate/Coupon:3.00%Matures:04/01/2025,Municipal Security,Purchase,01/05/2016,"$15,001 - $50,000"
Spouse,--,ROBERTSON CNTY TENN GO SCH BDSRate/Coupon:5.00%Matures:05/01/2022,Municipal Security,Purchase,12/22/2015,"$15,001 - $50,000"
Spouse,--,Dickson TN Go BondRate/Coupon:5.0Matures:9/1/2015,Municipal Security,Sale (Full),09/26/2014,"$15,001 - $50,000"
Spouse,--,Metro Govt Nashville TN Go BondRate/Coupon:5.0Matures:10/01/2016,Municipal Security,Sale (Full),06/01/2014,"$15,001 - $50,000"
Spouse,--,Williamson County TNRate/Coupon:4.5Matures:05/01/2018,Municipal Security,Sale (Full),05/01/2014,"$15,001 - $50,000"
Spouse,--,Hendersonville Tenn Util Distric Water and SewerRate/Coupon:4.0Matures:08/01/2023,Municipal Security,Purchase,01/29/2014,"$50,001 - $100,000"
Spouse,--,Bristol TN ElectricRate/Coupon:5.0Matures:09/01/2026,Municipal Security,Purchase,10/17/2013,"$50,001 - $100,000"
Spouse,--,Metro Gov Nashville & DavidsonRate/Coupon:5.0Matures:10/01/2016,Municipal Security,Purchase,05/17/2013,"$50,001 - $100,000"
Spouse,--,Houston Texas Utility BoardRate/Coupon:.94Matures:05/15/2034,Municipal Security,Purchase,03/07/2013,"$15,001 - $50,000"
Spouse,--,Memphis TN Sewer SystemRate/Coupon:4.2Matures:10/01/2022,Municipal Security,Purchase,03/06/2013,"$15,001 - $50,000"
Spouse,--,Tullahoma TNRate/Coupon:1.0Matures:10/01/2013,Municipal Security,Purchase,02/26/2013,"$50,001 - $100,000"
Spouse,--,Memphis TN Electric System GO BondRate/Coupon:5.0Matures:12/01/2017,Municipal Security,Sale (Full),12/01/2013,"$15,001 - $50,000"
Spouse,--,Houston Texas Utility BoardRate/Coupon:.94Matures:05/15/2034,Municipal Security,Sale (Full),03/26/2013,"$15,001 - $50,000"
Spouse,--,Metro Govt TN GORate/Coupon:4.5Matures:05/15/2030,Municipal Security,Sale (Full),06/14/2012,"$15,001 - $50,000"
Spouse,--,Memphis-Shelby CountyRate/Coupon:5.5Matures:11/01/2017,Municipal Security,Sale (Full),11/01/2012,"$50,001 - $100,000"
Spouse,--,Franklin County TN HealthRate/Coupon:4.0Matures:09/01/2023,Municipal Security,Purchase,10/24/2012,"$50,001 - $100,000"
