Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,--,Alexandria VA Unltd TaxRate/Coupon:4.0%Matures:12/15/2044,Municipal Security,Purchase,10/08/2024,"$500,001 - $1,000,000"
Self,--,euNetworks Group LimitedCompany:euNetworks Group Limited (London; England)Description:Bandwidth infrastructure services,Other Securities,Sale (Full),08/29/2024,"$1,000,001 - $5,000,000"
Self,--,RICHMOND VA SER C UNLTD TAXRate/Coupon:4.0%Matures:03/01/2057,Municipal Security,Purchase,07/31/2024,"$500,001 - $1,000,000"
Self,--,Virginia ST Res AuthRate/Coupon:5.0%Matures:11/01/2036,Municipal Security,Purchase,01/11/2024,"$50,001 - $100,000"
Self,--,Petersburg VA Go BDSRate/Coupon:4.25%Matures:09/01/2048,Municipal Security,Purchase,01/10/2024,"$100,001 - $250,000"
Self,--,Virginia Comwlth TransnRate/Coupon:4.0%Matures:05/15/2047,Municipal Security,Purchase,01/10/2024,"$250,001 - $500,000"
Self,--,Los Angeles CNTY CA MetRate/Coupon:5.0%Matures:07/01/2042,Municipal Security,Purchase,01/08/2024,"$100,001 - $250,000"
Self,--,Metropolitan ST Louis MORate/Coupon:5.0%Matures:05/01/2036,Municipal Security,Purchase,01/08/2024,"$100,001 - $250,000"
Self,--,Virginia Comwlth TransnRate/Coupon:4.0%Matures:05/15/2038,Municipal Security,Purchase,01/04/2024,"$250,001 - $500,000"
Self,--,Richmond VA Pub Util Rev Ser ARate/Coupon:4.0%Matures:01/15/2050,Municipal Security,Purchase,01/03/2024,"$500,001 - $1,000,000"
Self,--,Bexar CNTY TX Hosp Dist CTFS Oblig LTD TaxRate/Coupon:4.25%Matures:02/15/2052,Municipal Security,Purchase,01/03/2024,"$500,001 - $1,000,000"
Self,--,Minneapolis & ST Paul MNRate/Coupon:5.00%Matures:01/01/2034,Municipal Security,Purchase,12/27/2023,"$250,001 - $500,000"
Self,--,Virginia Small BusinessRate/Coupon:5.00%Matures:10/01/2041,Municipal Security,Purchase,12/19/2023,"$250,001 - $500,000"
Self,--,Fairfax CNTY VA SWR RevRate/Coupon:5.00%Matures:07/15/2046,Municipal Security,Purchase,12/18/2023,"$500,001 - $1,000,000"
Self,--,Virginia ST Pub BLDGRate/Coupon:4.00%Matures:08/01/2039,Municipal Security,Purchase,12/15/2023,"$500,001 - $1,000,000"
