Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,COF,Capital One Financial Corp,Stock,Purchase,03/19/2025,"$15,001 - $50,000"
Joint,--,UNIVERSITY HOUSTON TEX UNIV REVS CONSOLIDATED REV AND REFRate/Coupon:5.0%Matures:02/15/2033,Municipal Security,Purchase,02/19/2025,"$50,001 - $100,000"
Joint,--,METROPOLITAN TRANSN AUTH N Y DEDICATED TAX FD GREEN FD BDSRate/Coupon:5.0%Matures:11/15/2036,Municipal Security,Purchase,02/19/2025,"$50,001 - $100,000"
Joint,--,WEST PALM BEACH FLA CMNTY REDEV AGY TAX INCREMENT REV REF BDS CITY CTR CMNTYRate/Coupon:5.0%Matures:03/01/2033,Municipal Security,Purchase,02/19/2025,"$50,001 - $100,000"
Joint,WAB,Wabtec Corp,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,PRMB,Primo Water Corp,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,MTZ,Mastec Inc,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,LRN,Stride Inc,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,IRM,Iron Mountain Inc,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,GS,Goldman Sachs Group,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,DELL,Dell Technologies Inc,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,CRDO,Credo Technology Group Holding Ltd,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,COHR,Coherent Corp,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,AIT,Applied Industrial Technologies,Stock,Purchase,02/03/2025,"$1,001 - $15,000"
Joint,VAW,Materials ETF Vanguard,Stock,Sale (Full),02/13/2025,"$100,001 - $250,000"
Joint,LHX,L3Harris Technologies Inc,Stock,Purchase,02/13/2025,"$15,001 - $50,000"
Joint,STZ,Constellation Brands Inc,Stock,Sale (Partial),02/13/2025,"$15,001 - $50,000"
Joint,LPLA,Lpl Financial Holdings,Stock,Purchase,02/13/2025,"$50,001 - $100,000"
Joint,ACN,Accenture Plc,Stock,Purchase,02/13/2025,"$50,001 - $100,000"
Joint,IQV,Iqvia Holdings Inc,Stock,Purchase,02/13/2025,"$15,001 - $50,000"
Joint,TJX,TJX Companies,Stock,Purchase,02/13/2025,"$15,001 - $50,000"
Joint,AMD,Adv Micro Devices,Stock,Sale (Full),02/13/2025,"$50,001 - $100,000"
Joint,MSFT,Microsoft Corp,Stock,Purchase,02/13/2025,"$50,001 - $100,000"
Joint,AMZN,Amazon.com Inc,Stock,Purchase,02/13/2025,"$15,001 - $50,000"
Joint,DHR,Danaher Corp,Stock,Sale (Full),02/13/2025,"$15,001 - $50,000"
Joint,HON,Honeywell International Inc,Stock,Sale (Full),02/13/2025,"$15,001 - $50,000"
Joint,PM,Philip Morris International Inc,Stock,Purchase,02/13/2025,"$15,001 - $50,000"
Joint,BRK,Bershire Hathaway Cdr [Cad Hedged],Stock,Sale (Partial),02/13/2025,"$15,001 - $50,000"
Joint,--,KAUKAUNA WIS ANTIC NTS 2023BRate/Coupon:5.0%Matures:06/01/28,Municipal Security,Sale (Full),01/08/2025,"$1,001 - $15,000"
Joint,--,MACOMB INTER SCH DIST MICH UNLTD TAX GO BLDG SITE BDSRate/Coupon:5.0%Matures:05/01/38,Municipal Security,Sale (Partial),01/08/2025,"$50,001 - $100,000"
Joint,--,COOK CNTY ILL CMNTY CONS SCH DIST NO 015 PALATINE GO BDSRate/Coupon:5.25%Matures:12/15/39,Municipal Security,Sale (Partial),01/08/2025,"$15,001 - $50,000"
Joint,--,FORT LAUDERDALE FLA WTR & SWR REV BDS PROSPECT LAKE WTR TREATMENT 2023Rate/Coupon:5.0%Matures:09/01/38,Municipal Security,Sale (Partial),01/08/2025,"$50,001 - $100,000"
Joint,--,NEW YORK N Y CITY MUN WTR FIN AUTH WTR & SWR SYS REV REV BDSRate/Coupon:5.0%Matures:06/15/39,Municipal Security,Sale (Partial),01/08/2025,"$15,001 - $50,000"
Joint,--,AUSTIN TEX CTFS OBLIG 2023Rate/Coupon:5.0%Matures:09/01/38,Municipal Security,Sale (Partial),01/08/2025,"$50,001 - $100,000"
Joint,--,SALEM N H GO BDSRate/Coupon:4.0%Matures:10/01/36,Municipal Security,Sale (Partial),01/08/2025,"$15,001 - $50,000"
Joint,--,NEVADA ST LTD TAX GO CAP IMPT BDSRate/Coupon:5.0%Matures:05/01/38,Municipal Security,Sale (Partial),01/08/2025,"$50,001 - $100,000"
Joint,--,VANGUARD INDEX FDS VANGUARD MID-CAP ETF,Stock,Sale (Partial),01/08/2025,"$15,001 - $50,000"
Joint,ABT,Abbott Laboratories,Stock,Sale (Full),01/08/2025,"$1,001 - $15,000"
Joint,IEFA,iShares Core MSCI EAFE ETF,Stock,Sale (Partial),01/08/2025,"$15,001 - $50,000"
Joint,EZU,Eurozone Ishares MSCI ETF,Stock,Sale (Partial),01/08/2025,"$15,001 - $50,000"
Spouse,WAB,Wabtec Corp,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,PRMB,Primo Brands Corporation Cl A,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,MTZ,Mastec Inc,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,LRN,Stride Inc,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,IRM,Iron Mountain Inc,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,GS,Goldman Sachs Group,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,DELL,Dell Technologies Inc. Class C Common Stock,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,CRDO,Credo Technology Group Holding Ltd,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,COHR,Coherent Corp,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Spouse,AIT,Applied Industrial Technologies; Inc. Common Stock,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,WAB,Wabtec Corp,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,PRMB,Primo Brands Corporation Cl A,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,MTZ,Mastec Inc,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,LRN,Stride Inc,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,IRM,Iron Mountain Inc,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,GS,Goldman Sachs Group,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,DELL,Dell Technologies Inc. Class C Common Stock,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,CRDO,Credo Technology Group Holding Ltd,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,COHR,Coherent Corp,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Self,AIT,Applied Industrial Technologies; Inc. Common Stock,Stock,Purchase,01/02/2025,"$15,001 - $50,000"
Joint,--,Texas State Mobility Fund Bonds ARate/Coupon:4.0%Matures:10/01/2034,Municipal Security,Sale (Full),12/27/2024,"$50,001 - $100,000"
Joint,VNQ,Vanguard Real Estate ETF,Stock,Purchase,12/26/2024,"$1,001 - $15,000"
Joint,PCLPX,Pimco Commoditiesplus Strategy Fund Class I-2,Stock,Purchase,12/26/2024,"$250,001 - $500,000"
